FIPS ,Name,2010,2011,2012,2013,2014,2015,2016,2017,2018,Median Household Income (2018),% of State Median HH Income,county,state,county_st
44001,"Bristol County, RI",9.7,9.6,9.0,7.9,6.7,5.3,4.6,3.8,3.5,80231.0,125.8,Bristol County,Rhode Island,"Bristol County, Rhode Island"
44003,"Kent County, RI",11.1,10.6,9.9,8.7,7.2,5.5,4.7,4.1,3.7,69089.0,108.3,Kent County,Rhode Island,"Kent County, Rhode Island"
44005,"Newport County, RI",10.0,10.1,9.3,8.5,6.9,5.4,4.7,3.9,3.5,77760.0,121.9,Newport County,Rhode Island,"Newport County, Rhode Island"
44007,"Providence County, RI",11.8,11.6,10.9,9.8,8.1,6.3,5.5,4.7,4.4,56141.0,88.0,Providence County,Rhode Island,"Providence County, Rhode Island"
44009,"Washington County, RI",10.1,10.1,9.7,8.6,7.2,5.6,4.7,4.0,3.6,86715.0,135.9,Washington County,Rhode Island,"Washington County, Rhode Island"
45001,"Abbeville County, SC",13.6,12.5,10.6,9.5,7.7,6.9,5.5,4.6,4.0,42412.0,80.9,Abbeville County,South Carolina,"Abbeville County, South Carolina"
45003,"Aiken County, SC",9.3,9.3,8.6,7.6,6.5,5.9,5.0,4.1,3.3,52633.0,100.4,Aiken County,South Carolina,"Aiken County, South Carolina"
45005,"Allendale County, SC",19.1,18.4,16.9,14.0,12.2,11.3,8.6,6.9,5.8,29124.0,55.5,Allendale County,South Carolina,"Allendale County, South Carolina"
45007,"Anderson County, SC",11.6,10.3,8.9,7.1,6.0,5.4,4.6,3.9,3.3,51740.0,98.6,Anderson County,South Carolina,"Anderson County, South Carolina"
45009,"Bamberg County, SC",16.1,16.2,15.9,13.5,11.6,10.5,9.1,7.5,6.5,36230.0,69.1,Bamberg County,South Carolina,"Bamberg County, South Carolina"
45011,"Barnwell County, SC",16.6,15.2,13.9,12.1,9.7,9.0,7.4,6.0,4.8,38131.0,72.7,Barnwell County,South Carolina,"Barnwell County, South Carolina"
45013,"Beaufort County, SC",8.7,8.7,7.6,6.4,5.7,5.5,4.8,4.1,3.2,65843.0,125.5,Beaufort County,South Carolina,"Beaufort County, South Carolina"
45015,"Berkeley County, SC",10.0,9.6,8.4,7.0,6.0,5.5,4.6,3.8,3.0,62204.0,118.6,Berkeley County,South Carolina,"Berkeley County, South Carolina"
45017,"Calhoun County, SC",12.3,12.4,11.2,9.6,8.0,7.1,6.2,5.2,4.2,45385.0,86.5,Calhoun County,South Carolina,"Calhoun County, South Carolina"
45019,"Charleston County, SC",8.8,8.3,7.2,5.9,5.2,4.9,4.1,3.5,2.8,62958.0,120.0,Charleston County,South Carolina,"Charleston County, South Carolina"
45021,"Cherokee County, SC",15.7,14.7,12.8,10.5,8.3,7.1,6.0,5.0,3.6,42542.0,81.1,Cherokee County,South Carolina,"Cherokee County, South Carolina"
