"ZIP
code [1]",Size of adjusted gross income,Adjusted gross income (AGI) [5]
,,
,,(17)
00000,Total,"852,298,824"
00000,"$1 under $25,000",41312407
00000,"$25,000 under $50,000",78566565
00000,"$50,000 under $75,000",81560100
00000,"$75,000 under $100,000",73530398
00000,"$100,000 under $200,000",180245335
00000,"$200,000 or more",397084019
,,
10001,,"2,785,807"
10001,"$1 under $25,000",42685
10001,"$25,000 under $50,000",94622
10001,"$50,000 under $75,000",125439
10001,"$75,000 under $100,000",128019
10001,"$100,000 under $200,000",411915
10001,"$200,000 or more",1983127
,,
10002,,"2,489,499"
10002,"$1 under $25,000",242543
10002,"$25,000 under $50,000",304240
10002,"$50,000 under $75,000",307625
10002,"$75,000 under $100,000",244972
10002,"$100,000 under $200,000",535947
10002,"$200,000 or more",854172
,,
10003,,"8,764,798"
10003,"$1 under $25,000",54803
10003,"$25,000 under $50,000",140372
10003,"$50,000 under $75,000",243633
10003,"$75,000 under $100,000",283570
10003,"$100,000 under $200,000",908313
10003,"$200,000 or more",7134107
,,
10004,,"931,468"
10004,"$1 under $25,000",3213
10004,"$25,000 under $50,000",9088
10004,"$50,000 under $75,000",18169
10004,"$75,000 under $100,000",18476
10004,"$100,000 under $200,000",71462
10004,"$200,000 or more",811060
,,
10005,,"2,289,217"
10005,"$1 under $25,000",7663
10005,"$25,000 under $50,000",26080
10005,"$50,000 under $75,000",49721
10005,"$75,000 under $100,000",60194
10005,"$100,000 under $200,000",203407
10005,"$200,000 or more",1942152
,,
10006,,"493,656"
10006,"$1 under $25,000",3383
10006,"$25,000 under $50,000",10765
10006,"$50,000 under $75,000",21294
10006,"$75,000 under $100,000",24499
10006,"$100,000 under $200,000",93919
10006,"$200,000 or more",339796
,,
10007,,"2,494,873"
10007,"$1 under $25,000",5261
10007,"$25,000 under $50,000",12384
10007,"$50,000 under $75,000",19094
10007,"$75,000 under $100,000",21657
10007,"$100,000 under $200,000",88699
10007,"$200,000 or more",2347778
,,
10009,,"2,814,678"
10009,"$1 under $25,000",111090
10009,"$25,000 under $50,000",242987
10009,"$50,000 under $75,000",342194
10009,"$75,000 under $100,000",319365
10009,"$100,000 under $200,000",729505
10009,"$200,000 or more",1069537
,,
10010,,"4,252,196"
10010,"$1 under $25,000",28655
10010,"$25,000 under $50,000",85118
10010,"$50,000 under $75,000",148379
10010,"$75,000 under $100,000",174518
10010,"$100,000 under $200,000",584128
10010,"$200,000 or more",3231398
,,
10011,,"9,080,628"
10011,"$1 under $25,000",55741
10011,"$25,000 under $50,000",133821
10011,"$50,000 under $75,000",222487
