county,growth_rate,reaction_time
"Ada County, Idaho",1.5041905554914325,28
"Adams County, Colorado",1.445448878218924,26
"Adams County, Illinois",1.3260485007304763,35
"Aiken County, South Carolina",1.3647859413074805,35
"Alachua County, Florida",1.3205773514521812,31
"Alameda County, California",1.3625775437128211,25
"Albany County, New York",1.3156543802713883,30
"Albany County, Wyoming",1.1350491265810052,10
"Albemarle County, Virginia",1.291378354658086,30
"Allegan County, Michigan",1.3226991362700444,33
"Allegany County, Maryland",1.40497842800276,31
"Alleghany County, Virginia",1.1282386389154404,41
"Allegheny County, Pennsylvania",1.446517757612575,30
"Allen County, Indiana",1.4034452973803668,34
"Allen County, Ohio",1.3693824111007817,36
"Andrews County, Texas",1.3839949567328582,55
"Angelina County, Texas",1.2721471717917134,28
"Anne Arundel County, Maryland",1.5266661185708992,31
"Anoka County, Minnesota",1.279801104926442,30
"Arapahoe County, Colorado",1.4579553660045563,26
"Arlington County, Virginia",1.3520029278110597,28
"Ashtabula County, Ohio",1.2886394343110945,34
"Atascosa County, Texas",1.174602258348054,34
"Atlantic County, New Jersey",1.4757901042957045,30
"Atoka County, Oklahoma",1.0,34
"Augusta County, Virginia",1.302489365351716,38
"Baker County, Florida",1.1942035210234678,41
"Baldwin County, Alabama",1.3655932697175366,34
"Baltimore County, Maryland",1.5602884204137906,55
"Bannock County, Idaho",1.0583851365991979,28
"Barnstable County, Massachusetts",1.4839709167699815,31
"Bartholomew County, Indiana",1.4062659722136965,30
"Bay County, Florida",1.3322840308718022,30
"Beaufort County, South Carolina",1.3392636185966205,32
"Beaver County, Pennsylvania",1.4292583177302491,31
"Beckham County, Oklahoma",1.0459504303453644,36
"Bedford County, Pennsylvania",1.1754882831485973,29
"Bell County, Texas",1.3536852989958115,35
"Belmont County, Ohio",1.2889750437944216,36
"Benton County, Arkansas",1.2905919589756116,31
"Benton County, Oregon",1.2094952327925164,29
"Benton County, Tennessee",1.0441789480989703,35
"Benton County, Washington",1.4202826413340872,39
"Bergen County, New Jersey",1.611491472774119,30
"Berkeley County, South Carolina",1.3850047298413488,55
"Berkeley County, West Virginia",1.3879474444856548,34
"Berks County, Pennsylvania",1.6177871969044069,55
"Berkshire County, Massachusetts",1.332028215429214,34
"Bernalillo County, New Mexico",1.36310271211391,33
"Berrien County, Michigan",1.3288152943973568,34
"Bexar County, Texas",1.2506582127292418,27
"Bibb County, Georgia",1.4143715146031943,35
"Big Horn County, Montana",1.2904162662569485,38
"Black Hawk County, Iowa",1.3491587749148863,30
"Blaine County, Idaho",1.421895251149955,32
"Blair County, Pennsylvania",1.179127365146678,55
"Blount County, Tennessee",1.32429949951306,28
"Bond County, Illinois",1.081203518866191,55
"Bonneville County, Idaho",1.2894879047562497,34
"Boone County, Illinois",1.3660475230779794,29
"Boone County, Indiana",1.3798824868977573,35
"Boone County, Kentucky",1.4366311257504136,28
"Boone County, Missouri",1.25087161103841,34
"Boulder County, Colorado",1.3129049093516807,26
"Bowie County, Texas",1.369555328199048,34
"Box Elder County, Utah",1.2049674422647896,55
"Boyd County, Kentucky",1.2777033848244248,55
"Braxton County, West Virginia",1.0,34
"Brazos County, Texas",1.319350109278448,29
"Brevard County, Florida",1.3791795551862904,34
"Bristol County, Massachusetts",1.5933038357110185,55
"Broome County, New York",1.4013089371738148,35
"Broomfield County, Colorado",1.36416881961338,27
"Broward County, Florida",1.4989037503035243,34
"Brown County, Wisconsin",1.406065181097197,30
