,,Unemployment Rate (percent),,,,,,,,,,
FIPS ,Name,2010,2011,2012,2013,2014,2015,2016,2017,2018,Median Household Income (2018),% of State Median HH Income
01000,Alabama,10.5,9.6,8.0,7.2,6.8,6.1,5.8,4.4,3.9,"$49,881",100.0%
01001,"Autauga County, AL",8.9,8.4,6.9,6.2,5.8,5.2,5.1,3.9,3.6,"$59,338",119.0%
01003,"Baldwin County, AL",10.0,9.0,7.5,6.6,6.1,5.5,5.3,4.1,3.6,"$57,588",115.5%
01005,"Barbour County, AL",12.3,11.5,11.5,10.2,10.5,8.9,8.3,5.8,5.2,"$34,382",68.9%
01007,"Bibb County, AL",11.4,10.5,8.5,7.9,7.2,6.6,6.4,4.4,4.0,"$46,064",92.3%
01009,"Blount County, AL",9.8,8.7,6.9,6.3,6.1,5.4,5.4,4.0,3.5,"$50,412",101.1%
01011,"Bullock County, AL",11.8,11.6,10.4,9.4,8.8,7.9,6.8,4.9,4.7,"$29,267",58.7%
01013,"Butler County, AL",13.6,12.5,11.5,10.3,8.6,7.6,6.9,5.5,4.8,"$37,365",74.9%
01015,"Calhoun County, AL",11.4,10.3,8.9,8.8,8.0,7.0,6.5,5.0,4.7,"$45,400",91.0%
01017,"Chambers County, AL",14.9,12.0,9.9,8.0,6.7,6.0,5.5,4.1,3.9,"$39,917",80.0%
01019,"Cherokee County, AL",10.6,9.7,8.0,6.6,5.8,5.4,5.0,4.1,3.6,"$42,132",84.5%
01021,"Chilton County, AL",10.3,9.1,7.2,6.6,6.3,5.6,5.5,4.1,3.6,"$47,547",95.3%
01023,"Choctaw County, AL",13.3,13.1,10.3,9.2,9.0,9.1,8.5,6.3,5.5,"$39,907",80.0%
01025,"Clarke County, AL",19.9,18.8,15.0,13.8,12.2,11.7,10.8,8.5,7.5,"$40,741",81.7%
01027,"Clay County, AL",14.5,11.8,9.4,8.3,7.1,6.1,5.9,4.3,3.9,"$39,201",78.6%
01029,"Cleburne County, AL",10.0,9.7,8.2,7.7,6.6,6.0,6.0,4.5,4.2,"$46,495",93.2%
01031,"Coffee County, AL",8.6,8.1,7.0,6.9,6.6,6.0,5.9,4.4,3.9,"$55,122",110.5%
01033,"Colbert County, AL",11.5,10.2,8.8,8.2,8.3,7.9,6.9,5.2,4.6,"$49,055",98.3%
01035,"Conecuh County, AL",17.2,15.2,11.9,10.7,10.3,9.2,8.4,6.1,5.2,"$32,613",65.4%
01037,"Coosa County, AL",15.4,12.5,9.4,9.2,8.8,6.7,5.9,4.7,4.2,"$42,423",85.0%
01039,"Covington County, AL",10.3,9.8,8.4,8.1,7.8,7.1,6.7,5.2,4.6,"$40,203",80.6%
01041,"Crenshaw County, AL",10.2,9.9,8.3,7.7,6.9,6.0,5.8,4.5,4.1,"$39,057",78.3%
01043,"Cullman County, AL",10.4,9.5,7.7,6.7,6.1,5.3,5.0,3.8,3.3,"$45,796",91.8%
01045,"Dale County, AL",8.8,8.3,7.4,7.4,7.1,6.4,5.8,4.5,4.2,"$45,309",90.8%
01047,"Dallas County, AL",16.9,15.1,12.9,12.2,11.2,9.6,9.2,7.5,6.5,"$34,035",68.2%
01049,"DeKalb County, AL",12.7,11.8,9.0,7.6,6.9,6.1,6.1,4.5,3.8,"$39,491",79.2%
01051,"Elmore County, AL",9.1,8.4,6.9,6.2,5.7,5.0,4.7,3.7,3.4,"$60,367",121.0%
01053,"Escambia County, AL",11.8,10.8,9.2,8.6,8.0,7.0,6.6,5.0,4.6,"$38,418",77.0%
01055,"Etowah County, AL",10.9,10.0,8.2,7.6,7.0,6.2,5.9,4.6,4.1,"$44,903",90.0%
01057,"Fayette County, AL",13.0,11.1,8.6,8.3,7.8,7.0,6.7,4.7,4.1,"$39,254",78.7%
01059,"Franklin County, AL",10.7,9.6,8.4,8.0,7.7,6.4,5.9,4.3,3.7,"$39,388",79.0%
01061,"Geneva County, AL",10.4,9.2,7.6,7.0,6.7,5.9,5.8,4.3,3.9,"$37,823",75.8%
01063,"Greene County, AL",17.3,17.3,13.6,12.8,12.5,11.1,9.9,7.6,6.7,"$28,524",57.2%
01065,"Hale County, AL",15.1,13.8,11.5,11.6,9.9,7.8,7.6,6.0,5.1,"$34,724",69.6%
01067,"Henry County, AL",10.9,9.7,8.3,7.7,7.5,6.8,6.5,4.9,4.4,"$46,027",92.3%
01069,"Houston County, AL",9.1,8.6,7.5,6.9,6.8,6.2,5.8,4.4,4.0,"$47,993",96.2%
01071,"Jackson County, AL",11.8,10.3,8.6,7.9,7.3,6.7,6.3,4.8,4.1,"$41,929",84.1%
01073,"Jefferson County, AL",10.3,9.3,7.4,6.7,6.3,5.8,5.7,4.3,3.7,"$55,013",110.3%
01075,"Lamar County, AL",13.2,9.7,7.5,7.0,7.0,6.3,5.6,4.2,3.8,"$40,936",82.1%
01077,"Lauderdale County, AL",10.1,9.1,7.7,7.1,7.2,6.9,6.3,4.7,4.2,"$48,707",97.6%
01079,"Lawrence County, AL",12.6,10.9,9.0,8.3,8.2,7.7,6.9,5.0,4.2,"$43,909",88.0%
01081,"Lee County, AL",9.0,8.1,6.8,5.9,5.6,5.2,5.2,4.0,3.6,"$48,937",98.1%
01083,"Limestone County, AL",9.6,8.6,6.9,6.3,6.1,5.5,5.2,4.0,3.5,"$64,863",130.0%
01085,"Lowndes County, AL",18.5,17.7,15.4,14.1,12.8,11.5,10.5,8.3,7.3,"$33,973",68.1%
01087,"Macon County, AL",14.8,14.0,10.7,9.6,9.1,8.1,7.6,5.8,5.5,"$32,495",65.1%
01089,"Madison County, AL",8.3,8.3,6.9,6.3,6.2,5.5,5.1,3.9,3.5,"$63,755",127.8%
01091,"Marengo County, AL",13.7,12.6,10.2,8.9,8.0,7.6,7.1,5.6,5.0,"$37,733",75.6%
01093,"Marion County, AL",13.6,11.2,8.9,7.9,7.9,6.9,6.6,4.8,4.1,"$37,887",76.0%
01095,"Marshall County, AL",9.6,9.4,7.8,6.8,6.7,5.8,5.3,3.9,3.4,"$46,233",92.7%
01097,"Mobile County, AL",11.3,10.8,9.2,8.5,7.7,6.9,6.6,5.2,4.7,"$43,598",87.4%
01099,"Monroe County, AL",18.1,15.7,12.5,11.9,11.1,10.1,9.0,6.7,6.2,"$39,556",79.3%
01101,"Montgomery County, AL",10.0,9.7,8.1,7.3,6.9,6.1,5.6,4.4,4.0,"$49,640",99.5%
01103,"Morgan County, AL",10.8,9.4,7.8,6.9,6.6,5.9,5.5,4.1,3.5,"$52,797",105.8%
01105,"Perry County, AL",16.8,16.5,13.3,13.5,12.1,10.0,10.3,7.8,6.5,"$26,814",53.8%
01107,"Pickens County, AL",13.1,12.0,10.2,9.3,8.2,6.8,6.9,5.4,4.6,"$37,586",75.4%
01109,"Pike County, AL",9.4,8.9,8.0,7.6,7.4,6.6,6.5,4.9,4.5,"$37,259",74.7%
01111,"Randolph County, AL",13.4,11.4,9.2,7.8,6.7,5.9,5.6,4.4,4.0,"$40,546",81.3%
01113,"Russell County, AL",10.9,10.3,8.8,7.2,6.5,5.9,5.5,4.3,4.0,"$39,104",78.4%
01115,"St. Clair County, AL",10.1,8.8,6.9,6.1,5.8,5.2,5.2,4.0,3.5,"$57,284",114.8%
01117,"Shelby County, AL",7.1,6.2,5.0,4.6,4.5,4.2,4.3,3.2,2.9,"$75,663",151.7%
01119,"Sumter County, AL",13.3,13.1,10.5,9.0,8.5,8.0,7.7,6.6,5.9,"$27,859",55.9%
01121,"Talladega County, AL",13.5,11.6,9.4,8.6,7.8,6.6,6.6,5.0,4.3,"$41,630",83.5%
01123,"Tallapoosa County, AL",13.1,11.4,8.6,8.1,7.5,6.1,5.6,4.2,4.2,"$42,205",84.6%
01125,"Tuscaloosa County, AL",9.2,8.3,7.0,6.4,5.9,5.4,5.6,4.2,3.7,"$52,557",105.4%
01127,"Walker County, AL",12.7,11.3,9.2,8.5,7.9,7.2,7.4,5.1,4.2,"$45,434",91.1%
01129,"Washington County, AL",14.2,14.6,11.9,10.9,9.6,8.9,8.6,6.8,5.8,"$44,424",89.1%
01131,"Wilcox County, AL",26.3,23.2,19.9,19.3,16.9,14.7,14.4,11.5,9.6,"$25,385",50.9%
01133,"Winston County, AL",16.0,13.5,10.0,9.4,8.6,7.5,7.1,5.1,4.2,"$41,156",82.5%
,,,,,,,,,,,,
"Sources: Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS) data.

Census Bureau, Small Area Income and Poverty Estimates (SAIPE) Program



",,,,,,,,,,,,
