,,Unemployment Rate (percent),,,,,,,,,,
FIPS ,Name,2010,2011,2012,2013,2014,2015,2016,2017,2018,Median Household Income (2018),% of State Median HH Income
02000,Alaska,7.9,7.6,7.1,7.0,6.9,6.5,6.9,7.0,6.6,"$74,912",100.0%
02013,"Aleutians East Borough, AK",5.6,6.2,6.8,6.0,4.5,3.2,2.7,2.5,3.0,"$70,081",93.6%
02016,"Aleutians West Census Area, AK",5.1,5.8,6.9,6.9,4.8,3.9,3.3,3.7,3.5,"$82,633",110.3%
02020,"Anchorage Borough/municipality, AK",6.6,6.0,5.4,5.2,5.2,5.0,5.5,5.8,5.5,"$82,113",109.6%
02050,"Bethel Census Area, AK",14.6,15.0,15.4,16.2,16.1,14.4,14.2,13.5,12.8,"$44,304",59.1%
02060,"Bristol Bay Borough, AK",9.7,8.9,9.8,8.8,8.0,9.4,7.0,6.2,6.3,"$77,257",103.1%
02068,"Denali Borough, AK",11.9,13.7,13.8,12.5,10.4,8.8,9.0,9.0,7.8,"$75,477",100.8%
02070,"Dillingham Census Area, AK",10.1,10.6,9.9,10.2,10.1,9.7,9.6,8.9,8.2,"$54,524",72.8%
02090,"Fairbanks North Star Borough, AK",6.6,6.4,6.1,5.9,5.8,5.5,5.9,6.1,5.8,"$74,268",99.1%
02100,"Haines Borough, AK",10.6,10.0,10.0,10.2,10.7,9.8,10.2,8.9,9.5,"$58,943",78.7%
02105,"Hoonah-Angoon Census Area, AK",14.0,15.1,14.3,14.7,15.2,15.2,11.9,12.3,12.6,"$51,188",68.3%
02110,"Juneau Borough/city, AK",5.9,5.6,5.1,5.0,5.1,4.7,4.5,4.6,4.4,"$79,173",105.7%
02122,"Kenai Peninsula Borough, AK",10.0,9.5,8.6,8.0,7.9,7.8,8.5,8.3,7.7,"$65,439",87.4%
02130,"Ketchikan Gateway Borough, AK",8.7,8.6,8.1,7.8,7.9,6.9,6.5,6.1,6.0,"$68,309",91.2%
02150,"Kodiak Island Borough, AK",7.4,7.4,6.7,6.2,5.7,4.8,5.1,5.0,5.8,"$74,109",98.9%
02164,"Lake and Peninsula Borough, AK",14.4,15.0,15.2,15.5,16.3,12.5,12.5,11.7,11.6,"$49,403",65.9%
02170,"Matanuska-Susitna Borough, AK",9.4,9.2,8.7,8.4,8.1,7.7,8.2,8.2,7.6,"$74,649",99.6%
02180,"Nome Census Area, AK",12.6,12.3,11.7,12.3,12.3,11.9,12.7,12.1,11.6,"$55,318",73.8%
02185,"North Slope Borough, AK",8.0,7.6,7.7,7.4,6.0,5.7,6.8,7.4,7.0,"$89,276",119.2%
02188,"Northwest Arctic Borough, AK",13.4,15.5,15.7,16.4,17.0,16.0,16.0,16.2,14.2,"$59,337",79.2%
02220,"Sitka Borough/city, AK",6.3,6.1,5.7,5.5,5.1,4.6,4.6,4.5,4.2,"$71,825",95.9%
02230,"Skagway Borough/municipality, AK",14.5,16.2,14.1,12.5,11.9,11.6,11.2,10.2,9.8,"$74,635",99.6%
02240,"Southeast Fairbanks Census Area, AK",11.9,12.4,12.9,13.1,13.2,10.7,10.7,10.2,9.6,"$63,527",84.8%
02261,"Valdez-Cordova Census Area, AK",9.4,9.9,9.7,9.9,9.6,8.7,8.6,7.7,7.4,"$68,528",91.5%
02282,"Yakutat Borough/city, AK",10.8,10.6,9.7,9.5,9.9,8.5,8.2,9.4,8.2,"$59,523",79.5%
02290,"Yukon-Koyukuk Census Area, AK",17.2,18.4,17.4,18.3,19.0,18.4,17.9,17.6,15.3,"$38,912",51.9%
,,,,,,,,,,,,
"Sources: Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS) data.

Census Bureau, Small Area Income and Poverty Estimates (SAIPE) Program



",,,,,,,,,,,,
,,,,,,,,,,,,
