,,Unemployment Rate (percent),,,,,,,,,,
FIPS ,Name,2010,2011,2012,2013,2014,2015,2016,2017,2018,Median Household Income (2018),% of State Median HH Income
04000,Arizona,10.4,9.5,8.3,7.7,6.8,6.1,5.4,4.9,4.8,"$59,079",100.0%
04001,"Apache County, AZ",16.4,18.5,19.0,18.4,15.7,13.3,11.5,10.3,10.1,"$33,652",57.0%
04003,"Cochise County, AZ",9.3,9.5,9.0,9.2,8.4,7.3,6.2,5.6,5.6,"$49,164",83.2%
04005,"Coconino County, AZ",9.9,9.5,8.6,8.1,7.1,6.5,6.0,5.5,5.5,"$60,187",101.9%
04007,"Gila County, AZ",12.5,11.6,10.2,9.6,8.3,7.9,7.2,6.1,5.9,"$43,585",73.8%
04009,"Graham County, AZ",12.9,10.0,8.5,7.7,7.4,7.3,6.8,5.4,5.1,"$50,157",84.9%
04011,"Greenlee County, AZ",16.4,11.0,8.2,5.9,6.5,7.9,7.6,5.0,4.3,"$65,818",111.4%
04012,"La Paz County, AZ",10.2,9.8,8.6,8.2,7.6,7.4,6.1,5.4,6.2,"$37,350",63.2%
04013,"Maricopa County, AZ",9.5,8.6,7.3,6.6,5.8,5.1,4.6,4.2,4.1,"$65,234",110.4%
04015,"Mohave County, AZ",13.0,12.3,11.0,10.3,8.7,7.9,6.6,5.9,5.8,"$45,129",76.4%
04017,"Navajo County, AZ",14.7,14.8,14.1,13.5,11.1,9.7,8.3,7.7,7.8,"$40,650",68.8%
04019,"Pima County, AZ",9.3,8.5,7.4,6.8,6.0,5.5,5.0,4.5,4.5,"$53,395",90.4%
04021,"Pinal County, AZ",10.7,9.8,8.5,8.1,7.0,6.3,5.6,5.0,5.0,"$58,848",99.6%
04023,"Santa Cruz County, AZ",15.2,15.5,15.4,15.4,12.9,11.5,10.1,9.5,9.3,"$40,545",68.6%
04025,"Yavapai County, AZ",10.7,9.9,8.6,7.7,6.4,5.6,4.9,4.5,4.5,"$48,758",82.5%
04027,"Yuma County, AZ",25.1,24.2,23.9,25.5,22.9,21.7,18.9,17.0,17.0,"$44,116",74.7%
,,,,,,,,,,,,
"Sources: Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS) data.

Census Bureau, Small Area Income and Poverty Estimates (SAIPE) Program



",,,,,,,,,,,,
,,,,,,,,,,,,
