,,Unemployment Rate (percent),,,,,,,,,,
FIPS ,Name,2010,2011,2012,2013,2014,2015,2016,2017,2018,Median Household Income (2018),% of State Median HH Income
05000,Arkansas,8.2,8.3,7.6,7.2,6.0,5.0,4.0,3.7,3.7,"$47,094",100.0%
05001,"Arkansas County, AR",18.6,12.2,8.8,7.4,5.4,4.2,3.4,3.3,3.4,"$43,887",93.2%
05003,"Ashley County, AR",10.1,11.2,12.3,10.9,9.3,7.7,6.3,5.7,5.5,"$41,127",87.3%
05005,"Baxter County, AR",9.4,9.3,8.4,8.0,6.7,5.5,4.3,4.3,4.1,"$39,686",84.3%
05007,"Benton County, AR",6.6,6.5,6.0,5.6,4.6,3.8,2.9,3.0,2.9,"$68,978",146.5%
05009,"Boone County, AR",7.8,8.0,7.6,7.0,6.0,4.9,3.7,3.4,3.5,"$44,482",94.5%
05011,"Bradley County, AR",10.8,12.5,11.1,9.8,8.4,6.1,5.2,4.8,4.5,"$37,729",80.1%
05013,"Calhoun County, AR",8.8,9.6,9.1,8.2,6.6,5.4,4.6,3.9,3.9,"$44,969",95.5%
05015,"Carroll County, AR",7.3,7.2,6.3,6.0,5.2,4.6,3.6,3.3,3.2,"$45,023",95.6%
05017,"Chicot County, AR",12.3,13.2,11.4,11.6,10.5,9.1,6.6,6.5,6.9,"$31,787",67.5%
05019,"Clark County, AR",8.6,10.4,10.1,9.0,6.9,5.5,4.4,4.0,3.8,"$45,408",96.4%
05021,"Clay County, AR",11.0,12.1,11.0,9.7,7.8,6.6,5.6,4.5,4.4,"$37,687",80.0%
05023,"Cleburne County, AR",8.6,9.2,8.5,8.5,8.3,6.9,5.9,4.9,4.5,"$44,902",95.3%
05025,"Cleveland County, AR",8.4,8.5,7.4,7.6,6.8,5.6,4.5,4.3,3.9,"$47,600",101.1%
05027,"Columbia County, AR",10.0,10.0,9.0,8.8,7.1,6.5,5.7,5.1,4.8,"$40,909",86.9%
05029,"Conway County, AR",9.7,9.9,9.2,9.2,7.1,6.1,5.7,4.8,4.4,"$44,565",94.6%
05031,"Craighead County, AR",7.4,7.4,6.9,6.5,5.4,4.4,3.2,3.0,3.1,"$45,615",96.9%
05033,"Crawford County, AR",8.2,8.9,8.0,7.6,6.0,5.2,3.9,3.5,3.6,"$47,363",100.6%
05035,"Crittenden County, AR",10.5,10.9,9.6,8.4,7.4,6.2,4.5,4.4,4.3,"$42,606",90.5%
05037,"Cross County, AR",8.3,8.4,7.9,7.6,6.3,5.4,4.4,4.0,4.2,"$41,214",87.5%
05039,"Dallas County, AR",12.3,12.5,11.5,10.8,9.3,7.2,5.0,4.5,4.4,"$37,259",79.1%
05041,"Desha County, AR",11.1,11.2,9.9,9.6,8.1,7.3,5.4,4.8,4.5,"$36,132",76.7%
05043,"Drew County, AR",10.9,11.6,10.7,9.8,8.4,7.0,5.8,5.2,5.0,"$42,494",90.2%
05045,"Faulkner County, AR",7.2,7.2,6.6,6.5,5.5,4.7,3.8,3.3,3.3,"$53,882",114.4%
05047,"Franklin County, AR",7.7,7.7,7.1,6.9,5.7,4.9,4.0,3.5,3.6,"$43,696",92.8%
05049,"Fulton County, AR",7.8,7.8,7.2,6.9,5.8,5.2,4.3,4.2,4.0,"$35,630",75.7%
05051,"Garland County, AR",8.5,8.8,7.9,7.6,6.3,5.5,4.3,4.0,4.0,"$43,610",92.6%
05053,"Grant County, AR",7.1,7.4,6.8,6.5,5.4,4.5,3.6,3.2,3.1,"$52,050",110.5%
05055,"Greene County, AR",9.7,9.7,8.7,7.9,6.3,5.2,4.3,3.7,3.5,"$46,512",98.8%
05057,"Hempstead County, AR",9.3,8.8,7.3,7.2,6.0,4.9,3.8,3.5,3.6,"$38,682",82.1%
05059,"Hot Spring County, AR",8.6,8.3,7.2,7.3,5.8,5.0,3.9,3.7,3.8,"$47,205",100.2%
05061,"Howard County, AR",7.8,7.5,6.7,6.4,5.8,4.2,3.3,3.0,3.5,"$40,199",85.4%
05063,"Independence County, AR",8.8,9.3,9.2,9.0,7.8,6.5,4.9,4.2,4.1,"$45,596",96.8%
05065,"Izard County, AR",10.1,9.9,8.8,8.6,7.5,6.6,5.6,5.5,5.5,"$37,828",80.3%
05067,"Jackson County, AR",11.9,11.6,10.8,10.9,9.2,7.5,6.2,5.9,6.2,"$36,573",77.7%
05069,"Jefferson County, AR",10.4,11.1,10.0,10.3,8.7,7.0,5.6,5.2,5.3,"$38,596",82.0%
05071,"Johnson County, AR",8.2,7.9,7.4,7.6,6.5,5.7,4.7,4.3,4.5,"$39,381",83.6%
05073,"Lafayette County, AR",9.9,9.7,9.5,9.6,7.8,7.6,5.9,5.1,5.2,"$35,527",75.4%
05075,"Lawrence County, AR",9.5,9.9,9.1,8.9,7.2,6.0,4.3,3.8,3.9,"$40,308",85.6%
05077,"Lee County, AR",8.6,9.6,9.5,9.3,7.5,6.7,4.7,4.8,4.8,"$28,080",59.6%
05079,"Lincoln County, AR",9.4,9.3,8.7,8.3,7.1,6.1,4.8,4.2,4.3,"$44,951",95.4%
05081,"Little River County, AR",7.7,7.8,7.3,7.6,6.5,5.5,4.7,4.9,5.3,"$43,559",92.5%
05083,"Logan County, AR",8.6,8.8,8.0,7.8,6.0,5.7,4.6,3.8,4.0,"$41,471",88.1%
05085,"Lonoke County, AR",6.8,7.0,6.4,6.1,5.1,4.2,3.3,3.3,3.2,"$56,651",120.3%
05087,"Madison County, AR",7.1,6.8,5.9,5.8,4.8,3.9,3.2,2.9,2.9,"$42,674",90.6%
05089,"Marion County, AR",10.1,9.4,8.2,7.7,6.3,5.2,4.0,3.9,4.1,"$36,581",77.7%
05091,"Miller County, AR",5.8,6.4,5.9,6.4,5.8,5.0,4.2,4.3,4.8,"$42,162",89.5%
05093,"Mississippi County, AR",12.5,12.1,11.0,11.3,9.2,9.0,6.8,5.9,5.7,"$36,718",78.0%
05095,"Monroe County, AR",9.2,9.5,9.1,8.8,6.7,6.1,4.8,4.3,4.3,"$32,922",69.9%
05097,"Montgomery County, AR",8.8,9.3,8.5,8.4,8.0,6.8,5.2,4.8,4.8,"$38,318",81.4%
05099,"Nevada County, AR",10.0,9.5,7.8,7.7,6.1,5.0,3.7,3.6,3.5,"$37,626",79.9%
