,,Unemployment Rate (percent),,,,,,,,,,
FIPS ,Name,2010,2011,2012,2013,2014,2015,2016,2017,2018,Median Household Income (2018),% of State Median HH Income
06000,California,12.2,11.7,10.4,8.9,7.5,6.2,5.5,4.8,4.2,"$75,250",100.0%
06001,"Alameda County, CA",10.9,10.1,8.7,7.2,5.8,4.7,4.3,3.7,3.0,"$101,744",135.2%
06003,"Alpine County, CA",12.9,12.8,11.2,9.7,8.2,7.3,6.5,6.2,4.6,"$55,384",73.6%
06005,"Amador County, CA",14.1,13.6,12.3,10.3,8.3,6.6,5.9,5.0,4.0,"$58,515",77.8%
06007,"Butte County, CA",13.9,13.7,12.2,10.3,8.6,7.2,6.6,5.8,5.0,"$50,945",67.7%
06009,"Calaveras County, CA",14.4,14.0,12.4,9.9,8.0,6.4,5.7,4.7,4.0,"$62,984",83.7%
06011,"Colusa County, CA",20.8,21.2,20.7,18.9,17.4,15.4,15.5,14.2,12.9,"$57,249",76.1%
06013,"Contra Costa County, CA",11.0,10.3,8.9,7.5,6.2,5.0,4.5,3.8,3.2,"$101,463",134.8%
06015,"Del Norte County, CA",13.2,13.3,13.5,11.8,10.1,8.5,7.5,6.4,5.5,"$48,518",64.5%
06017,"El Dorado County, CA",12.2,11.7,10.2,8.5,7.0,5.7,5.1,4.4,3.6,"$81,869",108.8%
06019,"Fresno County, CA",16.7,16.5,15.1,13.3,11.6,10.2,9.5,8.5,7.5,"$52,318",69.5%
06021,"Glenn County, CA",15.4,15.5,14.2,12.1,10.7,8.7,8.3,7.5,6.5,"$47,365",62.9%
06023,"Humboldt County, CA",10.6,10.6,9.6,8.1,6.7,5.6,4.9,4.2,3.6,"$49,471",65.7%
06025,"Imperial County, CA",28.8,28.9,27.4,25.0,24.0,24.5,24.1,19.5,18.1,"$46,633",62.0%
06027,"Inyo County, CA",9.7,9.7,9.1,7.8,6.8,5.8,5.3,4.4,3.9,"$53,793",71.5%
06029,"Kern County, CA",15.7,14.8,13.1,11.7,10.4,10.2,10.4,9.2,8.0,"$51,586",68.6%
06031,"Kings County, CA",16.1,15.9,14.9,13.4,11.9,10.5,10.0,8.9,7.7,"$58,255",77.4%
06033,"Lake County, CA",15.1,14.5,12.8,10.9,8.9,7.6,6.7,5.8,5.2,"$45,086",59.9%
06035,"Lassen County, CA",14.0,13.5,12.5,10.6,9.1,7.2,6.9,5.5,4.8,"$57,705",76.7%
06037,"Los Angeles County, CA",12.5,12.2,10.9,9.8,8.3,6.6,5.3,4.8,4.7,"$67,986",90.3%
06039,"Madera County, CA",16.6,16.2,14.4,12.6,11.2,10.5,9.2,8.1,7.0,"$53,632",71.3%
06041,"Marin County, CA",7.9,7.3,6.3,5.2,4.3,3.6,3.3,2.9,2.4,"$122,933",163.4%
06043,"Mariposa County, CA",12.9,13.2,12.2,10.5,8.8,7.1,6.9,5.8,5.3,"$51,402",68.3%
06045,"Mendocino County, CA",11.6,11.4,10.0,8.4,7.0,5.8,5.3,4.5,3.9,"$51,386",68.3%
06047,"Merced County, CA",18.0,17.6,16.3,14.5,12.8,11.4,10.6,9.4,8.3,"$56,169",74.6%
06049,"Modoc County, CA",15.2,16.0,14.4,12.3,10.2,8.6,7.8,8.1,7.5,"$45,227",60.1%
06051,"Mono County, CA",10.2,10.1,10.3,8.5,7.1,6.1,5.4,4.4,3.8,"$66,499",88.4%
06053,"Monterey County, CA",12.7,12.7,11.6,10.3,9.0,8.1,7.6,7.2,6.3,"$69,665",92.6%
06055,"Napa County, CA",10.3,9.8,8.4,6.9,5.7,4.6,4.3,3.6,2.9,"$85,624",113.8%
06057,"Nevada County, CA",11.7,11.1,9.7,8.1,6.5,5.4,4.8,4.1,3.5,"$66,681",88.6%
06059,"Orange County, CA",9.7,9.1,7.9,6.6,5.5,4.5,4.0,3.5,2.9,"$89,373",118.8%
06061,"Placer County, CA",11.6,10.8,9.4,7.7,6.3,5.1,4.5,3.9,3.2,"$89,175",118.5%
06063,"Plumas County, CA",18.2,17.6,16.1,13.8,11.5,10.3,9.7,8.9,7.5,"$55,079",73.2%
06065,"Riverside County, CA",13.8,13.2,11.6,9.9,8.2,6.7,6.1,5.2,4.4,"$66,793",88.8%
06067,"Sacramento County, CA",12.6,12.1,10.5,8.9,7.3,6.0,5.4,4.7,3.8,"$69,475",92.3%
06069,"San Benito County, CA",15.1,14.5,13.0,11.1,9.3,7.6,6.7,5.8,5.1,"$80,063",106.4%
06071,"San Bernardino County, CA",13.5,12.9,11.4,9.8,8.0,6.4,5.8,4.9,4.0,"$63,310",84.1%
06073,"San Diego County, CA",10.8,10.3,9.1,7.8,6.4,5.2,4.7,4.0,3.3,"$78,777",104.7%
06075,"San Francisco County/city, CA",8.9,8.1,6.8,5.5,4.4,3.6,3.3,2.9,2.4,"$110,601",147.0%
06077,"San Joaquin County, CA",16.5,16.2,14.4,12.3,10.5,8.9,8.1,7.0,6.0,"$63,567",84.5%
06079,"San Luis Obispo County, CA",10.1,9.6,8.2,6.8,5.6,4.7,4.3,3.6,2.9,"$70,626",93.9%
06081,"San Mateo County, CA",8.4,7.5,6.4,5.3,4.2,3.4,3.0,2.7,2.2,"$122,930",163.4%
06083,"Santa Barbara County, CA",9.7,9.4,8.4,7.2,6.1,5.3,5.1,4.5,3.9,"$75,646",100.5%
