,,Unemployment Rate (percent),,,,,,,,,,
FIPS ,Name,2010,2011,2012,2013,2014,2015,2016,2017,2018,Median Household Income (2018),% of State Median HH Income
09000,Connecticut,9.1,8.8,8.3,7.8,6.6,5.7,5.1,4.7,4.1,"$76,366",100.0%
09001,"Fairfield County, CT",8.4,8.2,7.8,7.3,6.2,5.4,4.9,4.6,4.0,"$91,183",119.4%
09003,"Hartford County, CT",9.4,9.0,8.5,8.0,6.8,5.9,5.4,4.9,4.2,"$73,037",95.6%
09005,"Litchfield County, CT",8.7,8.1,7.6,7.1,6.0,5.2,4.7,4.4,3.8,"$76,304",99.9%
09007,"Middlesex County, CT",7.9,7.6,7.2,6.7,5.7,4.9,4.4,4.1,3.5,"$88,709",116.2%
09009,"New Haven County, CT",10.0,9.7,9.1,8.5,7.2,6.2,5.5,5.1,4.4,"$67,720",88.7%
09011,"New London County, CT",8.9,8.9,8.7,8.1,6.8,5.9,5.1,4.5,4.0,"$67,790",88.8%
09013,"Tolland County, CT",7.8,7.5,7.3,6.9,5.8,5.0,4.5,4.0,3.6,"$89,584",117.3%
09015,"Windham County, CT",10.3,9.9,9.4,8.8,7.3,6.3,5.6,5.1,4.5,"$65,182",85.4%
,,,,,,,,,,,,
"Sources: Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS) data.

Census Bureau, Small Area Income and Poverty Estimates (SAIPE) Program



",,,,,,,,,,,,
,,,,,,,,,,,,
