,,Unemployment Rate (percent),,,,,,,,,,
FIPS ,Name,2010,2011,2012,2013,2014,2015,2016,2017,2018,Median Household Income (2018),% of State Median HH Income
12000,Florida,11.1,10.0,8.5,7.2,6.3,5.5,4.8,4.2,3.6,"$55,433",100.0%
12001,"Alachua County, FL",8.0,7.6,6.6,5.7,5.2,4.6,4.3,3.8,3.3,"$51,026",92.0%
12003,"Baker County, FL",11.3,10.2,8.6,7.4,6.4,5.6,4.9,4.2,3.4,"$52,804",95.3%
12005,"Bay County, FL",10.5,10.2,8.6,7.3,6.3,5.5,4.8,4.1,4.0,"$51,777",93.4%
12007,"Bradford County, FL",9.9,9.1,7.6,6.3,5.6,4.8,4.3,3.6,3.3,"$45,075",81.3%
12009,"Brevard County, FL",11.3,10.9,9.4,8.3,7.0,6.0,5.1,4.3,3.5,"$57,612",103.9%
12011,"Broward County, FL",10.2,9.4,8.0,6.8,5.9,5.1,4.5,4.0,3.4,"$57,200",103.2%
12013,"Calhoun County, FL",10.1,10.4,9.1,7.9,6.9,6.1,5.7,4.9,4.1,"$38,323",69.1%
12015,"Charlotte County, FL",12.7,11.3,9.5,8.0,6.9,6.0,5.3,4.7,4.0,"$52,724",95.1%
12017,"Citrus County, FL",13.7,12.5,10.8,9.7,8.6,7.5,6.7,5.9,5.2,"$41,556",75.0%
12019,"Clay County, FL",9.9,9.1,7.6,6.3,5.8,5.1,4.5,3.9,3.3,"$62,835",113.4%
12021,"Collier County, FL",11.6,10.1,8.4,7.1,6.0,5.3,4.7,4.1,3.4,"$70,649",127.4%
12023,"Columbia County, FL",10.8,10.3,8.8,7.6,6.6,5.5,4.9,4.4,3.7,"$46,195",83.3%
12027,"DeSoto County, FL",12.2,10.4,9.9,8.2,7.2,5.8,5.3,4.5,3.8,"$37,233",67.2%
12029,"Dixie County, FL",12.9,12.3,10.2,8.5,7.4,6.2,5.4,4.8,4.2,"$37,148",67.0%
12031,"Duval County, FL",11.4,10.3,8.7,7.5,6.7,5.8,4.9,4.2,3.6,"$55,733",100.5%
12033,"Escambia County, FL",10.1,9.7,8.4,7.2,6.4,5.6,4.9,4.2,3.5,"$50,644",91.4%
12035,"Flagler County, FL",12.4,11.4,9.9,8.4,7.3,6.3,5.5,4.8,4.0,"$58,975",106.4%
12037,"Franklin County, FL",8.0,7.6,6.5,5.5,5.6,4.7,4.3,3.6,3.5,"$40,297",72.7%
12039,"Gadsden County, FL",11.8,11.6,10.3,9.2,8.2,7.2,6.3,5.5,4.6,"$42,259",76.2%
12041,"Gilchrist County, FL",10.8,10.3,9.1,7.9,6.7,5.7,5.0,4.4,3.8,"$42,186",76.1%
12043,"Glades County, FL",9.5,9.5,7.7,7.4,7.7,7.2,6.2,5.4,4.0,"$38,680",69.8%
12045,"Gulf County, FL",10.3,9.7,8.1,6.8,6.1,5.3,4.6,3.9,4.4,"$45,426",81.9%
12047,"Hamilton County, FL",11.4,10.4,8.9,8.6,7.6,6.5,5.7,4.8,4.2,"$36,299",65.5%
12049,"Hardee County, FL",11.5,10.1,8.9,8.2,7.7,7.0,6.6,5.9,5.3,"$39,169",70.7%
12051,"Hendry County, FL",14.0,13.9,12.8,12.0,11.3,10.7,8.5,7.3,6.1,"$44,391",80.1%
12053,"Hernando County, FL",13.5,12.5,10.6,9.0,7.9,7.0,6.0,5.2,4.5,"$45,884",82.8%
12055,"Highlands County, FL",12.5,11.5,10.3,9.5,8.4,7.5,6.5,5.7,4.8,"$39,994",72.1%
12057,"Hillsborough County, FL",10.7,9.6,7.9,6.6,5.8,5.1,4.4,3.9,3.4,"$58,361",105.3%
12059,"Holmes County, FL",10.4,9.8,8.8,7.9,7.0,6.2,5.4,4.7,4.0,"$38,040",68.6%
12061,"Indian River County, FL",13.9,12.7,11.0,9.6,7.9,6.9,6.0,5.0,4.3,"$58,228",105.0%
12063,"Jackson County, FL",9.1,9.5,8.7,7.5,6.7,5.9,5.2,4.5,4.0,"$39,545",71.3%
12065,"Jefferson County, FL",9.9,10.1,9.2,7.8,6.6,6.0,5.3,4.4,3.7,"$46,332",83.6%
12067,"Lafayette County, FL",7.3,6.2,5.7,5.2,5.1,4.6,4.4,3.7,3.2,"$42,689",77.0%
12069,"Lake County, FL",11.8,10.6,8.8,7.4,6.4,5.5,4.9,4.2,3.5,"$52,447",94.6%
12071,"Lee County, FL",12.5,10.9,8.8,7.3,6.0,5.2,4.6,4.1,3.4,"$56,343",101.6%
12073,"Leon County, FL",7.9,7.8,7.0,6.1,5.5,5.0,4.5,3.9,3.3,"$51,046",92.1%
12075,"Levy County, FL",11.9,10.9,9.3,8.2,6.9,5.8,5.2,4.5,3.8,"$39,037",70.4%
12077,"Liberty County, FL",8.8,9.2,7.9,6.7,6.7,5.9,5.1,4.6,3.8,"$40,814",73.6%
12079,"Madison County, FL",10.0,9.6,8.6,7.8,7.1,6.2,5.2,4.5,3.9,"$38,249",69.0%
12081,"Manatee County, FL",11.4,10.0,8.1,6.7,5.7,5.1,4.6,4.0,3.4,"$59,587",107.5%
12083,"Marion County, FL",13.6,12.3,10.2,8.5,7.3,6.5,5.8,5.0,4.3,"$44,517",80.3%
12085,"Martin County, FL",10.8,9.9,8.3,7.2,6.1,5.4,4.8,4.2,3.5,"$61,592",111.1%
12086,"Miami-Dade County, FL",11.1,9.4,8.3,7.4,6.7,5.8,5.1,4.6,3.9,"$52,043",93.9%
12087,"Monroe County, FL",7.8,7.0,5.7,4.8,4.1,3.5,3.2,3.3,2.6,"$67,094",121.0%
12089,"Nassau County, FL",10.6,9.6,8.0,6.7,6.0,5.2,4.5,3.9,3.2,"$66,898",120.7%
12091,"Okaloosa County, FL",8.4,7.8,6.7,5.7,5.2,4.5,4.0,3.5,2.9,"$62,779",113.3%
12093,"Okeechobee County, FL",12.6,11.9,10.0,8.7,7.4,6.3,5.1,4.4,3.7,"$42,258",76.2%
12095,"Orange County, FL",10.8,9.8,8.2,6.8,5.8,5.0,4.3,3.8,3.2,"$58,037",104.7%
12097,"Osceola County, FL",12.5,11.3,9.5,7.9,6.7,5.8,5.0,4.3,3.6,"$50,473",91.1%
12099,"Palm Beach County, FL",11.0,10.0,8.5,7.1,5.9,5.1,4.7,4.2,3.6,"$61,735",111.4%
12101,"Pasco County, FL",11.9,10.8,9.0,7.7,6.7,5.9,5.1,4.5,3.8,"$53,788",97.0%
12103,"Pinellas County, FL",10.8,9.7,8.0,6.6,5.8,5.0,4.3,3.8,3.3,"$52,226",94.2%
12105,"Polk County, FL",12.1,11.3,9.6,8.2,7.2,6.3,5.5,4.8,4.1,"$51,354",92.6%
12107,"Putnam County, FL",13.4,12.8,11.8,10.4,8.7,7.7,6.4,5.4,4.8,"$39,578",71.4%
12109,"St. Johns County, FL",8.7,7.7,6.5,5.4,4.7,4.0,3.8,3.4,2.9,"$81,925",147.8%
12111,"St. Lucie County, FL",13.8,12.6,10.9,10.0,8.0,6.4,5.8,5.2,4.4,"$53,377",96.3%
12113,"Santa Rosa County, FL",9.3,8.6,7.5,6.4,5.5,4.8,4.5,3.9,3.3,"$69,541",125.5%
12115,"Sarasota County, FL",11.6,10.2,8.4,7.0,5.8,5.1,4.5,3.9,3.4,"$61,652",111.2%
12117,"Seminole County, FL",10.6,9.6,8.1,6.7,5.7,4.9,4.3,3.7,3.2,"$67,187",121.2%
12119,"Sumter County, FL",13.3,12.2,10.5,9.3,8.4,7.7,7.2,6.1,5.1,"$55,324",99.8%
12121,"Suwannee County, FL",9.8,9.2,8.0,6.9,6.3,5.5,4.9,4.3,3.7,"$38,525",69.5%
12123,"Taylor County, FL",10.6,10.1,9.0,7.8,6.9,6.7,5.4,4.5,3.8,"$42,307",76.3%
12125,"Union County, FL",8.5,8.2,7.2,6.3,6.0,4.9,4.3,3.7,3.4,"$45,906",82.8%
12127,"Volusia County, FL",12.3,11.2,9.5,8.2,6.8,5.9,5.1,4.4,3.7,"$50,285",90.7%
12129,"Wakulla County, FL",8.4,8.3,7.3,6.0,5.2,4.7,4.1,3.6,3.1,"$58,203",105.0%
12131,"Walton County, FL",9.4,8.5,7.3,6.1,5.3,4.7,4.3,3.7,3.1,"$60,973",110.0%
12133,"Washington County, FL",10.6,10.0,8.8,7.7,6.7,6.0,5.1,4.4,3.8,"$39,225",70.8%
,,,,,,,,,,,,
"Sources: Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS) data.

Census Bureau, Small Area Income and Poverty Estimates (SAIPE) Program



",,,,,,,,,,,,
