,,Unemployment Rate (percent),,,,,,,,,,
FIPS ,Name,2010,2011,2012,2013,2014,2015,2016,2017,2018,Median Household Income (2018),% of State Median HH Income
16000,Idaho,9.0,8.3,7.2,6.1,4.8,4.2,3.8,3.2,2.8,"$55,524",100.0%
16001,"Ada County, ID",8.3,7.3,6.2,5.2,4.1,3.7,3.3,2.8,2.5,"$66,827",120.4%
16003,"Adams County, ID",18.5,17.9,14.9,13.6,10.0,7.7,7.0,5.9,5.5,"$45,311",81.6%
16005,"Bannock County, ID",8.0,7.5,6.9,5.8,4.5,4.0,3.6,3.1,2.7,"$51,300",92.4%
16007,"Bear Lake County, ID",7.4,6.1,5.6,5.1,4.5,4.5,4.6,3.2,2.9,"$53,780",96.9%
16009,"Benewah County, ID",13.6,13.3,12.2,10.1,8.1,6.6,6.0,5.7,4.6,"$48,451",87.3%
16011,"Bingham County, ID",7.2,7.1,6.4,5.9,4.5,4.1,3.5,3.0,2.7,"$50,941",91.7%
16013,"Blaine County, ID",9.5,8.7,7.0,5.7,4.5,3.6,3.2,2.6,2.4,"$76,113",137.1%
16015,"Boise County, ID",10.6,10.2,9.5,8.1,6.5,6.4,5.3,4.9,4.2,"$56,837",102.4%
16017,"Bonner County, ID",12.9,12.3,10.5,8.8,7.1,6.0,5.4,4.6,4.1,"$51,373",92.5%
16019,"Bonneville County, ID",7.0,6.9,6.3,5.4,4.2,3.5,3.2,2.7,2.4,"$60,444",108.9%
16021,"Boundary County, ID",13.4,11.6,9.4,8.0,6.0,5.6,5.3,4.8,4.4,"$47,118",84.9%
16023,"Butte County, ID",7.2,8.2,8.2,6.9,5.3,4.6,4.2,3.0,3.2,"$50,050",90.1%
16025,"Camas County, ID",12.8,12.4,9.1,6.5,5.4,3.5,3.6,2.8,2.3,"$53,866",97.0%
16027,"Canyon County, ID",11.3,10.6,9.1,7.5,5.9,5.0,4.4,3.6,3.1,"$53,381",96.1%
16029,"Caribou County, ID",7.8,7.5,6.1,5.3,4.2,4.2,3.6,3.2,2.8,"$61,219",110.3%
16031,"Cassia County, ID",7.1,6.6,5.8,5.2,4.2,3.4,3.0,2.5,2.2,"$51,804",93.3%
16033,"Clark County, ID",9.3,8.9,7.5,6.4,4.7,3.8,3.3,2.8,3.0,"$48,471",87.3%
16035,"Clearwater County, ID",14.6,13.7,12.6,11.3,9.3,8.1,7.4,7.1,6.7,"$46,417",83.6%
16037,"Custer County, ID",8.2,7.9,8.1,8.4,6.8,6.7,5.2,4.3,4.0,"$47,682",85.9%
16039,"Elmore County, ID",8.6,8.3,7.5,6.7,5.2,4.8,4.2,3.7,3.3,"$49,344",88.9%
16041,"Franklin County, ID",5.3,5.4,4.6,4.2,3.4,3.2,3.1,2.3,2.1,"$58,170",104.8%
16043,"Fremont County, ID",8.7,7.7,6.2,5.2,4.0,3.7,3.4,2.7,2.4,"$51,155",92.1%
16045,"Gem County, ID",11.4,10.8,9.4,7.8,5.9,5.3,4.7,4.0,3.4,"$49,857",89.8%
16047,"Gooding County, ID",7.5,6.8,5.7,4.9,4.0,3.5,3.1,2.5,2.4,"$51,302",92.4%
16049,"Idaho County, ID",12.5,12.3,10.9,9.9,7.5,6.3,5.7,5.0,4.7,"$40,569",73.1%
16051,"Jefferson County, ID",7.1,6.9,6.1,5.1,4.0,3.5,3.1,2.6,2.3,"$61,927",111.5%
16053,"Jerome County, ID",8.1,7.6,6.5,5.3,4.0,3.3,3.2,2.8,2.5,"$54,020",97.3%
16055,"Kootenai County, ID",10.9,10.1,8.8,7.3,5.8,5.1,4.7,3.9,3.5,"$56,188",101.2%
16057,"Latah County, ID",6.6,6.3,5.8,4.9,4.0,3.5,3.2,2.7,2.5,"$49,538",89.2%
16059,"Lemhi County, ID",10.2,10.3,9.8,9.4,7.8,7.1,6.2,5.3,4.5,"$44,248",79.7%
16061,"Lewis County, ID",6.7,6.2,5.4,5.0,4.5,5.8,6.3,5.9,5.5,"$44,911",80.9%
16063,"Lincoln County, ID",13.1,11.9,9.2,7.6,5.7,4.6,4.5,3.3,3.4,"$50,464",90.9%
16065,"Madison County, ID",5.4,5.3,4.6,4.1,3.2,2.7,2.4,1.9,1.7,"$41,827",75.3%
16067,"Minidoka County, ID",7.4,6.9,6.1,5.5,4.6,3.7,3.2,2.7,2.5,"$53,447",96.3%
16069,"Nez Perce County, ID",6.7,6.4,5.8,5.0,4.0,3.7,3.3,2.9,2.8,"$54,476",98.1%
16071,"Oneida County, ID",6.0,5.8,4.9,4.3,3.8,3.6,3.6,2.9,2.2,"$52,602",94.7%
16073,"Owyhee County, ID",4.2,4.3,4.1,3.8,3.6,4.8,4.6,4.0,3.6,"$48,192",86.8%
16075,"Payette County, ID",9.7,9.0,7.9,6.5,5.6,5.0,4.7,4.0,3.6,"$51,835",93.4%
16077,"Power County, ID",9.2,8.8,7.8,6.6,4.9,4.7,4.1,3.4,2.9,"$51,921",93.5%
16079,"Shoshone County, ID",15.9,14.5,13.1,12.1,9.9,7.9,7.2,6.4,5.7,"$36,085",65.0%
16081,"Teton County, ID",7.9,6.7,5.9,5.0,4.0,3.5,3.2,2.6,2.2,"$68,749",123.8%
16083,"Twin Falls County, ID",8.5,7.9,6.9,5.7,4.3,3.7,3.4,3.0,2.7,"$51,594",92.9%
16085,"Valley County, ID",15.7,14.1,11.2,10.2,7.5,6.2,5.5,4.5,3.8,"$60,285",108.6%
16087,"Washington County, ID",10.3,9.8,8.4,7.4,6.6,5.9,5.5,4.7,4.1,"$43,402",78.2%
,,,,,,,,,,,,
"Sources: Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS) data.

Census Bureau, Small Area Income and Poverty Estimates (SAIPE) Program



",,,,,,,,,,,,
