,,Unemployment Rate (percent),,,,,,,,,,
FIPS ,Name,2010,2011,2012,2013,2014,2015,2016,2017,2018,Median Household Income (2018),% of State Median HH Income
17000,Illinois,10.4,9.7,9.0,9.0,7.1,6.0,5.8,4.9,4.3,"$65,063",100.0%
17001,"Adams County, IL",7.7,6.9,6.5,6.8,5.3,5.0,4.8,3.9,3.9,"$55,174",84.8%
17003,"Alexander County, IL",11.7,12.9,11.9,12.7,10.6,9.1,9.3,8.4,7.9,"$35,249",54.2%
17005,"Bond County, IL",10.0,9.3,8.9,8.7,6.5,5.3,5.1,4.5,4.4,"$54,800",84.2%
17007,"Boone County, IL",13.8,11.8,10.4,10.1,7.8,6.5,6.4,6.8,5.8,"$74,507",114.5%
17009,"Brown County, IL",7.0,6.2,5.9,6.2,4.2,3.5,3.4,2.9,2.7,"$55,327",85.0%
17011,"Bureau County, IL",10.8,9.9,9.2,9.2,7.3,6.4,6.0,4.9,5.0,"$56,099",86.2%
17013,"Calhoun County, IL",10.0,9.7,10.0,9.8,8.2,6.7,6.2,5.5,5.3,"$56,099",86.2%
17015,"Carroll County, IL",10.4,9.0,8.2,8.0,6.4,5.4,5.6,4.7,4.5,"$51,963",79.9%
17017,"Cass County, IL",8.3,8.2,8.4,9.1,6.9,5.6,5.5,4.6,4.5,"$52,486",80.7%
17019,"Champaign County, IL",8.2,7.8,7.3,7.4,6.0,5.2,5.1,4.4,4.4,"$53,251",81.8%
17021,"Christian County, IL",10.1,9.6,9.3,9.7,7.5,6.6,6.4,5.3,5.3,"$52,936",81.4%
17023,"Clark County, IL",11.7,10.4,9.6,9.3,7.1,6.2,5.8,4.9,5.2,"$54,092",83.1%
17025,"Clay County, IL",11.3,10.6,9.6,9.9,7.9,7.0,6.8,5.4,5.3,"$45,427",69.8%
17027,"Clinton County, IL",7.3,6.7,6.6,6.8,5.4,4.5,4.5,3.6,3.6,"$66,597",102.4%
17029,"Coles County, IL",9.8,9.4,8.8,8.8,6.7,6.0,5.9,4.7,4.8,"$47,291",72.7%
17031,"Cook County, IL",10.9,10.4,9.6,9.6,7.5,6.2,6.0,5.1,4.0,"$63,347",97.4%
17033,"Crawford County, IL",8.5,7.3,7.7,8.3,6.4,5.9,6.2,5.3,5.4,"$52,313",80.4%
17035,"Cumberland County, IL",9.2,8.6,7.8,7.8,5.9,5.2,5.2,4.0,4.0,"$60,572",93.1%
17037,"DeKalb County, IL",10.5,9.3,8.4,8.2,6.5,5.6,5.4,4.7,4.4,"$63,274",97.3%
17039,"De Witt County, IL",8.7,8.5,8.1,8.3,6.6,5.5,5.7,4.8,5.1,"$55,300",85.0%
17041,"Douglas County, IL",8.8,8.1,7.2,7.0,5.8,4.9,4.7,4.2,4.1,"$56,976",87.6%
17043,"DuPage County, IL",8.9,8.2,7.5,7.4,5.8,4.8,4.7,3.9,3.1,"$93,540",143.8%
17045,"Edgar County, IL",11.2,10.5,9.7,9.5,7.1,6.2,6.0,4.9,4.7,"$51,577",79.3%
17047,"Edwards County, IL",8.7,8.1,7.8,8.6,6.7,5.9,5.8,4.7,4.5,"$51,280",78.8%
17049,"Effingham County, IL",7.9,6.9,6.5,6.9,5.4,4.8,4.7,3.8,3.7,"$60,773",93.4%
17051,"Fayette County, IL",10.1,9.2,9.0,9.2,7.5,6.5,6.6,5.6,5.3,"$47,484",73.0%
17053,"Ford County, IL",9.4,8.7,7.7,7.6,6.0,5.4,5.5,4.9,4.8,"$55,357",85.1%
