,,Unemployment Rate (percent),,,,,,,,,,
FIPS ,Name,2010,2011,2012,2013,2014,2015,2016,2017,2018,Median Household Income (2018),% of State Median HH Income
18000,Indiana,10.4,9.1,8.3,7.7,6.0,4.8,4.4,3.6,3.4,"$55,725",100.0%
18001,"Adams County, IN",10.1,7.8,7.0,6.1,4.6,3.8,3.6,2.6,2.6,"$56,693",101.7%
18003,"Allen County, IN",10.7,9.3,8.4,7.5,5.7,4.6,4.3,3.4,3.2,"$54,473",97.8%
18005,"Bartholomew County, IN",9.5,7.6,6.4,6.0,4.4,3.6,3.4,2.8,2.6,"$63,067",113.2%
18007,"Benton County, IN",9.2,7.9,7.5,7.1,5.4,4.5,4.2,3.4,3.2,"$51,649",92.7%
18009,"Blackford County, IN",14.4,12.3,11.4,9.9,7.4,6.0,5.3,4.1,3.9,"$45,161",81.0%
18011,"Boone County, IN",7.6,6.7,6.1,5.7,4.4,3.7,3.4,2.9,2.7,"$85,876",154.1%
18013,"Brown County, IN",10.4,9.2,8.0,7.4,6.0,4.8,4.0,3.4,3.2,"$60,944",109.4%
18015,"Carroll County, IN",9.9,8.3,7.4,7.0,5.2,4.3,4.2,3.4,3.3,"$57,092",102.5%
18017,"Cass County, IN",10.8,9.4,8.6,7.7,5.8,4.6,4.6,3.8,3.7,"$48,598",87.2%
18019,"Clark County, IN",9.5,8.9,7.8,6.9,5.4,4.5,4.2,3.5,3.4,"$56,774",101.9%
18021,"Clay County, IN",11.1,10.4,9.9,8.9,6.8,5.3,4.7,3.7,3.9,"$52,699",94.6%
18023,"Clinton County, IN",10.1,8.6,8.0,7.1,5.1,4.0,3.9,3.1,2.8,"$51,730",92.8%
18025,"Crawford County, IN",12.9,11.9,10.6,10.0,7.7,6.0,5.6,4.5,4.5,"$44,152",79.2%
18027,"Daviess County, IN",6.5,6.1,6.0,5.7,4.5,3.8,3.5,2.8,2.7,"$55,434",99.5%
18029,"Dearborn County, IN",10.9,9.6,8.9,8.5,6.6,5.1,4.7,3.9,3.6,"$66,502",119.3%
