,,Unemployment Rate (percent),,,,,,,,,,
FIPS ,Name,2010,2011,2012,2013,2014,2015,2016,2017,2018,Median Household Income (2018),% of State Median HH Income
19000,Iowa,6.0,5.5,5.0,4.7,4.2,3.8,3.6,3.1,2.5,"$60,071",100.0%
19001,"Adair County, IA",5.5,4.9,4.4,4.2,4.0,3.2,2.9,2.8,2.4,"$54,282",90.4%
19003,"Adams County, IA",4.8,4.4,4.0,3.7,3.3,2.8,2.6,2.3,1.9,"$51,577",85.9%
19005,"Allamakee County, IA",7.8,7.2,6.4,6.3,5.6,4.9,4.9,4.0,3.1,"$53,359",88.8%
19007,"Appanoose County, IA",7.3,6.9,6.5,6.4,5.7,4.9,4.7,3.8,3.3,"$44,298",73.7%
19009,"Audubon County, IA",5.6,5.7,4.8,4.9,4.3,4.0,3.3,3.1,2.4,"$51,210",85.2%
19011,"Benton County, IA",6.2,5.8,5.3,5.1,4.6,3.9,3.6,3.3,2.7,"$62,799",104.5%
19013,"Black Hawk County, IA",6.2,5.8,5.4,5.1,4.9,4.6,4.6,3.7,2.8,"$52,320",87.1%
19015,"Boone County, IA",5.7,5.0,4.3,4.1,3.4,3.0,2.8,2.4,2.1,"$63,099",105.0%
19017,"Bremer County, IA",4.9,4.4,3.8,3.8,3.7,3.5,3.6,2.8,2.0,"$74,646",124.3%
19019,"Buchanan County, IA",6.0,5.7,4.8,4.7,4.6,4.3,4.1,3.2,2.6,"$59,724",99.4%
19021,"Buena Vista County, IA",4.7,4.5,4.2,4.0,3.9,3.7,3.5,2.6,2.1,"$52,683",87.7%
19023,"Butler County, IA",6.1,5.0,4.5,4.5,4.2,4.4,4.3,3.6,2.7,"$57,971",96.5%
19025,"Calhoun County, IA",6.0,5.7,5.5,5.2,4.8,4.4,3.8,3.0,2.5,"$54,865",91.3%
19027,"Carroll County, IA",4.3,4.0,3.7,3.4,3.1,2.6,2.5,2.3,1.9,"$60,531",100.8%
19029,"Cass County, IA",6.3,6.0,5.2,5.0,4.3,3.7,3.2,3.6,2.7,"$50,356",83.8%
19031,"Cedar County, IA",5.4,5.2,4.5,4.3,3.8,3.5,3.3,2.9,2.4,"$67,597",112.5%
19033,"Cerro Gordo County, IA",6.8,6.1,5.6,5.4,4.6,4.0,3.6,3.0,2.6,"$51,939",86.5%
19035,"Cherokee County, IA",4.5,4.7,4.3,4.3,5.1,5.2,3.6,2.5,2.2,"$56,312",93.7%
19037,"Chickasaw County, IA",7.4,6.3,5.2,5.0,4.7,4.5,4.4,3.2,2.7,"$64,190",106.9%
19039,"Clarke County, IA",7.7,7.0,6.0,5.5,4.5,4.1,3.4,3.1,2.8,"$52,541",87.5%
19041,"Clay County, IA",5.9,5.4,5.0,4.5,4.2,3.7,3.8,3.7,3.2,"$56,338",93.8%
19043,"Clayton County, IA",7.1,6.2,5.7,5.6,5.0,4.2,4.2,3.9,3.2,"$53,968",89.8%
19045,"Clinton County, IA",7.0,6.6,6.1,5.8,5.2,5.0,4.9,4.1,3.2,"$51,317",85.4%
19047,"Crawford County, IA",4.7,4.7,4.5,4.4,4.1,4.2,5.4,4.1,3.4,"$54,828",91.3%
19049,"Dallas County, IA",4.6,4.3,3.9,3.6,3.3,2.9,2.6,2.1,1.7,"$87,267",145.3%
19051,"Davis County, IA",7.1,6.1,5.8,5.5,5.1,4.5,4.2,3.3,2.7,"$54,830",91.3%
19053,"Decatur County, IA",6.1,5.0,4.4,4.5,3.8,3.3,3.2,2.6,2.2,"$41,101",68.4%
19055,"Delaware County, IA",6.1,5.5,4.5,4.3,3.8,3.4,3.4,2.7,2.1,"$61,342",102.1%
19057,"Des Moines County, IA",7.4,6.7,6.1,6.0,5.0,4.8,4.9,4.2,3.3,"$51,805",86.2%
19059,"Dickinson County, IA",6.8,6.3,5.6,5.3,4.7,3.9,4.3,3.6,3.2,"$55,603",92.6%
19061,"Dubuque County, IA",5.8,5.1,4.5,4.5,4.1,3.7,3.5,3.0,2.4,"$60,367",100.5%
19063,"Emmet County, IA",7.0,5.6,4.5,4.1,3.9,3.7,4.2,3.2,2.7,"$51,497",85.7%
19065,"Fayette County, IA",7.1,6.2,5.4,5.3,5.0,4.6,4.4,3.6,3.0,"$50,893",84.7%
19067,"Floyd County, IA",7.2,6.5,6.2,5.5,4.5,3.8,3.6,3.2,2.7,"$53,811",89.6%
19069,"Franklin County, IA",6.2,5.1,4.5,4.4,3.9,3.4,3.4,2.7,2.1,"$59,367",98.8%
19071,"Fremont County, IA",5.9,5.8,5.1,4.2,3.9,3.3,3.3,2.6,1.9,"$54,658",91.0%
19073,"Greene County, IA",5.9,5.6,5.0,4.7,4.0,3.5,3.1,2.7,2.3,"$51,861",86.3%
19075,"Grundy County, IA",5.7,5.0,4.6,4.4,4.2,3.8,3.4,2.9,2.5,"$65,060",108.3%
19077,"Guthrie County, IA",6.5,6.1,5.6,5.2,4.4,3.8,3.6,3.2,2.6,"$60,306",100.4%
19079,"Hamilton County, IA",7.3,8.8,6.9,5.4,4.5,4.3,3.8,3.2,2.7,"$56,738",94.5%
19081,"Hancock County, IA",6.6,5.6,4.6,4.0,3.3,2.7,2.7,2.6,2.3,"$60,859",101.3%
19083,"Hardin County, IA",6.5,5.9,5.3,5.1,4.3,4.0,3.9,3.2,2.8,"$55,303",92.1%
19085,"Harrison County, IA",5.6,5.5,5.0,4.5,4.0,3.4,3.4,2.7,2.2,"$60,044",100.0%
19087,"Henry County, IA",8.3,6.8,5.9,5.3,4.4,3.9,3.5,3.0,2.5,"$55,856",93.0%
19089,"Howard County, IA",6.3,5.3,4.6,4.6,4.0,3.6,3.6,3.0,2.5,"$53,500",89.1%
19091,"Humboldt County, IA",5.2,5.0,4.2,4.1,3.8,3.3,2.9,3.0,2.5,"$60,166",100.2%
19093,"Ida County, IA",5.1,4.9,4.0,4.0,3.6,3.1,2.5,2.3,2.0,"$60,312",100.4%
19095,"Iowa County, IA",5.5,5.0,4.5,4.1,4.2,3.5,3.1,2.6,2.1,"$64,188",106.9%
19097,"Jackson County, IA",7.2,6.5,5.5,5.4,5.0,4.2,4.2,3.4,2.8,"$54,663",91.0%
19099,"Jasper County, IA",7.3,6.7,5.9,5.1,4.4,3.9,3.5,3.1,2.6,"$60,378",100.5%
19101,"Jefferson County, IA",7.1,6.0,5.3,5.0,4.3,3.9,3.6,3.1,2.4,"$46,715",77.8%
19103,"Johnson County, IA",4.2,4.0,3.7,3.4,3.1,2.7,2.6,2.5,1.9,"$64,387",107.2%
