,,Unemployment Rate (percent),,,,,,,,,,
FIPS ,Name,2010,2011,2012,2013,2014,2015,2016,2017,2018,Median Household Income (2018),% of State Median HH Income
20000,Kansas,7.1,6.5,5.7,5.3,4.5,4.2,4.0,3.7,3.4,"$58,150",100.0%
20001,"Allen County, KS",8.3,8.0,7.2,6.1,5.1,5.1,5.6,4.9,4.0,"$44,423",76.4%
20003,"Anderson County, KS",7.7,7.6,6.5,5.8,5.2,4.8,4.3,3.9,3.5,"$50,646",87.1%
20005,"Atchison County, KS",9.9,9.0,7.7,8.6,6.5,6.1,6.2,5.2,4.6,"$49,332",84.8%
20007,"Barber County, KS",4.5,4.0,3.9,4.0,3.1,4.2,3.7,2.9,2.6,"$47,634",81.9%
20009,"Barton County, KS",6.0,5.2,4.5,4.1,3.6,4.2,4.5,3.6,3.3,"$49,991",86.0%
20011,"Bourbon County, KS",9.0,9.0,7.7,6.5,5.3,4.8,4.8,4.4,4.2,"$41,807",71.9%
20013,"Brown County, KS",6.6,6.0,5.4,5.0,4.1,4.0,3.6,3.2,3.0,"$47,529",81.7%
20015,"Butler County, KS",7.8,7.0,6.2,5.5,4.9,4.3,4.2,3.8,3.5,"$65,953",113.4%
20017,"Chase County, KS",5.6,5.5,5.3,5.6,4.1,3.6,3.5,2.6,2.6,"$50,981",87.7%
20019,"Chautauqua County, KS",9.0,8.2,6.5,6.2,5.4,5.7,5.2,4.7,4.0,"$41,129",70.7%
20021,"Cherokee County, KS",9.1,8.1,7.8,6.4,5.0,4.4,4.4,3.9,3.8,"$44,475",76.5%
20023,"Cheyenne County, KS",4.1,4.3,3.6,3.4,3.1,2.7,2.8,2.6,2.4,"$43,274",74.4%
20025,"Clark County, KS",4.4,3.8,3.5,3.1,2.6,2.4,2.8,2.5,2.4,"$51,235",88.1%
20027,"Clay County, KS",5.5,5.7,5.2,5.0,4.4,4.3,4.1,3.7,3.2,"$52,681",90.6%
20029,"Cloud County, KS",5.6,5.5,5.0,4.4,4.2,3.8,4.1,4.3,3.5,"$44,467",76.5%
20031,"Coffey County, KS",7.6,7.8,7.0,5.9,5.7,5.7,6.2,5.3,4.8,"$58,371",100.4%
20033,"Comanche County, KS",4.5,4.4,3.9,3.5,3.1,3.3,3.1,2.9,2.5,"$46,818",80.5%
20035,"Cowley County, KS",7.8,7.0,6.2,5.8,4.6,4.6,4.4,3.8,3.4,"$47,864",82.3%
20037,"Crawford County, KS",8.7,7.9,6.6,5.9,5.4,5.1,4.8,4.2,4.0,"$43,852",75.4%
20039,"Decatur County, KS",5.0,4.8,4.4,4.0,3.5,3.6,3.9,3.1,3.0,"$44,774",77.0%
20041,"Dickinson County, KS",6.6,6.6,6.0,5.9,5.1,5.2,4.4,3.8,3.5,"$50,605",87.0%
