,,Unemployment Rate (percent),,,,,,,,,,
FIPS ,Name,2010,2011,2012,2013,2014,2015,2016,2017,2018,Median Household Income (2018),% of State Median HH Income
22000,Louisiana,8.0,7.8,7.1,6.7,6.4,6.3,6.1,5.1,4.9,"$48,021",100.0%
22001,"Acadia Parish, LA",7.3,6.7,6.0,6.0,5.8,6.8,7.4,5.9,5.4,"$40,484",84.3%
22003,"Allen Parish, LA",9.8,9.1,8.0,7.5,7.2,7.0,6.4,5.3,5.6,"$44,395",92.4%
22005,"Ascension Parish, LA",7.5,7.0,6.1,5.6,5.3,5.1,4.9,4.3,4.1,"$77,758",161.9%
22007,"Assumption Parish, LA",11.6,12.1,9.7,8.3,7.7,7.9,8.4,7.3,6.7,"$48,120",100.2%
22009,"Avoyelles Parish, LA",8.4,8.4,7.6,7.5,7.2,7.5,7.1,6.1,5.7,"$37,731",78.6%
22011,"Beauregard Parish, LA",7.9,8.2,7.5,7.4,6.8,6.3,6.0,5.3,5.3,"$57,005",118.7%
22013,"Bienville Parish, LA",10.0,10.1,9.0,8.7,7.9,8.3,7.6,6.0,5.8,"$34,047",70.9%
22015,"Bossier Parish, LA",6.1,5.9,5.8,6.0,5.7,5.7,5.3,4.5,4.3,"$56,754",118.2%
22017,"Caddo Parish, LA",8.1,7.9,7.7,7.9,7.4,7.1,6.6,5.8,5.5,"$40,467",84.3%
22019,"Calcasieu Parish, LA",8.0,7.7,6.9,6.5,5.9,5.4,4.8,4.0,3.8,"$50,531",105.2%
22021,"Caldwell Parish, LA",10.8,10.0,8.7,8.2,7.7,8.3,7.6,5.7,5.7,"$40,842",85.1%
22023,"Cameron Parish, LA",6.3,5.8,5.2,5.3,4.9,4.7,4.4,3.6,3.5,"$57,299",119.3%
22025,"Catahoula Parish, LA",10.3,10.3,8.9,8.5,8.1,9.6,9.3,7.0,6.8,"$35,812",74.6%
22027,"Claiborne Parish, LA",8.7,8.3,7.4,7.5,7.4,7.3,6.7,5.3,5.2,"$33,659",70.1%
22029,"Concordia Parish, LA",9.9,9.6,8.8,8.5,8.6,8.7,8.2,7.9,7.0,"$35,840",74.6%
22031,"De Soto Parish, LA",8.8,8.5,9.0,8.8,8.1,8.0,7.3,6.1,5.7,"$44,457",92.6%
22033,"East Baton Rouge Parish, LA",7.6,7.6,6.7,6.2,5.7,5.4,5.1,4.4,4.3,"$52,945",110.3%
22035,"East Carroll Parish, LA",17.7,18.1,20.0,16.9,14.6,14.1,11.5,11.1,10.3,"$27,714",57.7%
22037,"East Feliciana Parish, LA",8.3,8.5,7.5,6.9,6.4,6.0,5.8,4.8,4.7,"$45,174",94.1%
22039,"Evangeline Parish, LA",8.6,8.4,7.4,6.8,6.8,7.5,7.4,5.9,5.8,"$34,113",71.0%
