,,Unemployment Rate (percent),,,,,,,,,,
FIPS ,Name,2010,2011,2012,2013,2014,2015,2016,2017,2018,Median Household Income (2018),% of State Median HH Income
23000,Maine,8.1,7.9,7.5,6.6,5.6,4.4,3.8,3.4,3.4,"$55,579",100.0%
23001,"Androscoggin County, ME",8.6,8.1,7.7,6.7,5.4,4.2,3.6,3.2,3.3,"$49,935",89.8%
23003,"Aroostook County, ME",9.7,9.8,9.3,8.6,7.6,5.9,5.4,4.9,4.8,"$39,450",71.0%
23005,"Cumberland County, ME",6.5,6.3,6.0,5.3,4.4,3.4,2.9,2.6,2.7,"$71,586",128.8%
23007,"Franklin County, ME",9.2,9.1,8.7,7.7,6.5,4.8,4.5,4.2,4.0,"$49,561",89.2%
23009,"Hancock County, ME",8.8,8.9,8.7,7.9,6.8,5.6,4.5,3.9,3.8,"$52,148",93.8%
23011,"Kennebec County, ME",7.6,7.5,7.2,6.2,5.4,4.2,3.6,3.3,3.2,"$52,154",93.8%
23013,"Knox County, ME",7.4,7.3,6.9,5.9,5.1,4.1,3.5,3.2,3.2,"$56,678",102.0%
23015,"Lincoln County, ME",7.6,7.8,7.3,6.8,5.9,4.4,3.7,3.3,3.3,"$56,211",101.1%
23017,"Oxford County, ME",10.7,10.5,9.7,8.3,7.0,5.4,4.6,3.9,4.0,"$44,243",79.6%
23019,"Penobscot County, ME",8.5,8.3,7.8,6.8,6.1,4.7,4.3,3.8,3.8,"$47,840",86.1%
23021,"Piscataquis County, ME",10.7,10.2,9.5,8.8,7.3,5.5,5.0,4.1,4.2,"$40,066",72.1%
23023,"Sagadahoc County, ME",6.7,6.8,6.6,5.6,4.5,3.5,3.0,2.8,2.7,"$65,969",118.7%
23025,"Somerset County, ME",11.1,10.9,10.0,9.2,7.8,6.5,5.6,5.0,4.8,"$43,755",78.7%
23027,"Waldo County, ME",8.5,8.3,8.3,7.2,6.0,5.2,4.2,3.7,3.5,"$49,482",89.0%
23029,"Washington County, ME",10.8,10.6,10.3,9.3,8.1,6.4,5.5,5.1,4.9,"$39,522",71.1%
23031,"York County, ME",8.0,7.3,6.9,6.3,5.1,3.9,3.4,3.0,3.0,"$65,984",118.7%
,,,,,,,,,,,,
"Sources: Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS) data.

Census Bureau, Small Area Income and Poverty Estimates (SAIPE) Program



",,,,,,,,,,,,
,,,,,,,,,,,,
