,,Unemployment Rate (percent),,,,,,,,,,
FIPS ,Name,2010,2011,2012,2013,2014,2015,2016,2017,2018,Median Household Income (2018),% of State Median HH Income
24000,Maryland,7.7,7.2,7.0,6.6,5.8,5.1,4.5,4.3,3.9,"$83,076",100.0%
24001,"Allegany County, MD",9.3,9.1,8.9,8.5,7.6,7.0,6.3,5.9,5.5,"$43,535",52.4%
24003,"Anne Arundel County, MD",6.9,6.3,6.0,5.7,5.1,4.4,3.8,3.6,3.3,"$97,051",116.8%
24005,"Baltimore County, MD",8.3,7.7,7.4,6.9,6.1,5.3,4.7,4.4,4.0,"$75,836",91.3%
24009,"Calvert County, MD",6.9,6.5,6.3,5.9,5.3,4.6,3.9,3.7,3.5,"$106,270",127.9%
24011,"Caroline County, MD",9.2,8.6,7.7,6.9,6.3,5.4,4.8,4.4,3.8,"$56,627",68.2%
24013,"Carroll County, MD",6.8,6.1,5.9,5.5,4.8,4.2,3.7,3.5,3.2,"$95,956",115.5%
24015,"Cecil County, MD",9.5,8.9,8.3,7.7,6.6,6.0,5.2,4.9,4.4,"$72,739",87.6%
24017,"Charles County, MD",6.9,6.7,6.7,6.5,5.7,5.0,4.3,4.1,3.9,"$92,616",111.5%
24019,"Dorchester County, MD",11.4,11.1,10.8,9.8,8.4,7.2,6.2,5.9,5.2,"$48,682",58.6%
24021,"Frederick County, MD",6.9,6.4,6.1,5.7,5.0,4.5,3.9,3.7,3.5,"$95,196",114.6%
24023,"Garrett County, MD",8.9,8.4,8.3,8.1,7.1,6.3,5.7,5.3,4.8,"$49,147",59.2%
24025,"Harford County, MD",7.8,7.2,6.9,6.5,5.7,4.9,4.2,4.0,3.6,"$87,959",105.9%
24027,"Howard County, MD",5.6,5.2,5.0,4.8,4.3,3.8,3.3,3.2,3.0,"$116,719",140.5%
24029,"Kent County, MD",8.8,8.1,7.6,7.2,6.4,5.3,4.9,4.6,4.3,"$55,514",66.8%
24031,"Montgomery County, MD",5.6,5.3,5.2,4.9,4.4,3.9,3.5,3.4,3.2,"$107,758",129.7%
24033,"Prince George's County, MD",7.5,7.5,7.3,6.9,6.1,5.2,4.5,4.3,4.1,"$82,445",99.2%
24035,"Queen Anne's County, MD",7.3,6.8,6.3,5.8,5.1,4.5,3.9,3.8,3.3,"$93,751",112.8%
24037,"St. Mary's County, MD",6.5,6.3,6.2,6.0,5.4,4.8,4.3,4.1,3.8,"$89,964",108.3%
24039,"Somerset County, MD",11.9,11.7,11.3,10.7,9.4,8.2,7.3,7.0,6.9,"$42,098",50.7%
24041,"Talbot County, MD",8.0,7.4,7.2,6.4,5.5,4.9,4.2,4.1,3.7,"$64,245",77.3%
24043,"Washington County, MD",9.6,8.8,7.8,7.3,6.5,5.6,5.2,4.8,4.3,"$62,556",75.3%
24045,"Wicomico County, MD",9.8,9.8,9.4,8.7,7.7,6.8,6.3,5.9,5.2,"$54,313",65.4%
24047,"Worcester County, MD",13.4,13.7,12.9,12.6,11.5,10.6,9.3,8.8,8.0,"$59,266",71.3%
24510,"Baltimore city, MD",11.2,10.6,10.2,9.7,8.6,7.5,6.6,6.3,5.7,"$50,501",60.8%
,,,,,,,,,,,,
"Sources: Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS) data.

Census Bureau, Small Area Income and Poverty Estimates (SAIPE) Program



",,,,,,,,,,,,
,,,,,,,,,,,,
