,,Unemployment Rate (percent),,,,,,,,,,
FIPS ,Name,2010,2011,2012,2013,2014,2015,2016,2017,2018,Median Household Income (2018),% of State Median HH Income
26000,Michigan,12.6,10.4,9.1,8.8,7.2,5.4,5.0,4.6,4.1,"$56,640",100.0%
26001,"Alcona County, MI",17.8,14.3,12.7,13.3,10.6,8.0,7.6,7.1,6.6,"$39,862",70.4%
26003,"Alger County, MI",14.1,12.7,11.9,11.7,10.4,8.6,8.2,8.3,7.8,"$47,441",83.8%
26005,"Allegan County, MI",11.3,8.7,7.4,6.7,5.4,4.2,3.9,3.7,3.3,"$62,247",109.9%
26007,"Alpena County, MI",13.1,10.8,9.7,9.7,8.0,6.3,5.9,5.7,5.1,"$42,792",75.6%
26009,"Antrim County, MI",16.0,13.3,11.5,11.4,9.5,7.5,7.0,6.5,5.6,"$56,456",99.7%
26011,"Arenac County, MI",16.5,14.1,12.8,13.0,11.1,9.0,8.2,8.0,7.1,"$42,540",75.1%
26013,"Baraga County, MI",19.4,16.4,14.1,14.5,11.3,9.2,8.2,7.7,6.1,"$43,435",76.7%
26015,"Barry County, MI",10.4,8.2,6.8,6.4,5.4,4.3,4.0,3.9,3.4,"$64,121",113.2%
26017,"Bay County, MI",11.6,9.9,8.7,8.7,7.2,5.8,5.4,5.5,4.8,"$50,576",89.3%
26019,"Benzie County, MI",13.5,12.0,10.5,10.3,8.7,7.0,6.5,6.5,5.5,"$51,905",91.6%
26021,"Berrien County, MI",12.0,10.2,9.0,8.7,6.8,5.2,5.0,4.8,4.3,"$51,509",90.9%
26023,"Branch County, MI",12.6,10.5,8.9,8.4,6.7,5.1,4.8,4.5,3.7,"$50,477",89.1%
26025,"Calhoun County, MI",11.7,9.8,8.4,7.9,6.3,5.1,4.8,4.9,4.2,"$48,413",85.5%
26027,"Cass County, MI",11.4,9.7,8.4,8.2,6.7,5.1,4.7,4.5,4.1,"$55,978",98.8%
26029,"Charlevoix County, MI",14.0,12.2,10.8,10.7,8.2,6.1,5.5,5.5,4.7,"$54,491",96.2%
26031,"Cheboygan County, MI",14.0,12.3,11.8,11.5,10.7,9.1,9.4,10.0,9.2,"$48,589",85.8%
26033,"Chippewa County, MI",11.9,10.9,10.0,10.5,9.5,7.8,7.6,7.6,6.6,"$47,380",83.7%
26035,"Clare County, MI",15.5,13.2,11.8,11.7,9.9,7.8,7.3,6.9,6.1,"$39,394",69.6%
26037,"Clinton County, MI",8.4,7.0,6.1,6.0,5.1,3.9,3.7,3.6,3.2,"$70,967",125.3%
26039,"Crawford County, MI",14.2,12.8,11.8,11.4,9.5,7.9,7.5,6.9,6.0,"$46,930",82.9%
26041,"Delta County, MI",12.5,10.8,9.9,10.3,8.5,6.8,6.5,6.2,5.3,"$49,292",87.0%
26043,"Dickinson County, MI",11.5,9.6,8.4,8.3,6.8,5.7,5.2,4.7,3.8,"$52,348",92.4%
26045,"Eaton County, MI",9.6,8.0,6.9,6.7,5.7,4.4,4.1,4.1,3.5,"$66,716",117.8%
26047,"Emmet County, MI",14.4,13.1,11.9,11.8,9.6,7.2,6.5,6.5,5.9,"$58,891",104.0%
26049,"Genesee County, MI",14.0,11.4,10.0,9.7,7.9,6.1,5.6,5.6,4.9,"$48,370",85.4%
26051,"Gladwin County, MI",14.8,13.0,11.8,11.7,9.3,7.3,7.0,6.5,5.6,"$44,635",78.8%
26053,"Gogebic County, MI",13.1,11.9,11.1,10.8,8.9,7.3,6.1,5.9,5.1,"$39,934",70.5%
26055,"Grand Traverse County, MI",11.6,9.8,8.3,7.6,6.0,4.7,4.3,4.2,3.7,"$64,591",114.0%
26057,"Gratiot County, MI",11.8,10.0,9.0,8.9,7.1,5.7,5.2,5.4,4.7,"$48,988",86.5%
26059,"Hillsdale County, MI",13.5,10.6,9.2,8.9,7.0,5.3,5.0,4.9,4.0,"$50,388",89.0%
26061,"Houghton County, MI",10.8,9.6,9.0,8.9,7.7,6.4,6.1,5.9,5.1,"$42,282",74.7%
26063,"Huron County, MI",12.5,9.7,8.1,8.4,6.9,5.4,5.2,5.1,4.6,"$45,817",80.9%
26065,"Ingham County, MI",10.3,8.8,7.8,7.7,6.2,4.7,4.3,4.3,3.6,"$52,837",93.3%
26067,"Ionia County, MI",11.9,9.8,8.5,8.0,6.2,4.6,4.2,3.9,3.4,"$61,667",108.9%
26069,"Iosco County, MI",15.8,12.8,11.2,11.4,9.7,7.6,7.3,7.3,6.4,"$41,256",72.8%
26071,"Iron County, MI",12.0,10.4,9.5,10.2,8.7,7.1,6.4,6.3,5.6,"$40,959",72.3%
26073,"Isabella County, MI",9.8,8.4,7.4,7.2,5.9,4.8,4.7,4.4,3.9,"$47,056",83.1%
26075,"Jackson County, MI",12.2,9.9,8.5,8.3,6.7,5.3,4.8,4.6,3.9,"$52,047",91.9%
26077,"Kalamazoo County, MI",10.0,8.4,7.2,6.9,5.6,4.4,4.0,4.0,3.4,"$55,881",98.7%
26079,"Kalkaska County, MI",15.6,13.0,11.3,11.2,9.4,7.7,7.2,6.9,5.9,"$46,068",81.3%
26081,"Kent County, MI",10.1,8.2,6.8,6.2,5.0,3.8,3.5,3.4,3.0,"$61,675",108.9%
26083,"Keweenaw County, MI",15.1,13.8,12.7,13.6,11.1,9.3,8.6,8.7,6.9,"$51,641",91.2%
26085,"Lake County, MI",16.2,13.7,13.1,13.3,11.2,8.6,7.5,8.1,6.9,"$36,044",63.6%
26087,"Lapeer County, MI",16.3,13.2,11.6,11.4,9.6,7.2,6.5,5.5,5.2,"$65,209",115.1%
26089,"Leelanau County, MI",10.4,9.2,8.0,7.7,6.7,5.3,4.8,4.7,4.2,"$67,349",118.9%
26091,"Lenawee County, MI",13.0,10.4,8.4,7.8,6.4,5.0,4.6,4.7,4.1,"$55,762",98.4%
26093,"Livingston County, MI",11.2,9.0,7.9,7.4,6.3,4.6,4.1,3.4,3.3,"$84,048",148.4%
26095,"Luce County, MI",13.4,12.2,10.9,10.3,8.5,7.0,6.7,6.8,6.2,"$43,196",76.3%
26097,"Mackinac County, MI",14.6,13.1,12.1,12.2,11.2,9.7,9.8,10.1,9.7,"$46,645",82.4%
26099,"Macomb County, MI",13.9,11.1,9.8,9.5,7.9,5.8,5.2,4.4,4.0,"$62,191",109.8%
26101,"Manistee County, MI",13.1,12.0,10.8,10.6,8.5,6.7,6.5,6.5,5.7,"$47,401",83.7%
26103,"Marquette County, MI",9.8,8.9,8.1,8.2,7.0,6.0,5.7,5.5,4.9,"$54,093",95.5%
26105,"Mason County, MI",12.6,11.0,9.7,9.2,7.5,6.1,5.8,5.7,4.9,"$51,083",90.2%
26107,"Mecosta County, MI",12.6,11.3,10.1,10.0,7.9,6.2,5.6,5.7,5.0,"$45,804",80.9%
26109,"Menominee County, MI",11.6,9.1,8.0,7.8,6.9,5.4,5.1,4.8,4.0,"$46,486",82.1%
26111,"Midland County, MI",9.8,8.4,7.8,7.7,6.1,4.9,4.7,4.6,4.0,"$58,057",102.5%
26113,"Missaukee County, MI",12.7,10.9,9.7,9.2,7.8,6.6,5.9,5.7,5.0,"$48,413",85.5%
26115,"Monroe County, MI",11.7,9.5,7.7,7.4,6.1,4.6,4.3,4.7,4.2,"$62,522",110.4%
26117,"Montcalm County, MI",14.1,11.6,10.2,9.6,7.6,5.7,5.3,4.9,4.2,"$50,396",89.0%
26119,"Montmorency County, MI",20.2,18.1,16.2,16.0,13.0,10.0,10.1,10.4,8.6,"$40,650",71.8%
26121,"Muskegon County, MI",14.5,11.4,10.0,9.9,7.7,5.8,5.4,5.3,4.5,"$49,960",88.2%
26123,"Newaygo County, MI",12.7,10.6,9.2,8.9,7.2,5.5,4.9,4.9,4.3,"$48,860",86.3%
26125,"Oakland County, MI",11.8,9.5,8.2,7.8,6.5,4.7,4.2,3.5,3.3,"$80,319",141.8%
