,,Unemployment Rate (percent),,,,,,,,,,
FIPS ,Name,2010,2011,2012,2013,2014,2015,2016,2017,2018,Median Household Income (2018),% of State Median HH Income
27000,Minnesota,7.4,6.5,5.6,5.0,4.2,3.7,3.9,3.4,2.9,"$70,295",100.0%
27001,"Aitkin County, MN",10.4,9.6,8.1,7.5,6.7,6.5,7.0,6.1,5.6,"$44,016",62.6%
27003,"Anoka County, MN",8.0,6.8,5.9,5.0,4.1,3.6,3.7,3.3,2.8,"$82,284",117.1%
27005,"Becker County, MN",7.9,7.1,5.8,5.5,4.8,4.4,4.6,4.1,3.6,"$59,440",84.6%
27007,"Beltrami County, MN",8.2,8.2,7.0,6.2,5.3,4.9,5.2,4.8,4.1,"$47,073",67.0%
27009,"Benton County, MN",8.7,7.6,6.4,5.9,5.1,4.4,4.4,4.0,3.5,"$61,341",87.3%
27011,"Big Stone County, MN",6.5,6.4,5.2,5.4,4.4,4.4,4.8,4.4,3.8,"$51,058",72.6%
27013,"Blue Earth County, MN",6.4,5.4,4.8,4.2,3.4,2.9,3.2,2.9,2.5,"$58,132",82.7%
27015,"Brown County, MN",6.9,5.9,5.6,5.2,4.6,4.1,4.2,3.7,3.4,"$60,626",86.2%
27017,"Carlton County, MN",8.4,7.6,6.9,6.0,5.2,4.9,5.3,4.7,4.1,"$60,412",85.9%
27019,"Carver County, MN",6.7,5.5,4.8,4.3,3.6,3.2,3.3,2.9,2.5,"$104,248",148.3%
27021,"Cass County, MN",10.6,10.0,8.9,8.2,7.1,6.7,6.8,5.9,5.1,"$48,651",69.2%
27023,"Chippewa County, MN",7.3,6.3,5.3,5.1,4.5,4.4,4.5,3.9,3.2,"$53,540",76.2%
27025,"Chisago County, MN",8.9,7.6,6.6,5.6,4.7,4.2,4.3,3.9,3.4,"$82,814",117.8%
27027,"Clay County, MN",5.5,5.5,4.8,4.3,3.4,3.1,3.4,3.2,2.9,"$65,914",93.8%
27029,"Clearwater County, MN",13.1,11.9,10.5,10.6,10.5,9.1,9.6,8.7,8.1,"$51,475",73.2%
27031,"Cook County, MN",7.2,6.9,6.2,5.8,5.6,4.4,4.5,3.8,3.5,"$54,465",77.5%
27033,"Cottonwood County, MN",6.5,6.1,6.5,5.8,5.2,4.7,7.2,5.1,3.6,"$51,788",73.7%
27035,"Crow Wing County, MN",9.5,8.7,7.7,6.9,5.9,5.1,5.1,4.4,3.9,"$53,481",76.1%
27037,"Dakota County, MN",7.0,6.1,5.2,4.5,3.8,3.3,3.4,3.0,2.5,"$86,403",122.9%
27039,"Dodge County, MN",6.9,6.0,5.0,4.7,4.2,3.7,3.7,3.3,3.0,"$75,955",108.1%
27041,"Douglas County, MN",6.8,6.0,5.0,4.4,3.7,3.4,3.5,3.1,2.8,"$60,979",86.7%
27043,"Faribault County, MN",8.0,7.1,5.8,5.4,5.2,4.4,4.4,4.1,3.5,"$52,560",74.8%
27045,"Fillmore County, MN",7.5,6.6,5.5,5.0,4.4,4.1,4.0,3.5,3.1,"$58,761",83.6%
27047,"Freeborn County, MN",7.7,6.6,5.8,5.0,4.3,3.8,3.8,3.6,3.2,"$52,010",74.0%
27049,"Goodhue County, MN",7.0,6.0,5.2,4.7,3.9,3.5,3.7,3.2,2.7,"$67,039",95.4%
27051,"Grant County, MN",7.9,6.9,6.1,5.7,5.0,4.7,4.7,4.1,4.0,"$54,917",78.1%
27053,"Hennepin County, MN",7.0,6.1,5.2,4.6,3.8,3.3,3.3,3.0,2.5,"$76,067",108.2%
27055,"Houston County, MN",7.7,6.9,5.8,5.0,4.4,3.8,3.9,3.4,2.9,"$59,613",84.8%
27057,"Hubbard County, MN",9.9,9.2,8.0,7.2,6.4,6.1,6.5,5.5,5.0,"$55,687",79.2%
27059,"Isanti County, MN",9.6,8.3,7.0,6.0,5.1,4.3,4.7,4.2,3.7,"$73,468",104.5%
27061,"Itasca County, MN",10.2,9.1,7.8,7.7,6.6,6.5,8.5,6.9,5.4,"$53,143",75.6%
27063,"Jackson County, MN",5.8,5.4,4.5,4.1,4.2,4.0,4.5,3.6,2.9,"$57,786",82.2%
27065,"Kanabec County, MN",11.2,10.0,9.0,8.1,7.4,6.6,6.5,6.0,5.5,"$56,950",81.0%
27067,"Kandiyohi County, MN",6.7,6.0,5.2,4.8,4.2,3.7,3.8,3.2,2.9,"$60,579",86.2%
27069,"Kittson County, MN",7.5,6.8,5.8,6.0,4.9,4.6,4.6,3.7,2.9,"$54,438",77.4%
27071,"Koochiching County, MN",8.7,8.4,8.0,8.3,8.5,8.1,8.5,7.0,6.1,"$46,281",65.8%
27073,"Lac qui Parle County, MN",6.7,6.1,5.0,5.6,4.8,4.1,4.3,3.4,3.6,"$52,445",74.6%
27075,"Lake County, MN",8.3,6.9,6.0,6.2,4.6,4.8,6.4,3.8,3.1,"$61,015",86.8%
27077,"Lake of the Woods County, MN",6.5,6.2,6.1,5.6,4.8,4.4,4.8,4.6,3.8,"$52,058",74.1%
27079,"Le Sueur County, MN",8.9,7.6,6.5,6.1,5.4,4.8,4.9,4.6,4.1,"$67,269",95.7%
27081,"Lincoln County, MN",5.5,5.2,4.7,4.6,4.3,3.5,3.7,3.2,3.0,"$51,305",73.0%
27083,"Lyon County, MN",5.6,5.3,4.4,4.1,3.6,3.2,3.6,3.2,2.9,"$57,690",82.1%
27085,"McLeod County, MN",9.0,7.6,6.8,5.6,4.6,3.9,4.4,3.7,3.1,"$61,959",88.1%
27087,"Mahnomen County, MN",8.3,7.6,6.9,5.8,5.6,5.8,5.8,5.0,4.6,"$43,162",61.4%
27089,"Marshall County, MN",9.3,8.3,7.7,7.6,6.8,6.9,7.3,6.9,5.8,"$58,105",82.7%
27091,"Martin County, MN",7.3,6.6,5.6,5.3,4.7,4.0,4.1,3.4,3.1,"$50,821",72.3%
27093,"Meeker County, MN",8.8,7.7,6.6,5.5,4.6,4.2,4.5,4.0,3.5,"$66,557",94.7%
27095,"Mille Lacs County, MN",11.1,9.6,8.3,7.5,6.7,5.8,5.9,5.5,4.8,"$53,289",75.8%
27097,"Morrison County, MN",9.5,8.2,7.1,6.7,6.2,5.4,5.6,5.3,4.7,"$57,471",81.8%
27099,"Mower County, MN",6.1,5.7,5.0,4.5,3.8,3.2,3.2,2.8,2.7,"$53,387",75.9%
27101,"Murray County, MN",6.8,6.2,5.2,5.3,4.9,4.4,4.7,4.3,3.7,"$59,938",85.3%
27103,"Nicollet County, MN",6.1,5.1,4.6,3.7,3.1,2.6,2.8,2.5,2.2,"$66,209",94.2%
27105,"Nobles County, MN",5.6,5.3,4.3,4.0,3.4,3.2,3.8,3.1,2.6,"$55,766",79.3%
27107,"Norman County, MN",6.9,6.7,5.9,5.7,5.0,4.6,4.8,4.6,4.3,"$48,799",69.4%
27109,"Olmsted County, MN",5.9,5.3,4.4,4.0,3.4,2.9,3.0,2.7,2.3,"$76,001",108.1%
27111,"Otter Tail County, MN",7.2,6.4,5.6,5.3,4.5,4.2,4.3,3.9,3.6,"$53,778",76.5%
27113,"Pennington County, MN",9.0,7.7,6.6,6.3,5.2,5.1,5.7,5.6,4.2,"$57,494",81.8%
27115,"Pine County, MN",9.8,8.8,7.5,6.9,6.1,5.5,5.8,5.6,4.8,"$50,387",71.7%
27117,"Pipestone County, MN",6.6,6.5,5.0,4.6,3.8,3.3,3.8,3.3,2.9,"$55,378",78.8%
27119,"Polk County, MN",6.6,7.0,6.2,5.4,4.6,4.2,4.3,4.1,3.7,"$60,180",85.6%
27121,"Pope County, MN",7.1,5.9,4.7,4.3,3.6,3.5,3.5,3.0,2.6,"$60,975",86.7%
27123,"Ramsey County, MN",7.5,6.6,5.7,4.9,4.0,3.5,3.6,3.2,2.7,"$62,937",89.5%
27125,"Red Lake County, MN",9.6,8.1,7.2,6.7,5.8,5.9,7.3,6.5,5.2,"$54,412",77.4%
27127,"Redwood County, MN",6.7,6.0,5.5,5.5,4.4,3.9,4.1,4.0,3.6,"$56,760",80.7%
27129,"Renville County, MN",8.1,7.3,6.8,6.5,5.5,4.8,5.2,4.4,3.9,"$59,787",85.1%
27131,"Rice County, MN",7.8,6.6,5.8,4.9,4.1,3.5,3.5,3.1,2.8,"$67,024",95.3%
27133,"Rock County, MN",5.1,4.2,3.6,3.2,2.5,2.1,2.3,2.1,2.3,"$63,503",90.3%
27135,"Roseau County, MN",6.4,5.3,4.7,4.4,3.7,4.0,5.1,4.8,3.3,"$60,239",85.7%
27137,"St. Louis County, MN",8.1,7.3,6.5,6.1,5.1,4.9,5.7,4.6,3.7,"$53,833",76.6%
27139,"Scott County, MN",6.9,5.8,5.0,4.4,3.6,3.1,3.2,2.9,2.5,"$101,427",144.3%
27141,"Sherburne County, MN",8.4,7.1,6.2,5.3,4.5,4.0,4.1,3.7,3.2,"$81,850",116.4%
27143,"Sibley County, MN",7.9,6.9,6.0,5.5,4.6,4.1,4.3,3.5,3.2,"$66,209",94.2%
27145,"Stearns County, MN",7.2,6.3,5.4,4.9,4.1,3.6,3.8,3.3,2.9,"$60,843",86.6%
27147,"Steele County, MN",7.8,6.5,5.4,4.6,3.8,3.3,3.6,3.3,2.9,"$65,323",92.9%
27149,"Stevens County, MN",5.6,4.9,4.2,3.8,3.3,2.8,3.0,2.6,2.4,"$61,929",88.1%
27151,"Swift County, MN",8.1,7.1,6.2,5.8,4.8,6.0,5.4,4.0,3.7,"$51,552",73.3%
27153,"Todd County, MN",7.8,6.8,5.8,5.3,4.7,4.4,4.7,3.9,3.9,"$58,113",82.7%
27155,"Traverse County, MN",6.2,6.0,5.0,5.1,4.6,4.1,3.9,3.5,3.2,"$49,773",70.8%
27157,"Wabasha County, MN",7.1,6.2,5.2,4.6,4.0,3.8,3.7,3.3,2.9,"$63,633",90.5%
27159,"Wadena County, MN",10.2,9.0,7.8,7.0,6.2,5.9,5.9,5.5,5.2,"$46,312",65.9%
27161,"Waseca County, MN",7.5,6.3,5.8,5.5,4.8,4.1,4.3,3.8,4.1,"$58,335",83.0%
27163,"Washington County, MN",6.7,5.9,5.1,4.4,3.6,3.1,3.3,3.0,2.5,"$95,840",136.3%
27165,"Watonwan County, MN",7.3,6.3,5.6,5.3,4.9,4.7,4.9,4.3,3.5,"$51,962",73.9%
27167,"Wilkin County, MN",5.5,5.6,4.7,4.2,3.4,3.3,3.2,3.1,3.0,"$61,387",87.3%
27169,"Winona County, MN",6.9,5.8,4.9,4.4,3.7,3.3,3.5,3.1,2.6,"$56,076",79.8%
27171,"Wright County, MN",8.0,6.8,5.9,5.0,4.2,3.7,3.9,3.5,3.0,"$87,377",124.3%
27173,"Yellow Medicine County, MN",6.3,5.7,5.0,4.9,4.1,3.7,3.8,3.4,3.0,"$56,528",80.4%
,,,,,,,,,,,,
"Sources: Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS) data.

Census Bureau, Small Area Income and Poverty Estimates (SAIPE) Program



",,,,,,,,,,,,
