,,Unemployment Rate (percent),,,,,,,,,,
FIPS ,Name,2010,2011,2012,2013,2014,2015,2016,2017,2018,Median Household Income (2018),% of State Median HH Income
28000,Mississippi,10.4,10.0,9.0,8.5,7.5,6.4,5.8,5.1,4.8,"$44,740",100.0%
28001,"Adams County, MS",11.5,10.8,9.9,9.3,8.3,7.9,8.2,7.3,6.2,"$33,392",74.6%
28003,"Alcorn County, MS",11.5,10.9,8.7,7.8,6.6,5.6,5.2,4.5,4.1,"$40,010",89.4%
28005,"Amite County, MS",11.9,11.5,10.0,9.1,8.0,7.5,7.3,6.7,6.0,"$38,092",85.1%
28007,"Attala County, MS",12.5,11.2,9.8,9.4,8.7,7.6,6.7,6.1,5.7,"$36,761",82.2%
28009,"Benton County, MS",12.5,12.4,10.6,10.5,9.3,8.0,6.7,5.6,5.6,"$35,184",78.6%
28011,"Bolivar County, MS",11.4,11.1,10.6,10.7,9.5,7.8,7.2,6.4,6.1,"$33,116",74.0%
28013,"Calhoun County, MS",9.2,8.7,8.3,8.4,7.4,6.2,5.3,4.3,4.3,"$39,176",87.6%
28015,"Carroll County, MS",13.1,12.2,11.0,10.6,9.4,8.2,7.3,5.7,5.5,"$42,588",95.2%
28017,"Chickasaw County, MS",12.0,11.4,10.2,10.7,9.7,7.7,6.6,5.2,5.0,"$37,429",83.7%
28019,"Choctaw County, MS",11.8,10.2,9.1,8.5,8.1,6.2,5.6,4.9,4.8,"$38,479",86.0%
28021,"Claiborne County, MS",16.7,15.9,15.4,17.0,14.6,12.5,11.3,9.9,9.2,"$29,631",66.2%
28023,"Clarke County, MS",12.6,11.8,10.8,10.0,9.0,7.8,6.8,6.1,5.6,"$41,495",92.7%
28025,"Clay County, MS",16.4,14.9,14.1,15.4,13.2,9.5,8.1,6.7,6.0,"$38,121",85.2%
28027,"Coahoma County, MS",13.7,13.8,12.6,12.9,11.7,10.0,8.7,7.2,6.8,"$29,380",65.7%
28029,"Copiah County, MS",11.4,11.5,11.0,10.5,8.8,7.2,6.5,5.7,5.5,"$38,664",86.4%
28031,"Covington County, MS",10.1,9.3,8.5,7.9,6.6,5.8,5.4,4.8,4.4,"$36,083",80.7%
28033,"DeSoto County, MS",7.5,7.2,6.5,5.9,5.3,4.8,4.2,3.8,3.8,"$68,126",152.3%
28035,"Forrest County, MS",9.8,10.1,9.0,8.4,7.4,6.3,5.7,4.8,4.4,"$39,061",87.3%
28037,"Franklin County, MS",11.4,10.8,9.8,9.2,8.3,7.7,7.1,6.9,6.0,"$39,508",88.3%
28039,"George County, MS",11.5,12.1,10.2,9.4,8.2,7.5,7.4,7.1,6.4,"$47,246",105.6%
28041,"Greene County, MS",11.9,12.1,11.2,10.2,8.9,7.5,7.3,7.5,6.2,"$42,022",93.9%
28043,"Grenada County, MS",11.6,10.2,9.2,8.8,7.2,5.9,5.1,4.6,4.3,"$39,633",88.6%
28045,"Hancock County, MS",9.0,9.5,8.5,7.8,7.2,6.5,6.1,5.5,5.0,"$49,843",111.4%
28047,"Harrison County, MS",8.8,8.9,8.2,7.5,6.7,5.9,5.5,4.9,4.5,"$45,355",101.4%
28049,"Hinds County, MS",9.8,9.5,8.8,8.5,7.2,6.0,5.4,4.8,4.6,"$44,776",100.1%
28051,"Holmes County, MS",19.6,17.9,16.5,16.7,14.9,12.0,11.0,9.4,8.9,"$26,449",59.1%
28053,"Humphreys County, MS",17.2,18.5,19.0,17.2,15.8,12.6,11.4,9.1,8.4,"$28,542",63.8%
28055,"Issaquena County, MS",16.2,20.2,17.6,20.4,17.3,17.1,14.0,11.8,9.0,"$26,936",60.2%
28057,"Itawamba County, MS",11.3,10.0,8.4,8.0,7.1,5.7,5.0,4.3,4.1,"$45,720",102.2%
28059,"Jackson County, MS",9.5,10.4,9.5,8.9,8.0,7.0,6.6,5.9,5.5,"$51,771",115.7%
28061,"Jasper County, MS",12.2,11.5,10.2,9.9,8.5,7.8,7.6,6.5,5.8,"$36,987",82.7%
28063,"Jefferson County, MS",18.8,18.6,17.4,19.2,16.0,14.9,14.8,14.9,13.3,"$28,024",62.6%
28065,"Jefferson Davis County, MS",14.1,13.9,12.9,12.6,10.2,8.7,8.2,6.9,6.7,"$31,739",70.9%
28067,"Jones County, MS",9.1,8.6,7.6,7.1,6.2,6.0,6.1,5.2,4.8,"$42,435",94.8%
28069,"Kemper County, MS",14.7,14.2,13.1,12.9,12.7,10.3,8.7,7.9,7.4,"$33,437",74.7%
28071,"Lafayette County, MS",9.3,8.6,7.7,7.1,6.4,5.4,4.9,4.2,3.9,"$49,381",110.4%
28073,"Lamar County, MS",7.2,7.1,6.5,5.9,5.1,4.8,4.5,3.8,3.6,"$58,377",130.5%
28075,"Lauderdale County, MS",10.7,10.2,9.0,8.4,7.5,6.5,5.9,5.4,5.0,"$40,077",89.6%
28077,"Lawrence County, MS",11.9,11.6,10.3,9.2,8.3,7.2,7.1,6.6,6.0,"$40,510",90.5%
28079,"Leake County, MS",9.7,9.7,9.2,8.5,7.1,6.1,6.0,5.7,4.9,"$37,212",83.2%
28081,"Lee County, MS",10.4,9.6,8.3,8.0,7.2,5.5,4.8,4.1,3.9,"$51,088",114.2%
28083,"Leflore County, MS",15.3,14.9,14.0,14.3,12.6,10.7,9.1,7.3,6.8,"$29,244",65.4%
28085,"Lincoln County, MS",10.5,9.8,8.6,7.7,6.6,6.0,5.7,5.2,4.7,"$43,478",97.2%
28087,"Lowndes County, MS",11.8,10.5,9.1,9.3,8.7,7.0,6.1,5.4,4.8,"$44,348",99.1%
28089,"Madison County, MS",7.4,6.9,6.2,5.8,5.2,4.6,4.3,3.9,3.7,"$75,740",169.3%
28091,"Marion County, MS",12.2,10.7,10.2,9.4,8.2,7.3,6.5,5.5,5.1,"$36,408",81.4%
28093,"Marshall County, MS",12.1,11.7,10.9,10.1,8.6,7.2,6.0,5.2,5.0,"$40,285",90.0%
28095,"Monroe County, MS",13.1,12.0,11.1,11.8,10.0,7.3,6.3,5.2,4.9,"$44,681",99.9%
28097,"Montgomery County, MS",13.8,12.4,11.7,11.3,9.2,7.7,6.4,5.1,5.3,"$36,311",81.2%
28099,"Neshoba County, MS",10.4,9.3,8.4,7.8,6.8,6.1,5.7,5.1,4.9,"$36,236",81.0%
28101,"Newton County, MS",10.1,9.2,8.0,7.5,6.6,6.1,5.9,5.3,4.9,"$40,792",91.2%
28103,"Noxubee County, MS",15.8,14.5,13.1,13.4,12.5,9.8,8.2,7.3,6.7,"$32,167",71.9%
28105,"Oktibbeha County, MS",10.2,9.6,8.4,8.0,7.2,6.1,5.4,5.0,4.7,"$39,130",87.5%
28107,"Panola County, MS",13.5,13.2,12.1,11.9,10.5,8.7,7.3,6.7,5.9,"$39,198",87.6%
28109,"Pearl River County, MS",9.5,9.3,8.2,7.4,6.7,6.1,6.0,5.3,4.7,"$45,268",101.2%
28111,"Perry County, MS",13.6,13.2,11.5,10.4,9.1,7.9,7.1,6.3,5.9,"$39,687",88.7%
28113,"Pike County, MS",11.6,11.6,10.5,9.8,8.2,7.3,6.8,6.0,5.7,"$33,983",76.0%
28115,"Pontotoc County, MS",10.2,9.3,7.8,7.4,6.8,5.6,4.7,3.9,3.9,"$44,297",99.0%
28117,"Prentiss County, MS",11.8,10.4,8.6,8.4,7.5,6.0,5.5,4.6,4.3,"$41,281",92.3%
28119,"Quitman County, MS",14.9,14.9,13.9,14.8,13.0,10.7,9.7,8.8,7.6,"$27,767",62.1%
28121,"Rankin County, MS",6.9,6.4,5.7,5.2,4.6,4.1,3.9,3.6,3.4,"$66,296",148.2%
28123,"Scott County, MS",8.0,8.4,7.6,6.6,5.5,4.8,4.6,4.0,3.9,"$38,034",85.0%
28125,"Sharkey County, MS",14.5,14.6,13.6,13.0,11.0,9.6,8.7,7.6,7.0,"$28,887",64.6%
28127,"Simpson County, MS",9.4,9.1,8.2,7.4,6.4,5.9,5.4,4.9,4.5,"$38,173",85.3%
28129,"Smith County, MS",9.1,8.2,7.3,6.7,5.8,5.3,5.2,4.8,4.4,"$46,764",104.5%
28131,"Stone County, MS",10.6,10.8,10.3,9.5,8.5,7.4,6.7,6.1,5.4,"$44,622",99.7%
28133,"Sunflower County, MS",15.4,15.1,14.4,13.9,12.5,10.5,9.3,8.3,7.8,"$31,329",70.0%
28135,"Tallahatchie County, MS",12.2,12.1,11.3,11.1,9.2,7.5,6.8,5.3,5.3,"$32,692",73.1%
28137,"Tate County, MS",10.8,10.4,9.2,8.9,8.5,7.0,5.8,5.1,4.9,"$48,082",107.5%
28139,"Tippah County, MS",13.5,11.8,10.1,9.8,8.3,6.3,5.5,4.5,4.3,"$39,833",89.0%
28141,"Tishomingo County, MS",12.7,12.1,10.3,9.2,7.7,6.3,5.5,5.0,4.6,"$41,455",92.7%
28143,"Tunica County, MS",13.7,14.5,12.3,12.4,11.7,9.2,7.1,5.9,5.3,"$33,143",74.1%
28145,"Union County, MS",10.9,9.9,8.0,7.1,6.1,5.1,4.4,3.6,3.5,"$46,600",104.2%
28147,"Walthall County, MS",13.0,12.0,11.2,10.7,9.4,8.1,7.7,6.9,6.5,"$33,566",75.0%
28149,"Warren County, MS",10.5,10.2,9.0,9.0,7.6,6.6,6.3,5.7,5.5,"$46,049",102.9%
28151,"Washington County, MS",15.8,15.5,14.5,14.5,12.5,10.2,9.0,7.4,7.1,"$33,991",76.0%
28153,"Wayne County, MS",12.1,11.4,11.1,10.7,8.8,7.9,7.3,6.3,5.4,"$37,401",83.6%
28155,"Webster County, MS",11.5,10.4,9.1,9.5,8.5,7.2,6.2,5.3,5.0,"$43,349",96.9%
