,,Unemployment Rate (percent),,,,,,,,,,
FIPS ,Name,2010,2011,2012,2013,2014,2015,2016,2017,2018,Median Household Income (2018),% of State Median HH Income
29000,Missouri,9.6,8.5,6.9,6.7,6.1,5.0,4.6,3.8,3.2,"$54,412",100.0%
29001,"Adair County, MO",8.7,8.6,7.0,6.9,6.5,5.6,5.7,4.3,3.5,"$40,395",74.2%
29003,"Andrew County, MO",8.3,6.9,5.3,5.4,5.2,4.2,3.7,3.2,2.7,"$57,459",105.6%
29005,"Atchison County, MO",8.6,8.2,6.4,5.8,5.4,4.5,4.6,3.5,2.5,"$49,122",90.3%
29007,"Audrain County, MO",9.6,8.2,6.5,6.3,5.6,4.6,4.3,3.5,3.1,"$44,340",81.5%
29009,"Barry County, MO",9.7,9.0,7.1,6.8,6.1,5.0,4.5,3.3,3.0,"$42,457",78.0%
29011,"Barton County, MO",10.3,8.8,7.4,7.2,6.3,5.4,5.2,4.2,3.1,"$41,583",76.4%
29013,"Bates County, MO",11.0,10.1,8.2,7.6,7.1,6.1,5.4,4.5,3.8,"$45,955",84.5%
29015,"Benton County, MO",12.1,10.9,9.1,8.5,7.8,6.5,6.1,5.1,4.5,"$40,025",73.6%
29017,"Bollinger County, MO",10.1,9.0,7.0,7.1,6.8,5.6,5.2,4.4,3.6,"$44,233",81.3%
29019,"Boone County, MO",6.5,5.7,4.5,4.5,4.2,3.5,3.3,2.6,2.3,"$55,136",101.3%
29021,"Buchanan County, MO",9.2,8.1,6.3,6.2,5.7,4.6,4.1,3.6,3.0,"$52,506",96.5%
29023,"Butler County, MO",9.6,9.0,8.2,7.9,7.0,6.2,5.7,4.5,4.6,"$38,067",70.0%
29025,"Caldwell County, MO",9.6,8.7,7.0,6.7,5.5,4.6,4.7,4.1,3.1,"$47,591",87.5%
29027,"Callaway County, MO",8.3,7.6,6.2,6.0,5.6,4.7,4.1,3.5,2.9,"$53,970",99.2%
29029,"Camden County, MO",12.0,11.1,9.6,9.2,8.1,6.6,5.8,4.8,4.2,"$48,580",89.3%
29031,"Cape Girardeau County, MO",7.3,6.7,5.5,5.8,5.5,4.3,4.3,3.5,2.8,"$51,962",95.5%
29033,"Carroll County, MO",11.5,10.5,8.3,7.3,7.2,6.0,5.4,4.0,3.1,"$47,049",86.5%
