,,Unemployment Rate (percent),,,,,,,,,,
FIPS ,Name,2010,2011,2012,2013,2014,2015,2016,2017,2018,Median Household Income (2018),% of State Median HH Income
30000,Montana,7.3,6.9,6.0,5.4,4.7,4.2,4.1,3.9,3.7,"$55,248",100.0%
30001,"Beaverhead County, MT",5.9,6.1,5.4,4.7,3.7,3.4,3.3,3.1,3.1,"$47,674",86.3%
30003,"Big Horn County, MT",11.0,12.0,12.1,14.1,10.0,6.7,7.2,13.2,9.6,"$40,425",73.2%
30005,"Blaine County, MT",6.7,7.1,6.4,6.2,5.8,5.0,4.6,4.0,4.3,"$39,237",71.0%
30007,"Broadwater County, MT",7.4,7.4,7.5,6.4,5.4,5.1,4.9,4.6,4.0,"$52,840",95.6%
30009,"Carbon County, MT",6.4,5.7,4.7,4.5,3.9,3.7,3.9,3.5,3.5,"$53,661",97.1%
30011,"Carter County, MT",3.9,3.9,3.2,3.1,3.2,3.2,2.7,2.4,2.5,"$47,985",86.9%
30013,"Cascade County, MT",6.4,6.4,5.6,5.1,4.3,4.0,4.0,3.7,3.6,"$50,054",90.6%
30015,"Chouteau County, MT",4.4,4.6,3.9,3.7,3.2,3.3,3.7,3.2,3.0,"$44,645",80.8%
30017,"Custer County, MT",4.5,4.1,3.6,3.4,3.2,3.3,3.5,3.1,3.1,"$50,525",91.5%
30019,"Daniels County, MT",3.5,3.5,3.2,3.2,3.0,2.5,2.6,2.2,2.2,"$44,659",80.8%
30021,"Dawson County, MT",4.2,3.7,3.3,3.2,2.6,3.2,3.8,3.0,2.7,"$56,167",101.7%
30023,"Deer Lodge County, MT",6.1,6.2,5.6,4.9,4.4,4.0,3.8,3.5,3.6,"$45,641",82.6%
30025,"Fallon County, MT",3.1,2.6,2.1,2.0,1.9,2.3,3.6,2.6,1.9,"$62,029",112.3%
30027,"Fergus County, MT",6.4,6.1,5.4,4.9,4.3,4.1,3.9,3.9,3.7,"$49,147",89.0%
30029,"Flathead County, MT",12.0,10.9,9.0,7.7,6.5,5.7,5.6,5.1,4.8,"$54,382",98.4%
30031,"Gallatin County, MT",6.8,6.0,5.1,4.1,3.5,3.0,2.8,2.7,2.5,"$67,569",122.3%
30033,"Garfield County, MT",3.5,3.9,3.1,3.2,2.7,2.8,2.9,2.8,2.7,"$44,580",80.7%
30035,"Glacier County, MT",9.8,11.4,9.9,10.1,10.5,9.0,8.5,7.8,7.8,"$37,719",68.3%
30037,"Golden Valley County, MT",6.7,5.1,4.6,5.0,4.6,4.2,4.5,5.1,4.6,"$38,782",70.2%
30039,"Granite County, MT",9.3,9.1,8.1,7.6,6.8,6.2,5.9,5.8,5.4,"$48,410",87.6%
30041,"Hill County, MT",5.8,6.3,5.8,6.6,5.8,4.2,4.3,3.7,3.6,"$50,136",90.7%
30043,"Jefferson County, MT",6.3,6.3,5.5,4.9,4.6,4.1,4.6,4.2,3.8,"$68,381",123.8%
30045,"Judith Basin County, MT",6.4,6.2,5.2,4.9,4.2,3.4,3.4,3.6,3.4,"$50,197",90.9%
30047,"Lake County, MT",9.0,9.1,7.7,6.5,5.6,5.0,4.7,4.4,4.3,"$44,833",81.1%
