,,Unemployment Rate (percent),,,,,,,,,,
FIPS ,Name,2010,2011,2012,2013,2014,2015,2016,2017,2018,Median Household Income (2018),% of State Median HH Income
31000,Nebraska,4.6,4.4,4.0,3.8,3.3,3.0,3.1,2.9,2.8,"$59,724",100.0%
31001,"Adams County, NE",4.7,4.3,3.8,3.6,3.4,3.1,3.1,3.0,2.9,"$55,167",92.4%
31003,"Antelope County, NE",3.6,3.6,3.3,3.2,2.7,2.6,2.6,2.4,2.4,"$55,371",92.7%
31005,"Arthur County, NE",8.0,6.1,6.5,7.7,5.4,4.5,5.7,5.5,5.0,"$46,862",78.5%
31007,"Banner County, NE",4.4,4.6,4.6,4.6,3.7,3.4,3.4,3.6,3.4,"$53,865",90.2%
31009,"Blaine County, NE",5.0,5.4,5.3,5.1,4.4,4.5,4.5,4.2,4.6,"$44,467",74.5%
31011,"Boone County, NE",3.5,3.7,3.1,3.3,2.6,2.5,2.6,2.4,2.2,"$51,911",86.9%
31013,"Box Butte County, NE",5.0,4.2,4.0,3.9,3.1,3.0,3.6,3.2,2.8,"$57,952",97.0%
31015,"Boyd County, NE",3.9,3.8,3.9,3.5,3.3,2.6,3.0,3.2,3.0,"$42,431",71.0%
31017,"Brown County, NE",4.7,4.6,4.1,3.9,3.5,3.7,3.6,3.1,3.3,"$46,191",77.3%
31019,"Buffalo County, NE",3.6,3.5,3.3,3.2,2.8,2.4,2.5,2.4,2.3,"$59,193",99.1%
31021,"Burt County, NE",5.9,5.7,4.7,4.5,3.9,3.6,3.7,3.6,3.3,"$57,548",96.4%
31023,"Butler County, NE",3.9,3.8,3.3,3.4,3.0,2.8,3.2,2.8,2.3,"$57,208",95.8%
31025,"Cass County, NE",5.6,5.2,4.6,4.3,3.7,3.3,3.4,3.1,3.0,"$75,177",125.9%
31027,"Cedar County, NE",3.6,3.3,2.9,3.0,2.3,2.4,2.5,2.2,2.3,"$64,570",108.1%
31029,"Chase County, NE",2.8,2.4,2.4,2.4,2.0,1.9,2.1,1.8,2.2,"$54,866",91.9%
31031,"Cherry County, NE",3.0,3.0,2.9,2.8,2.4,2.3,2.2,2.3,2.1,"$49,782",83.4%
31033,"Cheyenne County, NE",3.6,3.0,2.8,2.8,2.2,2.2,2.8,2.8,2.8,"$53,132",89.0%
31035,"Clay County, NE",4.3,4.1,3.7,3.4,3.3,2.9,3.1,3.1,3.1,"$56,259",94.2%
31037,"Colfax County, NE",3.9,3.9,3.5,3.5,3.0,2.6,2.8,2.4,2.3,"$55,787",93.4%
31039,"Cuming County, NE",3.7,3.4,3.1,3.0,2.6,2.6,2.9,2.7,2.5,"$59,219",99.2%
31041,"Custer County, NE",3.7,3.4,2.9,2.8,2.4,2.2,2.3,2.1,2.1,"$49,995",83.7%
31043,"Dakota County, NE",7.3,5.9,5.8,4.7,3.7,3.5,4.1,4.0,3.5,"$55,522",93.0%
31045,"Dawes County, NE",4.0,3.9,3.6,3.6,2.9,2.6,2.9,2.7,2.7,"$47,487",79.5%
31047,"Dawson County, NE",4.9,5.0,4.4,3.8,3.5,3.2,2.9,2.8,2.8,"$56,818",95.1%
31049,"Deuel County, NE",3.9,3.5,3.3,3.4,2.8,2.5,2.6,2.5,3.0,"$47,097",78.9%
