,,Unemployment Rate (percent),,,,,,,,,,
FIPS ,Name,2010,2011,2012,2013,2014,2015,2016,2017,2018,Median Household Income (2018),% of State Median HH Income
32000,Nevada,13.5,13.0,11.2,9.6,7.9,6.8,5.7,5.1,4.6,"$58,740",100.0%
32001,"Churchill County, NV",12.4,12.4,11.0,9.2,7.6,6.9,5.4,4.3,3.9,"$58,429",99.5%
32003,"Clark County, NV",13.8,13.2,11.3,9.7,8.0,6.8,5.9,5.3,4.8,"$57,155",97.3%
32005,"Douglas County, NV",13.8,13.2,11.5,9.7,8.0,6.7,5.6,4.8,4.3,"$70,495",120.0%
32007,"Elko County, NV",7.7,7.2,6.3,6.2,5.6,5.1,4.5,3.7,3.3,"$79,134",134.7%
32009,"Esmeralda County, NV",9.2,7.9,6.9,4.8,4.5,4.4,4.6,4.0,4.8,"$50,179",85.4%
32011,"Eureka County, NV",7.8,6.9,6.1,6.1,5.9,5.8,4.6,3.0,2.7,"$70,036",119.2%
32013,"Humboldt County, NV",8.7,7.8,6.6,6.2,6.2,5.8,5.3,4.1,3.4,"$72,873",124.1%
32015,"Lander County, NV",9.5,8.8,7.4,7.3,6.6,6.6,6.2,4.5,3.7,"$79,278",135.0%
32017,"Lincoln County, NV",10.6,11.2,10.5,9.5,7.5,6.0,5.2,4.7,4.5,"$55,504",94.5%
32019,"Lyon County, NV",17.5,16.7,14.8,12.5,10.2,9.3,7.4,5.9,5.4,"$59,732",101.7%
32021,"Mineral County, NV",14.4,14.0,13.6,12.7,11.3,10.2,6.5,5.6,5.5,"$44,438",75.7%
32023,"Nye County, NV",17.3,16.8,14.5,12.0,9.6,8.7,7.3,6.4,5.7,"$47,031",80.1%
32027,"Pershing County, NV",10.6,10.8,9.7,8.8,7.2,6.8,5.8,4.5,4.1,"$42,522",72.4%
32029,"Storey County, NV",16.7,15.7,13.3,11.6,9.1,7.4,6.3,5.1,4.4,"$68,236",116.2%
32031,"Washoe County, NV",12.9,12.6,11.0,9.5,7.6,6.2,5.0,4.2,3.6,"$63,636",108.3%
32033,"White Pine County, NV",9.2,8.7,7.7,7.3,6.0,5.3,4.6,4.0,3.7,"$58,942",100.3%
32510,"Carson City, NV",13.5,13.2,11.7,10.4,8.7,7.2,6.1,5.1,4.7,"$56,382",96.0%
,,,,,,,,,,,,
"Sources: Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS) data.

Census Bureau, Small Area Income and Poverty Estimates (SAIPE) Program



",,,,,,,,,,,,
,,,,,,,,,,,,
