,,Unemployment Rate (percent),,,,,,,,,,
FIPS ,Name,2010,2011,2012,2013,2014,2015,2016,2017,2018,Median Household Income (2018),% of State Median HH Income
33000,New Hampshire,5.8,5.4,5.5,5.1,4.3,3.4,2.9,2.7,2.5,"$75,322",100.0%
33001,"Belknap County, NH",6.4,5.5,5.4,5.0,4.2,3.3,2.8,2.7,2.5,"$64,777",86.0%
33003,"Carroll County, NH",5.7,5.4,5.3,4.9,4.2,3.5,3.0,2.7,2.5,"$59,413",78.9%
33005,"Cheshire County, NH",5.5,5.0,5.1,4.7,4.0,3.2,2.7,2.6,2.5,"$60,251",80.0%
33007,"Coos County, NH",7.4,7.3,7.4,6.1,5.7,4.3,3.8,3.5,3.2,"$44,259",58.8%
33009,"Grafton County, NH",4.8,4.5,4.4,4.2,3.4,2.7,2.4,2.2,2.1,"$65,163",86.5%
33011,"Hillsborough County, NH",6.2,5.7,5.8,5.4,4.5,3.6,3.0,2.9,2.6,"$78,714",104.5%
33013,"Merrimack County, NH",5.3,4.9,4.9,4.6,3.8,3.1,2.6,2.4,2.2,"$74,351",98.7%
33015,"Rockingham County, NH",6.0,5.6,5.8,5.4,4.6,3.6,3.0,2.9,2.8,"$93,645",124.3%
33017,"Strafford County, NH",5.7,5.3,5.4,4.9,4.0,3.1,2.5,2.4,2.3,"$69,919",92.8%
33019,"Sullivan County, NH",5.2,4.6,4.5,4.1,3.5,2.7,2.3,2.2,2.1,"$60,034",79.7%
,,,,,,,,,,,,
"Sources: Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS) data.

Census Bureau, Small Area Income and Poverty Estimates (SAIPE) Program



",,,,,,,,,,,,
,,,,,,,,,,,,
