,,Unemployment Rate (percent),,,,,,,,,,
FIPS ,Name,2010,2011,2012,2013,2014,2015,2016,2017,2018,Median Household Income (2018),% of State Median HH Income
34000,New Jersey,9.5,9.3,9.3,8.2,6.8,5.8,5.0,4.6,4.1,"$81,777",100.0%
34001,"Atlantic County, NJ",12.3,12.5,12.7,11.7,10.6,9.6,7.4,7.2,5.9,"$60,826",74.4%
34003,"Bergen County, NJ",8.0,7.7,7.7,6.7,5.4,4.7,4.2,3.9,3.4,"$100,181",122.5%
34005,"Burlington County, NJ",9.0,8.7,8.7,7.7,6.4,5.3,4.5,4.1,3.8,"$84,470",103.3%
34007,"Camden County, NJ",10.9,10.8,10.7,9.4,7.7,6.5,5.5,5.1,4.6,"$67,135",82.1%
34009,"Cape May County, NJ",14.0,14.8,15.4,14.3,12.2,11.1,9.8,9.2,8.4,"$62,175",76.0%
34011,"Cumberland County, NJ",13.0,12.9,13.1,11.7,9.9,8.8,7.5,7.0,6.5,"$51,790",63.3%
34013,"Essex County, NJ",10.8,10.8,10.7,9.7,8.0,6.9,6.0,5.7,5.2,"$62,875",76.9%
34015,"Gloucester County, NJ",10.3,10.2,10.1,9.0,7.3,6.1,5.1,4.7,4.2,"$81,315",99.4%
34017,"Hudson County, NJ",9.6,9.2,8.9,7.9,6.4,5.4,4.7,4.4,3.9,"$73,337",89.7%
34019,"Hunterdon County, NJ",7.4,6.9,6.8,5.9,4.9,4.3,3.8,3.5,3.3,"$112,335",137.4%
34021,"Mercer County, NJ",8.4,8.3,8.3,7.3,5.9,5.0,4.4,4.1,3.7,"$79,979",97.8%
34023,"Middlesex County, NJ",9.0,8.7,8.6,7.5,6.1,5.2,4.4,4.1,3.6,"$87,666",107.2%
34025,"Monmouth County, NJ",8.7,8.6,8.7,7.5,6.1,5.2,4.5,4.1,3.7,"$99,223",121.3%
34027,"Morris County, NJ",7.4,7.1,7.1,6.2,5.0,4.4,3.9,3.6,3.3,"$112,396",137.4%
34029,"Ocean County, NJ",10.3,10.4,10.6,9.3,7.4,6.2,5.2,4.8,4.3,"$68,483",83.7%
34031,"Passaic County, NJ",11.4,11.0,11.1,10.0,8.3,7.1,6.2,5.7,5.1,"$71,959",88.0%
34033,"Salem County, NJ",11.6,11.6,11.8,10.4,8.5,7.3,6.4,6.2,5.4,"$64,524",78.9%
34035,"Somerset County, NJ",7.6,7.4,7.4,6.3,5.2,4.6,4.1,3.8,3.4,"$119,731",146.4%
34037,"Sussex County, NJ",9.4,9.2,9.0,7.9,6.4,5.5,4.7,4.4,4.0,"$92,284",112.8%
34039,"Union County, NJ",9.5,9.5,9.5,8.4,7.0,6.1,5.2,4.8,4.3,"$80,737",98.7%
34041,"Warren County, NJ",9.8,9.1,8.7,7.6,6.3,5.4,4.6,4.2,3.8,"$77,571",94.9%
,,,,,,,,,,,,
"Sources: Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS) data.

Census Bureau, Small Area Income and Poverty Estimates (SAIPE) Program



",,,,,,,,,,,,
,,,,,,,,,,,,
