,,Unemployment Rate (percent),,,,,,,,,,
FIPS ,Name,2010,2011,2012,2013,2014,2015,2016,2017,2018,Median Household Income (2018),% of State Median HH Income
35000,New Mexico,8.1,7.5,7.1,6.9,6.7,6.5,6.6,5.9,4.9,"$47,405",100.0%
35001,"Bernalillo County, NM",7.7,7.2,6.8,6.5,6.2,5.9,5.8,5.2,4.5,"$51,372",108.4%
35003,"Catron County, NM",12.0,11.1,9.5,8.9,8.4,8.3,8.1,6.6,6.4,"$34,777",73.4%
35005,"Chaves County, NM",7.5,6.8,6.5,6.3,6.1,6.3,6.7,6.1,4.9,"$43,527",91.8%
35006,"Cibola County, NM",9.6,9.5,8.6,8.5,8.6,8.0,8.1,7.4,6.3,"$38,097",80.4%
35007,"Colfax County, NM",8.4,8.1,7.8,7.1,6.3,6.0,6.0,5.7,4.9,"$41,592",87.7%
35009,"Curry County, NM",5.4,5.1,5.0,5.1,5.1,4.9,5.0,4.6,4.1,"$47,202",99.6%
35011,"De Baca County, NM",6.0,5.1,4.3,4.6,4.7,5.2,4.7,4.4,4.6,"$35,087",74.0%
35013,"Dona Ana County, NM",7.8,7.6,7.3,7.5,7.3,7.3,7.1,6.5,5.7,"$38,409",81.0%
35015,"Eddy County, NM",6.4,5.1,4.7,4.6,4.4,4.9,6.4,5.0,3.3,"$58,320",123.0%
35017,"Grant County, NM",9.7,7.3,6.7,6.8,6.6,6.4,6.4,5.8,4.9,"$38,341",80.9%
35019,"Guadalupe County, NM",10.1,10.6,10.0,8.7,7.7,7.0,6.4,6.3,5.5,"$29,515",62.3%
35021,"Harding County, NM",6.1,6.4,6.5,5.3,5.0,8.4,6.9,6.0,5.3,"$37,544",79.2%
35023,"Hidalgo County, NM",8.5,7.6,7.4,7.5,7.1,6.2,5.5,4.9,3.8,"$39,882",84.1%
35025,"Lea County, NM",7.9,5.6,4.7,4.5,4.4,6.2,9.1,6.3,4.1,"$51,656",109.0%
35027,"Lincoln County, NM",7.5,6.8,6.5,6.4,6.0,5.7,5.9,5.3,4.6,"$45,095",95.1%
35028,"Los Alamos County, NM",3.7,3.5,3.9,4.2,4.1,4.0,4.2,3.7,3.4,"$124,947",263.6%
35029,"Luna County, NM",20.1,20.2,20.0,19.0,18.1,17.2,14.4,13.4,11.9,"$30,570",64.5%
35031,"McKinley County, NM",9.9,9.9,9.6,10.1,10.1,9.7,9.3,8.2,7.1,"$33,976",71.7%
35033,"Mora County, NM",12.3,12.4,11.0,11.7,11.0,9.6,8.6,7.6,6.1,"$34,491",72.8%
35035,"Otero County, NM",7.3,6.8,6.5,6.4,6.3,6.2,6.0,5.8,4.9,"$42,701",90.1%
35037,"Quay County, NM",9.4,9.6,8.1,7.3,6.6,7.1,6.7,5.9,4.8,"$33,085",69.8%
35039,"Rio Arriba County, NM",9.1,9.3,9.3,9.6,8.8,8.0,7.4,6.1,5.2,"$41,511",87.6%
35041,"Roosevelt County, NM",6.3,5.7,5.6,5.6,5.5,5.4,5.7,5.0,4.3,"$41,700",88.0%
35043,"Sandoval County, NM",8.4,8.0,7.8,7.4,7.2,6.6,6.5,5.9,5.0,"$57,036",120.3%
35045,"San Juan County, NM",9.4,7.9,7.1,6.8,6.4,6.9,8.7,7.2,5.8,"$46,578",98.3%
35047,"San Miguel County, NM",9.6,9.5,8.9,8.4,8.1,7.6,7.6,7.1,5.9,"$35,292",74.4%
35049,"Santa Fe County, NM",6.8,6.2,5.8,5.6,5.4,5.3,5.2,4.9,4.1,"$60,187",127.0%
35051,"Sierra County, NM",9.2,9.9,9.8,9.8,9.2,9.0,8.4,7.4,7.1,"$31,741",67.0%
35053,"Socorro County, NM",7.8,7.6,7.0,7.4,7.4,7.5,7.3,6.1,5.3,"$33,989",71.7%
35055,"Taos County, NM",10.7,10.5,10.5,10.3,9.9,9.1,8.4,7.6,6.5,"$38,405",81.0%
35057,"Torrance County, NM",11.6,11.5,10.6,10.2,9.8,9.0,9.0,8.2,7.6,"$39,123",82.5%
35059,"Union County, NM",6.3,4.7,4.4,4.6,4.6,4.4,4.0,3.6,3.3,"$40,426",85.3%
35061,"Valencia County, NM",9.6,9.0,8.7,8.4,7.9,7.4,7.1,6.3,5.5,"$46,365",97.8%
,,,,,,,,,,,,
"Sources: Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS) data.

Census Bureau, Small Area Income and Poverty Estimates (SAIPE) Program



",,,,,,,,,,,,
