,,Unemployment Rate (percent),,,,,,,,,,
FIPS ,Name,2010,2011,2012,2013,2014,2015,2016,2017,2018,Median Household Income (2018),% of State Median HH Income
36000,New York,8.6,8.3,8.5,7.7,6.3,5.3,4.9,4.7,4.1,"$67,648",100.0%
36001,"Albany County, NY",7.0,6.9,7.1,6.1,4.9,4.3,4.1,4.2,3.7,"$64,536",95.4%
36003,"Allegany County, NY",9.2,8.9,8.4,7.5,6.2,6.5,6.3,6.6,5.6,"$46,262",68.4%
36005,"Bronx County, NY",12.0,11.9,12.4,11.8,9.8,7.8,7.1,6.3,5.7,"$38,566",57.0%
36007,"Broome County, NY",8.7,8.6,8.7,7.8,6.6,6.0,5.4,5.6,4.9,"$50,928",75.3%
36009,"Cattaraugus County, NY",9.5,9.3,9.3,8.5,7.0,6.3,6.0,6.2,5.3,"$48,017",71.0%
36011,"Cayuga County, NY",8.5,8.1,8.3,7.4,6.0,5.3,5.1,5.0,4.5,"$52,945",78.3%
36013,"Chautauqua County, NY",8.9,8.2,8.5,8.0,6.8,6.0,5.8,6.0,5.0,"$45,689",67.5%
36015,"Chemung County, NY",8.4,7.8,8.4,7.9,6.3,5.9,5.7,5.5,4.7,"$52,565",77.7%
36017,"Chenango County, NY",9.2,8.7,8.6,7.3,6.2,5.5,5.1,5.3,4.7,"$50,312",74.4%
36019,"Clinton County, NY",9.8,9.6,9.4,8.3,6.6,5.8,5.4,5.3,4.4,"$55,517",82.1%
36021,"Columbia County, NY",7.3,7.1,7.0,6.0,4.7,4.0,3.7,3.8,3.3,"$64,916",96.0%
36023,"Cortland County, NY",8.9,8.5,8.6,7.7,6.5,5.9,5.7,5.8,5.1,"$51,751",76.5%
36025,"Delaware County, NY",8.8,8.7,8.7,7.9,6.6,6.0,5.5,5.5,4.8,"$47,382",70.0%
36027,"Dutchess County, NY",7.7,7.5,7.8,6.7,5.3,4.5,4.2,4.3,3.7,"$79,604",117.7%
36029,"Erie County, NY",8.3,8.0,8.3,7.4,6.1,5.3,4.9,5.1,4.4,"$56,375",83.3%
36031,"Essex County, NY",9.2,9.1,9.6,8.3,6.9,6.0,5.3,5.5,4.9,"$54,376",80.4%
36033,"Franklin County, NY",9.0,9.1,9.6,8.8,7.3,6.5,5.7,6.0,5.2,"$48,722",72.0%
36035,"Fulton County, NY",10.6,10.6,11.0,9.5,7.7,6.4,5.7,5.8,5.1,"$51,388",76.0%
36037,"Genesee County, NY",8.0,7.8,7.9,6.8,5.5,4.9,4.6,4.8,4.2,"$58,925",87.1%
36039,"Greene County, NY",9.1,9.4,9.9,8.8,6.8,5.6,5.0,5.2,4.5,"$54,514",80.6%
36041,"Hamilton County, NY",9.8,9.9,10.7,9.5,7.5,6.7,6.5,7.4,6.8,"$59,020",87.2%
36043,"Herkimer County, NY",8.6,8.7,8.8,7.8,6.8,6.2,5.5,5.7,4.9,"$53,168",78.6%
36045,"Jefferson County, NY",9.3,9.8,9.9,9.2,7.6,6.6,6.2,6.5,5.6,"$52,798",78.0%
36047,"Kings County, NY",9.9,9.6,9.8,9.4,7.6,5.9,5.3,4.7,4.2,"$60,862",90.0%
