,,Unemployment Rate (percent),,,,,,,,,,
FIPS ,Name,2010,2011,2012,2013,2014,2015,2016,2017,2018,Median Household Income (2018),% of State Median HH Income
37000,North Carolina,10.9,10.3,9.3,8.0,6.3,5.7,5.1,4.5,3.9,"$53,922",100.0%
37001,"Alamance County, NC",10.9,9.7,8.5,7.3,5.7,5.3,4.7,4.2,3.7,"$50,480",93.6%
37003,"Alexander County, NC",13.1,11.3,9.6,7.8,5.6,4.9,4.3,3.6,3.2,"$49,138",91.1%
37005,"Alleghany County, NC",12.0,12.2,10.4,8.8,6.8,6.1,5.5,5.0,4.5,"$39,735",73.7%
37007,"Anson County, NC",14.1,12.3,10.9,9.5,7.1,6.5,5.8,5.1,4.5,"$38,023",70.5%
37009,"Ashe County, NC",11.8,10.9,10.4,9.2,6.9,6.0,4.8,4.1,3.6,"$41,864",77.6%
37011,"Avery County, NC",10.8,11.1,10.6,8.9,6.5,5.9,5.0,4.3,3.6,"$41,701",77.3%
37013,"Beaufort County, NC",11.7,11.1,10.6,9.5,7.4,6.6,5.7,5.0,4.6,"$46,411",86.1%
37015,"Bertie County, NC",11.8,12.1,11.4,10.1,7.9,7.2,6.6,5.9,4.9,"$35,433",65.7%
37017,"Bladen County, NC",13.3,13.4,12.7,11.5,9.4,8.0,6.9,5.8,5.3,"$36,976",68.6%
37019,"Brunswick County, NC",12.5,12.2,11.2,9.8,7.9,7.3,6.4,5.6,5.2,"$60,163",111.6%
37021,"Buncombe County, NC",8.6,7.9,7.2,6.0,4.7,4.4,3.9,3.4,3.0,"$53,960",100.1%
37023,"Burke County, NC",12.9,11.4,9.8,8.3,6.2,5.6,4.9,4.2,3.6,"$44,946",83.4%
37025,"Cabarrus County, NC",11.5,10.4,9.0,7.6,5.8,5.2,4.6,4.1,3.6,"$69,297",128.5%
37027,"Caldwell County, NC",14.8,13.2,11.6,9.6,7.3,6.2,5.2,4.4,3.8,"$43,328",80.4%
37029,"Camden County, NC",8.4,8.6,7.9,7.1,6.1,5.7,5.2,4.3,3.7,"$65,955",122.3%
37031,"Carteret County, NC",9.6,9.7,8.9,7.8,6.2,5.9,5.2,4.4,4.3,"$55,052",102.1%
37033,"Caswell County, NC",13.2,11.8,10.6,9.0,7.2,6.3,5.4,4.7,4.4,"$45,517",84.4%
37035,"Catawba County, NC",13.1,11.7,10.1,8.5,6.4,5.5,4.7,4.1,3.5,"$53,738",99.7%
37037,"Chatham County, NC",8.6,8.1,7.8,6.3,4.9,4.7,4.2,3.8,3.3,"$73,703",136.7%
37039,"Cherokee County, NC",12.9,11.8,11.0,9.2,7.1,6.4,5.7,4.9,4.4,"$41,262",76.5%
37041,"Chowan County, NC",12.0,12.2,10.9,9.8,7.9,7.1,6.4,5.2,4.4,"$42,618",79.0%
37043,"Clay County, NC",12.5,11.5,10.4,8.8,6.6,6.1,5.5,4.9,4.3,"$42,878",79.5%
37045,"Cleveland County, NC",14.8,12.4,11.0,9.5,7.3,6.4,5.5,4.6,4.0,"$42,728",79.2%
37047,"Columbus County, NC",13.4,13.4,12.3,10.3,8.5,7.5,6.4,5.4,5.0,"$36,862",68.4%
37049,"Craven County, NC",10.7,10.6,9.5,8.7,6.9,6.1,5.2,4.6,4.2,"$50,748",94.1%
37051,"Cumberland County, NC",10.1,10.5,10.5,9.7,8.1,7.3,6.4,5.7,5.1,"$46,779",86.8%
37053,"Currituck County, NC",8.9,9.1,8.5,7.9,6.3,5.8,5.1,4.3,3.6,"$64,426",119.5%
37055,"Dare County, NC",12.1,13.0,12.4,11.0,8.4,7.5,6.8,5.9,5.1,"$64,768",120.1%
37057,"Davidson County, NC",12.3,11.0,9.7,8.2,6.3,5.6,4.8,4.3,3.7,"$47,758",88.6%
37059,"Davie County, NC",11.7,10.6,9.1,7.5,5.9,5.0,4.5,3.9,3.4,"$60,801",112.8%
37061,"Duplin County, NC",9.3,9.5,9.1,8.0,6.4,5.7,5.3,4.8,4.3,"$42,725",79.2%
37063,"Durham County, NC",8.2,8.1,7.4,6.3,5.1,5.0,4.5,4.0,3.5,"$59,329",110.0%
37065,"Edgecombe County, NC",15.7,15.5,14.3,13.0,10.3,9.6,8.7,7.6,6.8,"$38,818",72.0%
37067,"Forsyth County, NC",10.1,9.8,8.9,7.5,6.0,5.5,4.9,4.3,3.8,"$50,112",92.9%
37069,"Franklin County, NC",10.9,10.7,9.7,8.3,6.5,5.9,5.2,4.6,4.0,"$57,710",107.0%
