,,Unemployment Rate (percent),,,,,,,,,,
FIPS ,Name,2010,2011,2012,2013,2014,2015,2016,2017,2018,Median Household Income (2018),% of State Median HH Income
38000,North Dakota,3.8,3.5,3.1,2.9,2.7,2.8,3.1,2.7,2.6,"$65,250",100.0%
38001,"Adams County, ND",2.9,2.8,2.9,2.5,2.7,2.9,2.6,2.5,2.1,"$53,162",81.5%
38003,"Barnes County, ND",4.5,3.9,3.4,3.2,3.1,3.2,3.2,2.8,2.7,"$54,984",84.3%
38005,"Benson County, ND",5.4,6.0,7.0,7.6,6.5,4.6,4.0,3.6,3.9,"$42,407",65.0%
38007,"Billings County, ND",3.3,3.9,3.4,2.9,2.9,3.0,3.0,3.0,2.8,"$76,235",116.8%
38009,"Bottineau County, ND",4.0,3.8,3.4,3.9,3.4,4.4,4.6,3.3,3.3,"$59,161",90.7%
38011,"Bowman County, ND",2.6,2.2,1.8,2.0,1.8,1.8,2.2,1.8,1.9,"$62,270",95.4%
38013,"Burke County, ND",2.7,2.3,2.0,2.2,2.5,3.3,4.5,3.1,2.4,"$63,261",97.0%
38015,"Burleigh County, ND",3.6,3.3,2.8,2.5,2.4,2.4,2.6,2.5,2.6,"$72,277",110.8%
38017,"Cass County, ND",3.5,3.3,2.9,2.8,2.4,2.2,2.2,2.1,2.3,"$63,885",97.9%
38019,"Cavalier County, ND",3.1,3.0,3.2,3.3,2.9,2.8,2.6,2.7,2.6,"$60,314",92.4%
38021,"Dickey County, ND",3.2,2.9,2.7,2.3,2.0,1.8,1.9,1.8,1.8,"$53,286",81.7%
38023,"Divide County, ND",2.1,1.8,1.5,1.4,1.5,1.8,2.6,1.6,1.3,"$58,715",90.0%
38025,"Dunn County, ND",3.2,2.1,1.6,1.4,1.3,2.0,3.1,2.2,1.6,"$66,383",101.7%
38027,"Eddy County, ND",4.8,4.9,5.1,6.0,5.5,4.8,4.3,4.7,4.9,"$51,327",78.7%
38029,"Emmons County, ND",6.9,6.0,5.4,5.3,5.6,5.0,4.4,4.0,4.8,"$47,976",73.5%
38031,"Foster County, ND",3.4,3.2,3.1,3.4,3.0,2.9,3.0,2.5,2.6,"$58,096",89.0%
38033,"Golden Valley County, ND",2.6,2.4,2.4,2.3,2.1,2.3,2.7,2.0,2.0,"$58,075",89.0%
38035,"Grand Forks County, ND",3.5,3.7,3.4,3.0,2.8,2.4,2.4,2.2,2.3,"$54,311",83.2%
38037,"Grant County, ND",3.7,3.5,3.2,2.9,2.8,3.2,3.0,3.0,2.6,"$41,295",63.3%
38039,"Griggs County, ND",3.0,3.0,2.7,2.3,2.4,2.3,2.8,2.9,2.3,"$54,250",83.1%
38041,"Hettinger County, ND",3.0,2.9,2.7,2.6,2.1,2.5,3.0,2.0,2.0,"$51,455",78.9%
38043,"Kidder County, ND",5.3,5.2,5.1,4.7,3.9,3.7,3.8,3.6,4.4,"$45,401",69.6%
38045,"LaMoure County, ND",3.5,3.0,2.5,2.3,2.4,2.5,2.4,1.9,1.9,"$54,514",83.5%
38047,"Logan County, ND",3.6,3.1,3.1,3.1,3.0,2.9,3.4,2.6,2.6,"$50,141",76.8%
38049,"McHenry County, ND",4.8,4.6,4.3,4.2,4.2,4.2,4.9,4.3,3.9,"$54,795",84.0%
38051,"McIntosh County, ND",4.4,3.7,3.2,3.0,3.0,3.1,3.1,2.6,2.7,"$47,288",72.5%
38053,"McKenzie County, ND",2.2,1.8,1.5,1.5,1.5,2.5,3.8,2.5,1.7,"$76,224",116.8%
38055,"McLean County, ND",5.0,4.7,4.4,4.2,4.0,3.7,3.5,3.2,3.3,"$64,524",98.9%
38057,"Mercer County, ND",5.2,5.4,5.3,4.6,3.9,4.2,4.4,4.1,4.2,"$82,303",126.1%
38059,"Morton County, ND",4.6,4.0,3.6,3.3,3.3,3.1,3.3,3.1,3.3,"$68,043",104.3%
38061,"Mountrail County, ND",2.6,2.2,1.6,1.5,1.3,2.0,3.0,2.1,1.6,"$67,162",102.9%
38063,"Nelson County, ND",4.0,4.3,4.1,4.3,3.7,3.8,3.4,3.1,3.4,"$50,093",76.8%
38065,"Oliver County, ND",5.7,6.2,6.7,6.1,6.4,5.9,5.5,4.2,4.1,"$68,243",104.6%
38067,"Pembina County, ND",6.4,6.9,6.4,6.1,5.6,5.4,5.0,4.2,3.9,"$58,766",90.1%
38069,"Pierce County, ND",5.3,4.8,4.3,4.2,4.2,4.2,3.9,3.2,3.2,"$47,360",72.6%
38071,"Ramsey County, ND",3.8,3.8,4.1,3.8,3.5,3.4,2.8,2.7,2.9,"$54,814",84.0%
38073,"Ransom County, ND",4.6,3.5,3.0,2.9,2.8,2.5,2.3,2.0,1.9,"$61,634",94.5%
38075,"Renville County, ND",2.8,2.8,2.3,2.4,2.6,3.4,3.9,2.6,2.4,"$60,205",92.3%
38077,"Richland County, ND",3.8,3.8,3.6,3.4,3.0,2.7,2.7,2.4,2.6,"$61,174",93.8%
38079,"Rolette County, ND",10.9,10.9,10.5,12.4,11.4,10.3,10.8,10.5,9.4,"$42,021",64.4%
38081,"Sargent County, ND",4.3,3.1,2.7,2.5,2.2,1.8,1.9,2.1,1.9,"$64,756",99.2%
38083,"Sheridan County, ND",3.9,4.0,3.7,4.0,4.8,5.0,5.7,4.5,4.7,"$39,439",60.4%
38085,"Sioux County, ND",5.1,5.4,5.2,4.6,4.6,4.4,4.4,3.8,4.1,"$37,002",56.7%
38087,"Slope County, ND",2.3,2.0,2.1,2.1,2.0,2.6,2.5,2.1,2.3,"$49,843",76.4%
38089,"Stark County, ND",2.8,2.2,1.8,1.7,1.6,2.7,3.9,2.7,2.4,"$71,888",110.2%
38091,"Steele County, ND",2.7,2.6,2.7,2.4,2.2,2.3,2.1,1.7,2.0,"$66,929",102.6%
38093,"Stutsman County, ND",4.1,3.8,3.4,3.1,2.8,2.6,2.5,2.4,2.5,"$57,002",87.4%
38095,"Towner County, ND",2.7,3.0,3.3,3.9,3.5,2.7,2.2,2.6,2.6,"$51,848",79.5%
38097,"Traill County, ND",3.7,3.6,3.2,2.9,2.6,2.8,2.8,2.5,2.6,"$59,931",91.8%
38099,"Walsh County, ND",5.1,5.0,4.9,5.0,4.6,4.2,3.8,3.4,3.2,"$59,705",91.5%
38101,"Ward County, ND",3.5,3.2,2.7,2.7,2.6,3.2,4.1,3.3,2.9,"$63,938",98.0%
38103,"Wells County, ND",4.0,4.4,4.0,4.3,4.3,4.0,3.9,3.3,3.0,"$58,261",89.3%
38105,"Williams County, ND",2.2,1.4,1.1,1.2,1.2,2.4,4.3,2.5,2.0,"$79,354",121.6%
,,,,,,,,,,,,
"Sources: Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS) data.

Census Bureau, Small Area Income and Poverty Estimates (SAIPE) Program



",,,,,,,,,,,,
