,,Unemployment Rate (percent),,,,,,,,,,
FIPS ,Name,2010,2011,2012,2013,2014,2015,2016,2017,2018,Median Household Income (2018),% of State Median HH Income
39000,Ohio,10.3,8.8,7.4,7.5,5.8,4.9,5.0,5.0,4.6,"$56,155",100.0%
39001,"Adams County, OH",15.9,14.3,12.6,12.7,9.2,7.9,7.5,7.1,7.1,"$42,154",75.1%
39003,"Allen County, OH",10.7,9.5,7.7,7.8,5.8,4.9,5.0,5.0,4.5,"$50,301",89.6%
39005,"Ashland County, OH",11.9,9.9,8.0,8.1,6.0,5.0,5.1,4.9,4.6,"$54,362",96.8%
39007,"Ashtabula County, OH",12.9,10.9,9.4,9.5,7.2,6.0,6.1,5.9,5.3,"$46,950",83.6%
39009,"Athens County, OH",10.6,9.9,8.5,9.0,6.9,6.2,6.4,6.0,5.8,"$40,416",72.0%
39011,"Auglaize County, OH",10.0,8.1,6.2,5.9,4.3,3.7,3.7,3.7,3.3,"$63,754",113.5%
39013,"Belmont County, OH",11.3,9.5,8.2,8.2,6.7,6.4,7.5,6.3,5.5,"$48,989",87.2%
39015,"Brown County, OH",13.3,11.9,10.0,10.2,7.5,6.2,5.8,5.7,5.4,"$55,334",98.5%
39017,"Butler County, OH",10.0,9.1,7.7,7.5,5.6,4.6,4.5,4.4,4.1,"$61,053",108.7%
39019,"Carroll County, OH",13.0,10.2,7.9,7.9,6.2,6.0,6.8,5.8,5.3,"$50,002",89.0%
39021,"Champaign County, OH",11.5,9.4,7.4,6.9,5.1,4.4,4.5,4.1,3.8,"$57,701",102.8%
39023,"Clark County, OH",11.0,9.5,7.8,7.5,5.8,5.0,5.2,4.8,4.6,"$50,089",89.2%
39025,"Clermont County, OH",10.4,9.1,7.4,7.4,5.5,4.5,4.4,4.4,4.1,"$65,280",116.2%
39027,"Clinton County, OH",17.0,13.5,10.7,10.4,7.7,6.2,5.8,5.5,5.3,"$53,947",96.1%
39029,"Columbiana County, OH",12.6,10.2,8.2,8.2,6.5,5.9,6.7,5.9,5.2,"$44,938",80.0%
39031,"Coshocton County, OH",12.7,11.5,10.1,9.8,7.6,6.4,7.1,6.8,6.2,"$46,420",82.7%
39033,"Crawford County, OH",12.9,11.5,9.1,9.2,6.7,5.8,6.0,5.7,5.2,"$44,715",79.6%
39035,"Cuyahoga County, OH",8.5,7.6,6.8,7.0,6.2,5.2,5.6,5.8,5.2,"$50,006",89.0%
39037,"Darke County, OH",11.2,9.3,7.2,7.0,5.3,4.3,4.1,4.2,3.9,"$53,853",95.9%
39039,"Defiance County, OH",12.2,9.6,7.7,7.5,5.5,4.9,4.9,4.8,4.4,"$56,740",101.0%
39041,"Delaware County, OH",7.2,6.2,5.2,5.3,4.1,3.5,3.6,3.5,3.4,"$103,536",184.4%
39043,"Erie County, OH",11.3,9.5,8.0,8.1,6.4,5.5,5.5,6.1,5.6,"$53,135",94.6%
39045,"Fairfield County, OH",9.2,8.0,6.6,6.7,5.2,4.4,4.3,4.3,4.0,"$67,654",120.5%
39047,"Fayette County, OH",13.1,10.5,8.3,7.7,6.0,4.9,4.4,4.2,4.1,"$47,733",85.0%
39049,"Franklin County, OH",8.9,7.8,6.4,6.4,4.9,4.1,4.1,4.0,3.8,"$60,383",107.5%
39051,"Fulton County, OH",11.8,9.6,7.7,7.9,5.9,4.9,4.7,4.9,4.4,"$62,800",111.8%
39053,"Gallia County, OH",11.8,11.2,9.7,9.7,7.7,6.5,6.8,6.6,6.1,"$43,785",78.0%
39055,"Geauga County, OH",6.9,6.0,5.3,5.7,5.0,4.2,4.5,4.7,4.3,"$84,093",149.8%
39057,"Greene County, OH",9.5,8.3,6.9,7.0,5.3,4.4,4.4,4.2,4.0,"$68,380",121.8%
39059,"Guernsey County, OH",12.7,10.8,9.0,8.7,6.7,6.2,7.1,6.0,5.5,"$44,623",79.5%
39061,"Hamilton County, OH",9.9,8.9,7.4,7.3,5.5,4.5,4.4,4.4,4.1,"$57,300",102.0%
39063,"Hancock County, OH",9.1,7.8,6.4,6.2,4.5,3.7,3.7,3.6,3.4,"$61,579",109.7%
39065,"Hardin County, OH",11.2,9.5,7.5,7.7,5.7,4.8,5.0,4.9,4.4,"$49,580",88.3%
39067,"Harrison County, OH",12.5,10.7,8.5,7.9,6.1,6.3,7.6,6.0,5.3,"$50,301",89.6%
39069,"Henry County, OH",13.1,10.7,8.7,8.8,6.5,5.6,5.3,5.2,4.9,"$57,705",102.8%
39071,"Highland County, OH",17.3,13.5,10.4,10.5,7.8,6.4,6.3,5.9,5.5,"$49,161",87.5%
39073,"Hocking County, OH",11.7,9.9,8.3,8.1,6.5,5.6,5.6,5.4,5.1,"$50,568",90.1%
39075,"Holmes County, OH",7.6,6.3,5.1,5.2,4.0,3.4,3.6,3.5,3.3,"$60,828",108.3%
39077,"Huron County, OH",13.2,11.4,9.9,10.2,8.0,6.6,6.5,6.4,5.9,"$55,202",98.3%
39079,"Jackson County, OH",12.5,11.8,10.3,10.5,8.8,7.5,7.9,7.1,6.6,"$44,726",79.6%
39081,"Jefferson County, OH",14.5,12.0,10.9,10.9,8.2,7.4,8.4,7.3,6.3,"$42,821",76.3%
39083,"Knox County, OH",9.7,8.7,7.0,6.9,5.3,4.6,4.6,4.5,4.3,"$56,885",101.3%
39085,"Lake County, OH",7.9,6.8,5.9,6.2,5.5,4.5,4.9,5.1,4.7,"$65,883",117.3%
39087,"Lawrence County, OH",10.3,9.5,8.5,8.8,6.7,5.9,6.5,5.9,5.6,"$43,031",76.6%
39089,"Licking County, OH",9.6,8.4,6.8,6.9,5.3,4.4,4.4,4.2,4.0,"$66,145",117.8%
39091,"Logan County, OH",11.8,9.8,7.1,6.8,5.0,4.2,4.2,4.1,3.7,"$61,699",109.9%
39093,"Lorain County, OH",9.1,7.8,7.1,7.3,6.4,5.6,6.0,6.1,5.4,"$59,265",105.5%
39095,"Lucas County, OH",11.5,9.9,8.3,8.7,6.4,5.3,5.2,5.9,5.3,"$47,865",85.2%
39097,"Madison County, OH",9.0,7.9,6.4,6.3,4.8,4.0,3.9,3.9,3.8,"$61,645",109.8%
39099,"Mahoning County, OH",11.7,9.8,8.3,8.5,6.7,6.1,6.4,6.8,5.9,"$48,010",85.5%
39101,"Marion County, OH",11.0,9.9,7.9,7.9,6.0,5.1,5.1,5.0,4.4,"$45,419",80.9%
39103,"Medina County, OH",7.4,6.4,5.5,5.8,5.0,4.1,4.4,4.7,4.3,"$76,475",136.2%
39105,"Meigs County, OH",14.6,13.1,11.6,11.9,9.0,8.2,8.5,8.1,7.3,"$44,286",78.9%
39107,"Mercer County, OH",8.5,6.7,5.1,5.1,3.8,3.3,3.3,3.1,2.8,"$62,782",111.8%
39109,"Miami County, OH",11.1,9.1,7.3,7.2,5.4,4.4,4.4,4.2,3.9,"$59,922",106.7%
39111,"Monroe County, OH",12.2,9.9,8.4,10.0,11.0,9.9,11.1,8.3,7.8,"$46,314",82.5%
39113,"Montgomery County, OH",11.4,9.7,8.2,8.3,6.2,5.0,4.9,4.9,4.5,"$51,071",90.9%
39115,"Morgan County, OH",13.3,11.4,9.9,10.1,7.8,7.3,8.3,6.7,6.0,"$40,557",72.2%
39117,"Morrow County, OH",11.4,10.1,8.1,8.0,6.0,5.0,5.1,4.9,4.5,"$60,452",107.7%
39119,"Muskingum County, OH",12.6,10.9,9.2,9.1,7.1,6.2,6.0,5.6,5.3,"$49,586",88.3%
39121,"Noble County, OH",16.0,13.3,11.0,9.6,7.6,7.3,8.7,7.2,6.7,"$48,792",86.9%
39123,"Ottawa County, OH",12.3,11.1,9.5,9.7,7.7,6.6,6.5,6.7,6.3,"$58,345",103.9%
39125,"Paulding County, OH",12.6,9.8,7.7,7.6,5.5,4.8,4.6,4.4,4.1,"$53,876",95.9%
39127,"Perry County, OH",13.4,11.6,9.8,9.6,7.4,6.5,6.4,6.0,5.6,"$51,534",91.8%
39129,"Pickaway County, OH",10.6,9.2,7.4,7.3,5.7,4.8,4.8,4.6,4.3,"$58,742",104.6%
39131,"Pike County, OH",14.8,15.2,13.0,12.2,9.1,7.3,7.5,6.9,6.5,"$45,163",80.4%
39133,"Portage County, OH",10.3,8.9,7.3,7.7,5.9,4.9,5.0,5.0,4.6,"$63,689",113.4%
39135,"Preble County, OH",11.0,9.6,7.7,7.5,5.7,4.8,4.8,4.4,4.1,"$53,904",96.0%
39137,"Putnam County, OH",9.3,7.4,5.8,6.0,4.6,3.9,3.7,3.5,3.4,"$64,304",114.5%
39139,"Richland County, OH",12.1,10.6,8.7,8.6,6.6,5.6,5.5,5.4,4.9,"$49,668",88.4%
39141,"Ross County, OH",11.9,10.0,8.4,8.7,6.4,5.4,5.5,5.1,4.6,"$49,385",87.9%
39143,"Sandusky County, OH",10.8,9.2,7.5,7.6,5.7,4.8,4.7,4.7,4.5,"$53,978",96.1%
39145,"Scioto County, OH",13.3,12.5,11.3,11.9,8.8,7.7,7.7,7.0,6.8,"$41,267",73.5%
