,,Unemployment Rate (percent),,,,,,,,,,
FIPS ,Name,2010,2011,2012,2013,2014,2015,2016,2017,2018,Median Household Income (2018),% of State Median HH Income
40000,Oklahoma,6.8,5.9,5.2,5.3,4.5,4.4,4.8,4.2,3.4,"$51,914",100.0%
40001,"Adair County, OK",10.5,9.2,9.1,9.8,8.0,6.1,5.8,5.0,4.2,"$35,156",67.7%
40003,"Alfalfa County, OK",4.9,4.1,2.8,3.3,2.5,3.0,3.3,2.6,2.2,"$52,952",102.0%
40005,"Atoka County, OK",10.0,8.5,6.8,6.9,6.1,6.5,6.6,5.3,4.1,"$39,702",76.5%
40007,"Beaver County, OK",4.0,3.6,3.0,3.4,2.8,2.7,3.1,2.6,2.0,"$52,550",101.2%
40009,"Beckham County, OK",5.8,3.7,3.0,3.3,2.8,5.1,7.2,3.8,2.6,"$47,825",92.1%
40011,"Blaine County, OK",6.4,5.3,3.9,4.0,3.5,3.9,3.7,2.8,2.0,"$49,513",95.4%
40013,"Bryan County, OK",6.2,5.9,5.4,5.5,4.8,4.6,4.3,3.8,3.1,"$43,445",83.7%
40015,"Caddo County, OK",6.9,7.1,6.0,6.3,5.4,5.2,5.3,4.4,3.6,"$48,533",93.5%
40017,"Canadian County, OK",5.2,4.4,3.9,4.1,3.5,3.6,4.0,3.5,2.8,"$70,942",136.7%
40019,"Carter County, OK",7.1,6.4,5.5,5.3,4.4,4.6,5.2,4.5,3.5,"$48,660",93.7%
40021,"Cherokee County, OK",7.7,7.3,7.0,7.0,6.0,5.2,5.5,5.4,4.2,"$42,913",82.7%
40023,"Choctaw County, OK",9.1,9.0,8.5,8.5,8.3,7.7,7.6,6.1,5.0,"$35,308",68.0%
40025,"Cimarron County, OK",3.5,3.4,3.3,3.2,2.8,2.3,2.5,2.3,1.9,"$46,777",90.1%
40027,"Cleveland County, OK",5.3,4.5,4.1,4.3,3.7,3.5,3.8,3.5,2.9,"$62,343",120.1%
40029,"Coal County, OK",9.1,8.4,7.1,7.6,6.7,7.6,7.3,5.4,3.8,"$39,396",75.9%
40031,"Comanche County, OK",5.8,5.7,5.9,5.8,4.7,4.4,4.6,4.4,3.9,"$51,382",99.0%
40033,"Cotton County, OK",6.7,6.1,5.6,5.6,4.6,4.2,4.8,4.0,3.1,"$43,386",83.6%
40035,"Craig County, OK",6.7,6.3,5.6,6.5,5.5,4.8,4.8,4.3,3.5,"$43,074",83.0%
40037,"Creek County, OK",8.6,7.0,6.0,6.0,5.0,5.0,5.8,5.0,3.8,"$54,478",104.9%
40039,"Custer County, OK",5.2,4.0,3.6,3.7,3.1,4.1,4.6,3.2,2.4,"$49,577",95.5%
40041,"Delaware County, OK",8.0,7.1,6.6,6.9,5.8,4.9,4.9,4.4,3.9,"$40,287",77.6%
40043,"Dewey County, OK",5.2,3.9,3.2,3.5,3.1,3.6,4.1,2.9,1.9,"$50,728",97.7%
40045,"Ellis County, OK",5.3,3.8,2.8,3.1,3.0,4.1,3.8,3.2,2.2,"$51,867",99.9%
40047,"Garfield County, OK",5.5,4.4,4.1,4.1,3.6,3.9,4.4,3.9,3.0,"$52,387",100.9%
40049,"Garvin County, OK",7.5,5.8,5.0,5.0,4.1,4.7,5.4,4.2,3.3,"$47,858",92.2%
40051,"Grady County, OK",6.5,5.3,4.8,4.8,4.0,4.5,5.0,4.0,3.1,"$56,489",108.8%
40053,"Grant County, OK",4.5,3.7,3.4,3.3,2.6,2.9,3.2,2.6,2.1,"$49,073",94.5%
40055,"Greer County, OK",7.7,6.3,5.3,5.4,4.6,5.7,7.4,5.2,4.0,"$37,445",72.1%
