,,Unemployment Rate (percent),,,,,,,,,,
FIPS ,Name,2010,2011,2012,2013,2014,2015,2016,2017,2018,Median Household Income (2018),% of State Median HH Income
41000,Oregon,10.6,9.5,8.8,7.9,6.8,5.6,4.8,4.1,4.2,"$63,168",100.0%
41001,"Baker County, OR",10.3,10.9,10.6,9.6,8.3,6.8,6.3,5.5,5.5,"$45,972",72.8%
41003,"Benton County, OR",7.1,6.4,6.0,5.7,5.1,4.2,3.9,3.2,3.2,"$63,600",100.7%
41005,"Clackamas County, OR",10.1,8.9,8.0,7.1,6.1,5.1,4.3,3.7,3.8,"$81,061",128.3%
41007,"Clatsop County, OR",10.0,9.4,8.7,7.8,6.6,5.5,4.7,4.1,4.1,"$53,806",85.2%
41009,"Columbia County, OR",12.9,11.3,10.7,9.6,8.4,7.1,6.1,5.1,5.1,"$63,338",100.3%
41011,"Coos County, OR",12.7,11.6,11.1,10.2,9.0,7.4,6.4,5.5,5.4,"$48,352",76.5%
41013,"Crook County, OR",15.9,14.3,13.6,12.1,9.8,8.4,6.9,6.3,6.0,"$51,348",81.3%
41015,"Curry County, OR",12.6,12.0,11.8,10.6,10.1,8.2,6.7,6.1,6.1,"$48,788",77.2%
41017,"Deschutes County, OR",13.8,12.3,11.3,9.5,7.7,5.9,4.9,4.2,4.2,"$67,372",106.7%
41019,"Douglas County, OR",14.0,12.7,11.9,10.6,9.1,7.5,6.3,5.3,5.4,"$47,020",74.4%
41021,"Gilliam County, OR",9.0,9.7,10.1,9.5,8.0,6.4,5.8,4.2,3.9,"$54,325",86.0%
41023,"Grant County, OR",13.7,13.8,14.0,12.4,10.5,8.7,7.6,6.9,7.3,"$46,141",73.0%
41025,"Harney County, OR",14.2,13.3,11.8,11.6,9.6,7.2,6.2,6.3,6.2,"$43,370",68.7%
41027,"Hood River County, OR",8.3,7.9,7.3,6.3,5.4,4.7,4.1,3.6,3.3,"$66,607",105.4%
41029,"Jackson County, OR",12.5,11.7,11.1,9.7,8.4,6.8,5.7,4.7,4.8,"$55,511",87.9%
41031,"Jefferson County, OR",13.7,12.7,11.8,10.4,8.9,7.3,6.6,5.6,5.5,"$50,376",79.7%
41033,"Josephine County, OR",14.0,12.6,12.2,11.1,9.4,7.7,6.5,5.4,5.5,"$46,578",73.7%
41035,"Klamath County, OR",12.9,12.0,11.7,10.8,9.3,7.8,6.8,5.9,6.4,"$45,374",71.8%
41037,"Lake County, OR",13.5,13.1,13.0,11.4,9.6,7.7,6.4,5.7,5.7,"$44,847",71.0%
41039,"Lane County, OR",11.0,9.7,8.9,8.0,6.9,5.8,5.1,4.4,4.5,"$53,161",84.2%
41041,"Lincoln County, OR",11.0,10.4,9.9,8.8,7.8,6.6,5.6,4.8,4.9,"$49,265",78.0%
41043,"Linn County, OR",12.8,11.4,10.7,9.7,8.1,6.7,5.7,4.7,4.7,"$54,292",85.9%
41045,"Malheur County, OR",9.7,9.4,9.4,8.5,7.9,6.4,5.5,4.6,4.6,"$42,624",67.5%
41047,"Marion County, OR",11.2,10.5,10.0,8.8,7.4,6.0,5.1,4.3,4.3,"$56,408",89.3%
41049,"Morrow County, OR",9.3,8.2,8.1,7.7,6.9,5.7,4.8,4.4,4.3,"$55,343",87.6%
41051,"Multnomah County, OR",9.6,8.3,7.6,6.8,5.9,4.9,4.2,3.6,3.7,"$70,756",112.0%
41053,"Polk County, OR",9.7,9.3,8.9,8.1,6.8,5.6,5.0,4.3,4.4,"$62,389",98.8%
41055,"Sherman County, OR",11.7,11.1,10.7,9.3,7.5,6.1,4.6,4.7,4.1,"$58,838",93.1%
41057,"Tillamook County, OR",10.5,9.9,9.7,8.4,6.9,5.6,4.9,4.2,4.4,"$52,486",83.1%
41059,"Umatilla County, OR",10.3,9.5,9.1,8.8,7.7,6.4,5.3,4.8,4.9,"$53,917",85.4%
41061,"Union County, OR",10.3,10.0,9.4,8.4,7.2,6.2,5.9,5.3,5.4,"$50,616",80.1%
41063,"Wallowa County, OR",12.9,12.2,11.5,11.1,10.0,7.8,6.7,5.7,6.1,"$48,137",76.2%
41065,"Wasco County, OR",9.6,8.8,8.4,7.6,6.6,5.6,4.8,4.2,4.3,"$52,269",82.7%
41067,"Washington County, OR",9.0,7.7,7.1,6.3,5.6,4.7,4.1,3.5,3.5,"$82,819",131.1%
41069,"Wheeler County, OR",9.5,8.5,6.9,6.3,6.2,5.2,4.2,4.0,3.5,"$39,579",62.7%
41071,"Yamhill County, OR",10.4,9.2,8.5,7.5,6.4,5.3,4.6,3.8,3.8,"$61,776",97.8%
,,,,,,,,,,,,
"Sources: Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS) data.

Census Bureau, Small Area Income and Poverty Estimates (SAIPE) Program



",,,,,,,,,,,,
