,,Unemployment Rate (percent),,,,,,,,,,
FIPS ,Name,2010,2011,2012,2013,2014,2015,2016,2017,2018,Median Household Income (2018),% of State Median HH Income
42000,Pennsylvania,8.5,7.9,7.8,7.4,5.9,5.3,5.4,4.9,4.3,"$60,891",100.0%
42001,"Adams County, PA",7.7,6.7,6.4,5.9,4.6,4.2,4.0,3.7,3.3,"$62,877",103.3%
42003,"Allegheny County, PA",7.6,7.1,7.0,6.5,5.4,5.0,5.2,4.7,4.0,"$59,881",98.3%
42005,"Armstrong County, PA",9.1,8.2,8.0,7.7,6.4,6.6,7.5,6.1,5.0,"$49,436",81.2%
42007,"Beaver County, PA",8.6,7.8,7.5,7.2,6.5,6.0,6.2,5.5,4.5,"$54,823",90.0%
42009,"Bedford County, PA",10.1,9.1,8.6,8.4,6.6,6.1,5.8,5.2,4.5,"$50,257",82.5%
42011,"Berks County, PA",8.7,7.9,7.7,7.1,5.5,4.9,5.0,4.6,4.2,"$62,519",102.7%
42013,"Blair County, PA",8.0,7.3,7.4,7.0,5.7,5.2,5.3,4.8,4.2,"$49,244",80.9%
42015,"Bradford County, PA",7.2,6.5,6.9,7.3,5.4,5.9,6.5,5.1,4.4,"$50,978",83.7%
42017,"Bucks County, PA",7.6,7.3,7.2,6.6,5.2,4.7,4.6,4.2,3.7,"$88,538",145.4%
42019,"Butler County, PA",7.4,6.7,6.4,6.2,5.1,4.7,5.1,4.6,3.9,"$67,161",110.3%
42021,"Cambria County, PA",9.4,8.7,8.8,8.7,7.0,6.6,6.8,6.0,5.2,"$45,163",74.2%
42023,"Cameron County, PA",12.6,10.7,10.3,9.7,7.0,7.1,7.4,6.8,5.0,"$41,770",68.6%
42025,"Carbon County, PA",10.6,10.0,10.0,9.3,7.1,6.1,6.0,5.5,5.1,"$53,901",88.5%
42027,"Centre County, PA",5.9,5.4,5.5,5.3,4.3,4.0,4.2,3.7,3.2,"$58,258",95.7%
42029,"Chester County, PA",6.2,5.8,5.6,5.3,4.2,3.8,3.9,3.6,3.2,"$99,224",163.0%
42031,"Clarion County, PA",10.2,9.9,9.0,8.1,6.3,6.0,6.1,5.6,4.7,"$46,284",76.0%
42033,"Clearfield County, PA",10.4,9.4,9.4,9.0,7.2,6.6,7.3,5.9,5.0,"$46,706",76.7%
42035,"Clinton County, PA",9.4,8.4,8.8,9.0,7.3,6.9,7.1,6.1,5.3,"$50,999",83.8%
42037,"Columbia County, PA",9.3,8.6,8.3,7.7,6.2,5.7,5.5,5.2,4.8,"$50,774",83.4%
42039,"Crawford County, PA",9.5,8.0,7.6,7.2,5.8,5.2,6.0,5.5,4.7,"$50,805",83.4%
