,,Unemployment Rate (percent),,,,,,,,,,
FIPS ,Name,2010,2011,2012,2013,2014,2015,2016,2017,2018,Median Household Income (2018),% of State Median HH Income
44000,Rhode Island,11.2,11.0,10.4,9.3,7.7,6.0,5.2,4.4,4.1,"$63,787",100.0%
44001,"Bristol County, RI",9.7,9.6,9.0,7.9,6.7,5.3,4.6,3.8,3.5,"$80,231",125.8%
44003,"Kent County, RI",11.1,10.6,9.9,8.7,7.2,5.5,4.7,4.1,3.7,"$69,089",108.3%
44005,"Newport County, RI",10.0,10.1,9.3,8.5,6.9,5.4,4.7,3.9,3.5,"$77,760",121.9%
44007,"Providence County, RI",11.8,11.6,10.9,9.8,8.1,6.3,5.5,4.7,4.4,"$56,141",88.0%
44009,"Washington County, RI",10.1,10.1,9.7,8.6,7.2,5.6,4.7,4.0,3.6,"$86,715",135.9%
,,,,,,,,,,,,
"Sources: Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS) data.

Census Bureau, Small Area Income and Poverty Estimates (SAIPE) Program



",,,,,,,,,,,,
,,,,,,,,,,,,
