,,Unemployment Rate (percent),,,,,,,,,,
FIPS ,Name,2010,2011,2012,2013,2014,2015,2016,2017,2018,Median Household Income (2018),% of State Median HH Income
45000,South Carolina,11.2,10.6,9.2,7.6,6.5,6.0,5.0,4.3,3.4,"$52,449",100.0%
45001,"Abbeville County, SC",13.6,12.5,10.6,9.5,7.7,6.9,5.5,4.6,4.0,"$42,412",80.9%
45003,"Aiken County, SC",9.3,9.3,8.6,7.6,6.5,5.9,5.0,4.1,3.3,"$52,633",100.4%
45005,"Allendale County, SC",19.1,18.4,16.9,14.0,12.2,11.3,8.6,6.9,5.8,"$29,124",55.5%
45007,"Anderson County, SC",11.6,10.3,8.9,7.1,6.0,5.4,4.6,3.9,3.3,"$51,740",98.6%
45009,"Bamberg County, SC",16.1,16.2,15.9,13.5,11.6,10.5,9.1,7.5,6.5,"$36,230",69.1%
45011,"Barnwell County, SC",16.6,15.2,13.9,12.1,9.7,9.0,7.4,6.0,4.8,"$38,131",72.7%
45013,"Beaufort County, SC",8.7,8.7,7.6,6.4,5.7,5.5,4.8,4.1,3.2,"$65,843",125.5%
45015,"Berkeley County, SC",10.0,9.6,8.4,7.0,6.0,5.5,4.6,3.8,3.0,"$62,204",118.6%
45017,"Calhoun County, SC",12.3,12.4,11.2,9.6,8.0,7.1,6.2,5.2,4.2,"$45,385",86.5%
45019,"Charleston County, SC",8.8,8.3,7.2,5.9,5.2,4.9,4.1,3.5,2.8,"$62,958",120.0%
45021,"Cherokee County, SC",15.7,14.7,12.8,10.5,8.3,7.1,6.0,5.0,3.6,"$42,542",81.1%
45023,"Chester County, SC",19.3,17.3,14.8,12.2,9.7,8.4,7.2,6.1,4.8,"$42,116",80.3%
45025,"Chesterfield County, SC",14.4,12.9,11.4,9.2,6.9,6.1,5.0,4.3,3.3,"$39,046",74.4%
45027,"Clarendon County, SC",14.0,14.5,12.8,10.3,8.4,7.7,6.7,6.0,4.7,"$36,722",70.0%
45029,"Colleton County, SC",13.8,14.1,12.1,9.9,7.6,7.0,5.6,4.8,4.0,"$39,079",74.5%
45031,"Darlington County, SC",13.2,12.9,11.1,9.3,8.0,7.4,6.3,5.3,4.1,"$37,206",70.9%
45033,"Dillon County, SC",15.9,15.8,14.1,11.8,9.7,8.6,6.8,5.7,4.8,"$33,159",63.2%
45035,"Dorchester County, SC",9.5,9.0,7.8,6.6,5.8,5.5,4.6,3.9,3.0,"$65,468",124.8%
45037,"Edgefield County, SC",9.9,9.9,9.4,8.1,6.7,6.4,5.7,4.6,3.5,"$48,818",93.1%
45039,"Fairfield County, SC",14.6,14.5,13.0,10.7,8.7,8.1,7.2,7.4,6.2,"$39,522",75.4%
45041,"Florence County, SC",11.3,11.2,9.7,8.3,7.2,6.6,5.3,4.5,3.7,"$47,949",91.4%
45043,"Georgetown County, SC",14.5,13.6,12.0,10.1,8.6,8.4,6.8,5.6,4.5,"$46,058",87.8%
45045,"Greenville County, SC",9.6,8.6,7.4,6.1,5.3,4.9,4.3,3.7,2.9,"$61,162",116.6%
45047,"Greenwood County, SC",11.9,11.3,10.1,8.6,6.9,6.3,5.2,4.5,3.6,"$43,879",83.7%
45049,"Hampton County, SC",12.8,12.9,11.2,9.3,7.7,8.4,5.9,4.4,3.5,"$35,871",68.4%
45051,"Horry County, SC",12.3,11.9,10.4,8.6,7.4,7.1,5.9,5.0,4.2,"$49,082",93.6%
45053,"Jasper County, SC",9.8,9.9,8.5,6.9,5.7,5.1,4.4,3.7,3.0,"$43,125",82.2%
45055,"Kershaw County, SC",11.5,11.0,9.5,7.8,6.5,6.0,5.2,4.5,3.5,"$52,270",99.7%
45057,"Lancaster County, SC",14.7,13.3,11.3,9.3,7.2,6.3,5.3,4.7,3.8,"$58,035",110.7%
45059,"Laurens County, SC",12.3,11.6,10.3,8.6,7.1,6.6,5.2,4.4,3.6,"$42,099",80.3%
45061,"Lee County, SC",16.2,16.2,14.1,11.0,9.1,8.4,7.1,6.0,4.6,"$33,199",63.3%
45063,"Lexington County, SC",8.2,8.0,7.0,5.8,5.1,4.8,4.1,3.6,2.9,"$60,627",115.6%
