,,Unemployment Rate (percent),,,,,,,,,,
FIPS ,Name,2010,2011,2012,2013,2014,2015,2016,2017,2018,Median Household Income (2018),% of State Median HH Income
46000,South Dakota,5.0,4.7,4.3,3.8,3.4,3.1,3.0,3.2,3.0,"$57,041",100.0%
46003,"Aurora County, SD",3.5,3.2,3.0,2.7,2.6,2.2,2.2,2.8,2.9,"$53,107",93.1%
46005,"Beadle County, SD",4.2,3.8,3.5,3.6,3.1,2.6,2.6,2.7,2.6,"$49,712",87.2%
46007,"Bennett County, SD",7.2,7.3,6.8,6.4,5.5,5.0,3.9,4.2,4.5,"$37,071",65.0%
46009,"Bon Homme County, SD",4.2,5.0,3.9,3.2,2.8,2.7,2.7,2.8,2.5,"$50,278",88.1%
46011,"Brookings County, SD",4.7,4.4,3.9,3.4,3.2,2.9,2.7,3.0,2.8,"$62,109",108.9%
46013,"Brown County, SD",3.9,3.9,3.6,3.3,2.9,2.7,2.7,2.9,2.8,"$60,082",105.3%
46015,"Brule County, SD",3.7,4.0,3.6,3.4,3.3,2.7,2.5,2.9,2.7,"$49,732",87.2%
46017,"Buffalo County, SD",11.3,10.3,9.7,8.8,7.8,7.0,8.3,7.2,5.9,"$25,973",45.5%
46019,"Butte County, SD",5.1,4.9,4.7,3.9,3.4,3.4,3.4,3.4,3.3,"$44,388",77.8%
46021,"Campbell County, SD",4.3,3.9,3.6,3.6,3.3,2.9,2.9,3.2,3.9,"$45,737",80.2%
46023,"Charles Mix County, SD",4.9,5.0,5.0,4.3,3.8,3.4,3.2,3.5,3.2,"$47,412",83.1%
46025,"Clark County, SD",5.2,4.8,4.3,3.9,3.9,3.6,3.9,4.4,4.0,"$48,517",85.1%
46027,"Clay County, SD",4.2,4.0,3.8,3.7,3.5,3.1,3.0,3.2,2.9,"$46,378",81.3%
46029,"Codington County, SD",5.2,4.6,3.9,3.6,3.3,3.1,3.1,3.2,3.0,"$55,580",97.4%
46031,"Corson County, SD",6.9,7.5,8.0,6.9,5.8,5.1,4.5,4.0,4.1,"$34,024",59.6%
46033,"Custer County, SD",5.8,5.6,5.4,5.1,4.6,4.2,4.0,4.1,4.0,"$58,806",103.1%
46035,"Davison County, SD",4.4,3.9,3.3,3.1,2.8,2.5,2.4,2.8,2.6,"$51,724",90.7%
46037,"Day County, SD",6.7,6.5,5.8,5.3,5.3,5.0,4.2,3.9,4.2,"$48,023",84.2%
46039,"Deuel County, SD",6.7,6.1,5.9,5.6,5.4,4.9,4.9,4.7,4.4,"$55,404",97.1%
46041,"Dewey County, SD",14.9,16.2,16.0,15.5,14.5,11.5,9.0,9.8,8.8,"$41,942",73.5%
46043,"Douglas County, SD",4.4,4.1,3.4,3.2,2.9,2.5,2.5,2.9,2.7,"$55,159",96.7%
46045,"Edmunds County, SD",3.1,3.3,3.0,2.8,2.6,2.5,2.3,2.7,2.7,"$58,977",103.4%
46047,"Fall River County, SD",6.2,6.0,5.7,5.0,4.7,4.4,4.4,3.9,3.9,"$46,782",82.0%
46049,"Faulk County, SD",3.9,4.2,4.0,3.3,3.2,2.6,2.6,3.0,3.0,"$49,068",86.0%
46051,"Grant County, SD",4.6,4.8,4.4,4.2,3.6,3.0,3.2,3.4,3.2,"$59,813",104.9%
46053,"Gregory County, SD",4.4,4.6,4.4,3.9,3.4,3.2,3.0,3.4,3.3,"$40,583",71.1%
46055,"Haakon County, SD",3.4,3.7,3.2,2.9,2.8,2.3,2.4,2.7,2.6,"$51,801",90.8%
46057,"Hamlin County, SD",5.0,4.5,3.9,3.4,3.5,3.3,3.3,3.5,3.1,"$65,776",115.3%
46059,"Hand County, SD",3.3,3.3,3.1,2.7,2.6,2.3,2.1,2.4,2.3,"$52,568",92.2%
46061,"Hanson County, SD",5.3,4.8,4.6,4.2,3.5,3.3,3.4,4.0,4.6,"$63,772",111.8%
46063,"Harding County, SD",3.5,4.0,3.7,2.9,2.3,2.4,2.9,2.9,2.5,"$55,017",96.5%
46065,"Hughes County, SD",3.5,3.6,3.3,2.9,2.6,2.4,2.4,2.7,2.6,"$70,093",122.9%
46067,"Hutchinson County, SD",4.0,3.8,3.5,3.3,2.9,2.5,2.5,3.0,2.8,"$54,434",95.4%
46069,"Hyde County, SD",3.8,3.7,3.5,3.4,2.8,2.8,2.7,3.1,3.1,"$52,496",92.0%
46071,"Jackson County, SD",6.8,7.5,7.0,6.2,5.4,4.3,4.1,5.4,4.9,"$34,122",59.8%
46073,"Jerauld County, SD",3.7,3.6,3.1,3.1,2.5,2.2,2.4,2.4,2.5,"$47,689",83.6%
46075,"Jones County, SD",3.0,3.3,3.8,3.6,3.6,2.9,2.3,2.9,2.7,"$49,609",87.0%
46077,"Kingsbury County, SD",5.4,4.4,3.6,3.2,3.0,2.9,2.6,3.1,2.9,"$54,609",95.7%
46079,"Lake County, SD",5.7,5.0,4.2,3.9,3.6,3.6,3.4,3.7,3.4,"$60,733",106.5%
46081,"Lawrence County, SD",4.7,4.8,4.5,3.9,3.5,3.3,3.3,3.2,2.9,"$51,774",90.8%
46083,"Lincoln County, SD",3.9,3.6,3.2,2.7,2.4,2.2,2.2,2.4,2.3,"$84,889",148.8%
46085,"Lyman County, SD",6.5,6.4,5.9,4.8,4.2,4.7,4.7,4.9,4.1,"$47,429",83.1%
46087,"McCook County, SD",4.9,4.4,3.8,3.2,2.7,2.4,2.5,2.7,2.5,"$59,913",105.0%
46089,"McPherson County, SD",4.9,4.5,4.6,3.8,3.9,3.3,3.4,3.3,3.8,"$39,850",69.9%
46091,"Marshall County, SD",5.4,5.6,4.8,4.4,4.1,3.8,3.9,4.3,3.8,"$56,862",99.7%
46093,"Meade County, SD",5.3,4.9,4.4,3.8,3.4,3.2,3.1,3.3,3.3,"$59,524",104.4%
46095,"Mellette County, SD",6.3,6.4,7.8,7.6,6.1,5.1,4.2,4.7,4.9,"$32,780",57.5%
46097,"Miner County, SD",5.0,4.5,3.7,3.7,3.2,2.4,2.7,2.8,2.8,"$50,123",87.9%
46099,"Minnehaha County, SD",5.0,4.5,4.0,3.3,3.0,2.7,2.6,2.7,2.6,"$60,033",105.2%
46101,"Moody County, SD",7.0,6.4,5.5,4.6,4.1,3.4,3.7,3.6,3.0,"$57,392",100.6%
46103,"Pennington County, SD",5.2,4.8,4.4,3.9,3.4,3.2,3.1,3.3,3.1,"$58,738",103.0%
46105,"Perkins County, SD",4.2,4.3,4.0,3.7,3.4,3.2,2.9,2.8,2.9,"$55,626",97.5%
46107,"Potter County, SD",4.9,5.3,4.0,3.8,3.3,3.2,2.7,3.2,3.5,"$54,722",95.9%
46109,"Roberts County, SD",5.8,6.7,5.7,5.2,4.8,4.3,4.1,4.6,4.3,"$44,709",78.4%
46111,"Sanborn County, SD",4.2,4.2,3.5,3.0,2.5,2.5,3.0,3.4,2.9,"$54,874",96.2%
46115,"Spink County, SD",3.8,4.2,4.1,3.6,3.5,3.1,3.1,3.3,3.5,"$50,590",88.7%
46117,"Stanley County, SD",3.8,4.0,3.0,2.8,2.6,2.4,2.4,3.2,2.6,"$69,991",122.7%
46119,"Sully County, SD",3.6,3.8,3.1,3.0,2.8,2.5,2.3,3.1,2.6,"$59,457",104.2%
46121,"Todd County, SD",7.7,8.5,9.7,9.8,8.7,7.4,6.4,6.4,6.2,"$31,876",55.9%
46123,"Tripp County, SD",3.6,3.8,3.7,3.5,3.2,2.7,2.2,2.7,2.6,"$45,710",80.1%
46125,"Turner County, SD",4.6,4.1,3.5,3.0,2.9,2.7,2.8,3.1,2.7,"$62,792",110.1%
46127,"Union County, SD",5.8,5.2,4.8,4.2,3.7,3.4,3.1,3.5,3.2,"$80,698",141.5%
46129,"Walworth County, SD",6.9,7.0,6.2,5.4,5.4,5.4,5.1,4.9,4.9,"$48,394",84.8%
46135,"Yankton County, SD",4.9,4.5,3.7,3.3,3.0,2.6,2.6,2.8,2.6,"$56,535",99.1%
46137,"Ziebach County, SD",5.8,6.4,6.9,6.2,5.9,5.1,4.5,5.1,5.1,"$32,341",56.7%
,,,,,,,,,,,,
"Sources: Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS) data.

Census Bureau, Small Area Income and Poverty Estimates (SAIPE) Program



",,,,,,,,,,,,
