,,Unemployment Rate (percent),,,,,,,,,,
FIPS ,Name,2010,2011,2012,2013,2014,2015,2016,2017,2018,Median Household Income (2018),% of State Median HH Income
47000,Tennessee,9.7,9.0,7.8,7.8,6.6,5.6,4.7,3.8,3.5,"$52,366",100.0%
47001,"Anderson County, TN",9.3,8.8,7.9,7.9,6.8,5.8,4.8,4.0,3.8,"$50,672",96.8%
47003,"Bedford County, TN",12.6,11.3,9.8,9.2,7.5,6.4,4.9,4.0,3.7,"$49,860",95.2%
47005,"Benton County, TN",12.3,11.4,9.8,9.8,8.8,7.7,7.1,5.4,4.9,"$38,940",74.4%
47007,"Bledsoe County, TN",13.2,11.3,10.4,10.5,9.0,7.9,6.9,5.9,5.8,"$40,195",76.8%
47009,"Blount County, TN",9.1,8.2,7.1,7.0,6.0,5.2,4.4,3.5,3.2,"$57,939",110.6%
47011,"Bradley County, TN",9.4,8.9,7.4,7.1,6.1,5.2,4.4,3.7,3.6,"$50,427",96.3%
47013,"Campbell County, TN",12.5,11.7,11.1,11.1,9.3,7.9,6.9,5.2,4.8,"$39,443",75.3%
47015,"Cannon County, TN",11.1,10.3,8.5,7.9,6.3,5.8,4.6,3.6,3.2,"$51,859",99.0%
47017,"Carroll County, TN",14.6,12.1,10.9,11.9,10.1,8.3,6.7,5.2,4.9,"$42,025",80.3%
47019,"Carter County, TN",10.9,10.0,8.9,9.2,7.7,6.4,5.6,4.6,4.1,"$39,202",74.9%
47021,"Cheatham County, TN",9.0,8.5,7.2,6.6,5.5,4.8,4.0,3.1,2.7,"$63,241",120.8%
47023,"Chester County, TN",10.0,9.1,7.8,8.1,6.8,5.9,5.0,4.0,3.8,"$47,508",90.7%
47025,"Claiborne County, TN",10.8,11.0,9.9,10.7,8.6,7.2,6.2,4.7,4.2,"$37,987",72.5%
47027,"Clay County, TN",12.1,10.6,10.0,10.8,9.1,8.9,6.5,5.1,5.0,"$34,238",65.4%
47029,"Cocke County, TN",13.6,13.2,11.5,10.9,9.0,7.8,6.3,5.3,4.7,"$36,192",69.1%
47031,"Coffee County, TN",10.8,9.9,8.2,7.8,6.4,5.5,4.7,3.7,3.4,"$49,494",94.5%
47033,"Crockett County, TN",11.6,10.5,9.2,9.1,7.6,6.4,5.2,4.2,3.9,"$44,431",84.8%
47035,"Cumberland County, TN",10.7,10.2,9.0,9.3,8.0,7.1,5.9,4.7,4.4,"$46,527",88.8%
47037,"Davidson County, TN",8.2,7.5,6.2,5.9,5.0,4.4,3.6,2.8,2.6,"$60,799",116.1%
47039,"Decatur County, TN",13.1,11.6,10.3,10.6,9.5,7.9,6.9,5.2,4.8,"$42,905",81.9%
47041,"DeKalb County, TN",11.7,11.1,9.6,10.1,8.2,6.9,5.5,4.8,4.4,"$47,420",90.6%
47043,"Dickson County, TN",10.2,9.5,8.3,7.7,6.3,5.4,4.3,3.4,3.0,"$56,166",107.3%
47045,"Dyer County, TN",12.1,12.4,11.0,10.5,8.2,7.2,6.2,4.9,4.6,"$44,302",84.6%
47047,"Fayette County, TN",9.9,9.5,8.5,8.6,7.2,6.2,5.0,4.0,3.7,"$59,529",113.7%
47049,"Fentress County, TN",12.4,11.4,9.7,9.8,8.5,7.3,6.1,4.6,4.2,"$36,687",70.1%
47051,"Franklin County, TN",10.1,9.4,7.8,7.3,6.1,5.2,4.8,3.8,3.4,"$50,201",95.9%
47053,"Gibson County, TN",12.0,11.4,10.3,11.0,8.9,7.4,5.8,4.6,4.5,"$42,720",81.6%
47055,"Giles County, TN",12.1,10.0,8.4,8.2,6.1,5.0,4.0,3.4,3.7,"$48,024",91.7%
47057,"Grainger County, TN",12.7,11.7,10.3,10.0,8.2,6.6,5.4,4.3,4.0,"$41,829",79.9%
47059,"Greene County, TN",12.8,11.4,10.2,9.7,8.1,6.5,5.4,4.6,4.6,"$44,366",84.7%
47061,"Grundy County, TN",12.6,12.4,10.1,10.1,9.4,7.8,6.4,5.0,4.4,"$36,317",69.4%
47063,"Hamblen County, TN",11.6,10.8,9.4,9.1,7.4,6.2,5.1,4.1,3.8,"$44,040",84.1%
47065,"Hamilton County, TN",8.3,7.8,6.9,7.2,6.2,5.3,4.6,3.7,3.4,"$57,196",109.2%
47067,"Hancock County, TN",15.8,13.9,11.8,11.8,9.8,9.7,7.9,5.8,5.1,"$30,691",58.6%
47069,"Hardeman County, TN",13.2,12.1,10.9,11.1,9.3,7.5,6.1,5.2,5.0,"$37,834",72.2%
47071,"Hardin County, TN",12.0,11.3,10.1,10.4,9.0,7.2,6.0,4.7,4.4,"$37,690",72.0%
47073,"Hawkins County, TN",10.9,9.9,8.8,8.8,7.3,6.4,5.4,4.3,4.0,"$42,188",80.6%
47075,"Haywood County, TN",15.6,13.8,11.5,11.8,9.8,8.4,6.5,5.3,5.4,"$39,574",75.6%
47077,"Henderson County, TN",14.3,11.2,9.7,10.5,8.6,8.0,6.8,5.2,4.7,"$43,491",83.1%
47079,"Henry County, TN",11.4,10.8,9.4,9.5,8.1,6.5,5.9,4.6,4.2,"$43,159",82.4%
47081,"Hickman County, TN",11.1,10.3,8.9,8.3,6.6,5.7,4.6,3.5,3.2,"$44,684",85.3%
47083,"Houston County, TN",12.0,11.2,11.2,10.9,9.9,8.6,7.5,5.9,5.5,"$44,688",85.3%
47085,"Humphreys County, TN",11.2,10.5,9.5,8.8,7.8,6.7,6.0,4.4,4.3,"$48,056",91.8%
47087,"Jackson County, TN",12.6,11.7,10.5,10.3,8.8,7.9,7.0,5.4,4.7,"$37,563",71.7%
47089,"Jefferson County, TN",11.5,10.5,9.4,9.1,7.4,6.4,5.3,4.1,3.8,"$49,611",94.7%
47091,"Johnson County, TN",12.8,11.5,9.5,9.0,6.9,5.6,4.8,3.9,3.5,"$35,778",68.3%
47093,"Knox County, TN",7.4,6.9,6.1,6.3,5.4,4.7,4.0,3.2,2.9,"$55,874",106.7%
47095,"Lake County, TN",11.1,12.1,10.4,10.1,9.2,8.5,7.7,5.6,5.2,"$33,709",64.4%
47097,"Lauderdale County, TN",14.2,12.4,10.9,11.7,9.8,8.8,7.7,5.8,5.8,"$38,849",74.2%
47099,"Lawrence County, TN",12.3,10.4,9.5,9.9,8.1,6.6,5.7,4.4,4.0,"$43,651",83.4%
47101,"Lewis County, TN",15.0,12.9,10.8,10.6,9.0,7.3,5.9,4.6,4.4,"$40,541",77.4%
47103,"Lincoln County, TN",7.2,6.7,6.1,6.3,5.4,4.8,4.1,3.3,3.1,"$51,249",97.9%
47105,"Loudon County, TN",9.3,8.6,7.6,7.8,6.7,5.6,4.7,3.7,3.4,"$58,186",111.1%
47107,"McMinn County, TN",12.5,11.2,9.1,9.0,7.5,6.3,5.4,4.4,4.1,"$46,029",87.9%
47109,"McNairy County, TN",12.8,11.3,10.3,11.7,10.6,8.5,7.0,5.7,5.4,"$39,859",76.1%
47111,"Macon County, TN",11.2,10.3,8.3,8.2,6.5,5.3,4.3,3.5,3.2,"$42,265",80.7%
47113,"Madison County, TN",10.0,9.3,8.1,8.1,6.8,5.9,4.8,4.0,3.8,"$46,651",89.1%
47115,"Marion County, TN",11.1,10.5,9.1,9.1,7.9,6.8,6.3,4.9,4.7,"$50,819",97.0%
47117,"Marshall County, TN",14.0,11.4,9.4,8.2,6.3,5.6,4.6,3.5,3.4,"$51,868",99.0%
47119,"Maury County, TN",12.3,10.2,7.8,7.1,5.9,5.1,4.0,3.3,3.2,"$57,337",109.5%
47121,"Meigs County, TN",13.1,12.0,10.3,10.3,8.7,7.6,6.8,5.3,4.5,"$50,565",96.6%
47123,"Monroe County, TN",12.7,11.5,9.9,9.8,7.6,6.3,5.3,4.0,3.7,"$45,566",87.0%
47125,"Montgomery County, TN",8.5,8.5,7.6,7.6,6.7,5.8,5.1,4.1,3.8,"$56,102",107.1%
47127,"Moore County, TN",7.9,6.9,5.8,6.0,5.1,4.5,3.8,3.1,3.0,"$58,234",111.2%
47129,"Morgan County, TN",11.4,10.8,10.2,10.2,8.8,7.5,6.4,4.9,4.5,"$40,397",77.1%
47131,"Obion County, TN",9.6,12.1,13.4,11.6,9.6,8.6,7.0,5.5,4.9,"$42,532",81.2%
47133,"Overton County, TN",10.7,10.2,8.9,9.0,7.9,7.1,5.3,4.2,3.8,"$42,149",80.5%
47135,"Perry County, TN",13.5,11.7,9.8,9.4,8.1,6.7,6.3,4.9,4.3,"$41,960",80.1%
47137,"Pickett County, TN",11.1,11.3,9.4,9.5,8.9,7.7,6.5,4.4,3.8,"$40,182",76.7%
47139,"Polk County, TN",11.2,11.1,9.8,9.2,7.9,6.6,5.7,4.6,4.2,"$41,968",80.1%
47141,"Putnam County, TN",9.4,8.9,8.0,8.0,6.9,5.8,4.9,3.8,3.6,"$45,512",86.9%
47143,"Rhea County, TN",12.3,11.3,10.2,10.7,8.4,7.4,7.1,6.5,5.6,"$44,132",84.3%
47145,"Roane County, TN",9.2,9.1,8.6,9.0,7.6,6.5,5.5,4.4,4.1,"$54,440",104.0%
47147,"Robertson County, TN",9.2,8.4,7.0,6.8,5.7,4.9,4.1,3.4,3.1,"$66,006",126.0%
47149,"Rutherford County, TN",8.9,7.9,6.5,6.2,5.2,4.5,3.7,2.9,2.7,"$64,170",122.5%
47151,"Scott County, TN",17.0,17.6,15.5,14.5,11.7,9.3,7.4,5.1,4.3,"$35,685",68.1%
47153,"Sequatchie County, TN",12.1,10.2,8.4,8.6,7.4,6.5,5.8,5.1,4.3,"$49,707",94.9%
47155,"Sevier County, TN",10.4,10.0,8.7,8.5,7.1,6.0,4.9,4.0,3.5,"$47,202",90.1%
47157,"Shelby County, TN",9.8,9.5,8.6,8.8,7.6,6.4,5.3,4.4,4.2,"$47,924",91.5%
47159,"Smith County, TN",12.3,10.2,8.2,7.8,6.4,5.6,4.6,3.6,3.1,"$50,704",96.8%
47161,"Stewart County, TN",12.4,12.4,11.0,11.0,9.2,7.7,6.8,5.4,5.0,"$46,565",88.9%
47163,"Sullivan County, TN",9.0,8.3,7.5,7.6,6.7,5.8,5.2,4.1,3.7,"$46,024",87.9%
47165,"Sumner County, TN",8.9,7.9,6.5,6.2,5.3,4.6,3.9,3.0,2.8,"$66,171",126.4%
47167,"Tipton County, TN",11.3,10.3,8.9,9.5,8.3,7.1,5.7,4.5,4.2,"$60,874",116.2%
47169,"Trousdale County, TN",10.8,10.4,8.6,8.5,7.1,5.9,4.8,3.5,3.3,"$49,280",94.1%
47171,"Unicoi County, TN",11.9,11.0,10.3,10.5,9.1,8.0,7.1,5.4,4.9,"$43,688",83.4%
47173,"Union County, TN",10.8,10.2,9.4,9.6,7.9,6.8,5.8,4.4,4.1,"$40,322",77.0%
47175,"Van Buren County, TN",13.2,11.7,11.5,11.5,9.6,8.0,6.1,4.3,4.7,"$38,265",73.1%
47177,"Warren County, TN",10.9,10.2,8.8,8.5,6.8,5.6,4.8,4.0,3.9,"$42,475",81.1%
47179,"Washington County, TN",8.7,8.0,7.1,7.2,6.3,5.6,4.8,3.8,3.5,"$49,242",94.0%
47181,"Wayne County, TN",11.4,10.7,9.5,9.7,8.7,7.4,6.5,5.3,4.9,"$38,879",74.2%
47183,"Weakley County, TN",11.0,11.4,10.9,10.4,8.6,6.8,5.8,4.9,4.2,"$42,351",80.9%
47185,"White County, TN",10.5,9.9,9.8,9.5,7.4,6.1,5.0,4.0,3.7,"$42,603",81.4%
47187,"Williamson County, TN",6.6,5.9,5.0,5.2,4.5,4.0,3.4,2.7,2.5,"$115,930",221.4%
47189,"Wilson County, TN",8.4,7.6,6.4,6.3,5.3,4.6,3.8,3.0,2.8,"$76,507",146.1%
,,,,,,,,,,,,
"Sources: Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS) data.

Census Bureau, Small Area Income and Poverty Estimates (SAIPE) Program



",,,,,,,,,,,,
