,,Unemployment Rate (percent),,,,,,,,,,
FIPS ,Name,2010,2011,2012,2013,2014,2015,2016,2017,2018,Median Household Income (2018),% of State Median HH Income
48000,Texas,8.1,7.8,6.7,6.3,5.1,4.4,4.6,4.3,3.9,"$60,632",100.0%
48001,"Anderson County, TX",8.1,7.3,6.3,5.8,4.7,3.9,4.3,3.6,3.1,"$45,969",75.8%
48003,"Andrews County, TX",6.2,5.0,4.0,3.8,3.0,3.5,4.7,3.1,2.4,"$84,946",140.1%
48005,"Angelina County, TX",8.5,7.9,6.9,6.5,5.2,5.6,5.9,5.1,4.4,"$46,653",76.9%
48007,"Aransas County, TX",9.2,8.8,7.0,6.6,5.5,5.1,5.6,6.8,5.7,"$46,912",77.4%
48009,"Archer County, TX",6.7,6.1,5.5,5.2,4.5,4.4,4.3,3.4,3.1,"$61,190",100.9%
48011,"Armstrong County, TX",4.9,4.8,4.5,4.0,3.2,2.7,2.8,2.6,2.8,"$57,210",94.4%
48013,"Atascosa County, TX",8.2,8.0,6.7,6.2,4.9,4.8,5.3,4.3,3.8,"$50,594",83.4%
48015,"Austin County, TX",8.0,7.9,6.4,5.9,4.8,4.6,5.3,4.4,3.6,"$59,942",98.9%
48017,"Bailey County, TX",7.9,7.5,6.9,7.2,5.0,4.3,4.4,4.3,4.4,"$45,051",74.3%
48019,"Bandera County, TX",7.8,7.5,6.6,6.0,4.8,4.0,4.1,3.6,3.4,"$53,008",87.4%
48021,"Bastrop County, TX",8.2,7.9,6.7,6.2,4.9,3.9,3.7,3.6,3.4,"$61,883",102.1%
48023,"Baylor County, TX",7.0,6.0,5.1,5.3,4.2,3.5,3.6,3.4,3.3,"$41,180",67.9%
48025,"Bee County, TX",8.9,8.6,7.0,6.6,5.8,6.2,7.5,6.5,5.1,"$41,806",69.0%
48027,"Bell County, TX",7.7,8.0,7.4,6.9,5.8,4.6,4.5,4.3,4.1,"$54,292",89.5%
48029,"Bexar County, TX",7.3,7.2,6.3,5.8,4.7,3.8,3.7,3.5,3.3,"$54,210",89.4%
48031,"Blanco County, TX",6.0,5.7,5.2,4.7,3.7,3.1,3.1,2.8,2.6,"$64,832",106.9%
48033,"Borden County, TX",6.4,5.4,4.3,4.1,3.1,2.9,3.6,3.4,3.2,"$66,101",109.0%
48035,"Bosque County, TX",8.8,8.3,7.2,6.5,5.2,4.5,4.3,4.0,3.7,"$48,460",79.9%
48037,"Bowie County, TX",8.4,8.3,7.4,7.6,6.3,4.8,4.7,4.6,4.9,"$47,339",78.1%
48039,"Brazoria County, TX",8.5,8.0,6.7,6.1,5.1,4.6,5.2,5.3,4.5,"$74,225",122.4%
48041,"Brazos County, TX",6.3,6.0,5.3,4.9,4.0,3.3,3.5,3.1,2.8,"$50,113",82.7%
48043,"Brewster County, TX",5.5,5.6,5.1,5.6,4.6,3.9,3.8,3.5,3.4,"$45,670",75.3%
48045,"Briscoe County, TX",6.1,6.1,5.4,5.6,4.2,3.9,4.4,4.3,3.9,"$44,409",73.2%
48047,"Brooks County, TX",12.0,10.6,8.7,9.0,7.7,9.9,11.8,8.3,6.5,"$30,116",49.7%
48049,"Brown County, TX",8.2,8.0,6.8,6.5,5.2,4.3,4.3,3.9,3.7,"$47,097",77.7%
48051,"Burleson County, TX",7.9,7.3,6.3,6.2,4.7,4.4,4.6,4.2,3.6,"$53,626",88.4%
48053,"Burnet County, TX",6.8,6.7,6.0,5.5,4.3,3.6,3.5,3.2,2.9,"$56,696",93.5%
