,,Unemployment Rate (percent),,,,,,,,,,
FIPS ,Name,2010,2011,2012,2013,2014,2015,2016,2017,2018,Median Household Income (2018),% of State Median HH Income
49000,Utah,7.8,6.7,5.4,4.6,3.8,3.6,3.4,3.3,3.1,"$71,381",100.0%
49001,"Beaver County, UT",9.9,8.0,6.1,4.7,4.0,3.8,4.9,4.1,3.5,"$55,940",78.4%
49003,"Box Elder County, UT",8.5,7.5,5.8,4.7,3.9,3.7,3.5,3.3,3.0,"$62,689",87.8%
49005,"Cache County, UT",6.1,5.3,4.5,4.0,3.2,3.1,3.1,2.8,2.7,"$60,315",84.5%
49007,"Carbon County, UT",8.6,7.6,7.0,6.3,5.1,5.7,5.9,5.1,4.5,"$51,394",72.0%
49009,"Daggett County, UT",7.3,6.2,5.0,4.9,4.2,4.7,5.2,4.9,4.4,"$58,910",82.5%
49011,"Davis County, UT",7.0,6.0,4.9,4.3,3.6,3.4,3.2,3.1,2.9,"$84,381",118.2%
49013,"Duchesne County, UT",9.6,6.7,4.7,4.3,3.6,7.5,8.9,5.7,4.6,"$60,767",85.1%
49015,"Emery County, UT",7.3,7.3,7.2,6.1,5.4,6.1,6.2,5.1,4.8,"$54,213",75.9%
49017,"Garfield County, UT",10.2,10.7,9.5,9.2,8.8,8.9,8.4,7.5,7.8,"$51,028",71.5%
49019,"Grand County, UT",10.5,9.8,8.4,7.7,6.4,6.1,5.9,5.3,4.8,"$50,750",71.1%
49021,"Iron County, UT",9.6,8.3,6.8,5.5,4.5,4.4,4.4,4.2,3.6,"$51,393",72.0%
49023,"Juab County, UT",9.1,8.2,6.1,5.0,4.1,4.0,3.6,3.4,3.0,"$65,379",91.6%
49025,"Kane County, UT",7.9,7.4,6.6,5.4,4.8,4.4,3.8,3.4,3.2,"$52,355",73.3%
49027,"Millard County, UT",6.2,5.3,4.7,4.1,3.5,3.5,3.3,3.3,3.3,"$58,644",82.2%
49029,"Morgan County, UT",6.9,5.7,4.9,4.0,3.4,3.1,3.0,2.8,2.8,"$98,875",138.5%
49031,"Piute County, UT",10.1,10.0,8.3,7.6,7.2,6.5,5.9,5.0,5.4,"$40,387",56.6%
49033,"Rich County, UT",7.2,7.2,5.3,4.6,3.9,3.6,3.2,3.2,3.3,"$60,695",85.0%
49035,"Salt Lake County, UT",7.7,6.6,5.3,4.4,3.7,3.4,3.2,3.1,3.0,"$73,619",103.1%
49037,"San Juan County, UT",10.9,10.0,8.8,8.0,7.7,7.9,8.1,7.0,6.2,"$42,982",60.2%
49039,"Sanpete County, UT",9.0,7.9,6.4,5.6,4.6,4.1,4.0,3.9,3.7,"$52,910",74.1%
49041,"Sevier County, UT",8.3,7.4,6.1,5.4,4.5,4.5,4.4,3.9,3.6,"$54,339",76.1%
49043,"Summit County, UT",7.4,6.1,4.9,4.2,3.4,3.3,3.1,3.1,3.0,"$105,374",147.6%
49045,"Tooele County, UT",8.3,7.1,6.0,5.4,4.8,4.1,3.8,3.6,3.5,"$73,584",103.1%
49047,"Uintah County, UT",8.5,6.0,4.4,4.4,3.6,6.8,9.3,6.0,4.7,"$63,631",89.1%
49049,"Utah County, UT",7.4,6.3,5.0,4.2,3.5,3.3,3.1,2.9,2.8,"$75,296",105.5%
49051,"Wasatch County, UT",8.4,7.0,5.8,4.7,3.8,3.5,3.4,3.3,3.1,"$85,380",119.6%
49053,"Washington County, UT",10.5,8.9,6.9,5.5,4.4,4.1,3.7,3.5,3.4,"$57,069",79.9%
49055,"Wayne County, UT",8.6,10.1,10.8,10.9,9.5,9.1,7.8,7.4,6.0,"$47,175",66.1%
49057,"Weber County, UT",8.8,7.8,6.3,5.4,4.4,4.1,3.8,3.7,3.5,"$68,106",95.4%
,,,,,,,,,,,,
"Sources: Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS) data.

Census Bureau, Small Area Income and Poverty Estimates (SAIPE) Program



",,,,,,,,,,,,
,,,,,,,,,,,,
