,,Unemployment Rate (percent),,,,,,,,,,
FIPS ,Name,2010,2011,2012,2013,2014,2015,2016,2017,2018,Median Household Income (2018),% of State Median HH Income
50000,Vermont,6.1,5.5,5.0,4.4,3.9,3.6,3.2,3.0,2.7,"$60,917",100.0%
50001,"Addison County, VT",5.8,4.9,4.5,4.1,3.7,3.5,3.0,2.8,2.6,"$68,878",113.1%
50003,"Bennington County, VT",6.9,6.4,5.9,5.2,4.6,4.2,3.8,3.6,3.1,"$52,510",86.2%
50005,"Caledonia County, VT",6.8,6.3,6.2,5.3,4.8,4.6,4.2,3.7,3.3,"$50,368",82.7%
50007,"Chittenden County, VT",4.8,4.2,3.8,3.4,3.0,2.7,2.5,2.2,2.1,"$74,240",121.9%
50009,"Essex County, VT",10.0,8.4,8.0,6.8,5.9,5.8,5.0,4.6,3.6,"$43,671",71.7%
50011,"Franklin County, VT",5.7,5.2,4.5,4.2,3.9,3.6,3.1,3.0,2.5,"$61,129",100.3%
50013,"Grand Isle County, VT",6.9,6.4,5.4,4.5,4.5,4.0,3.7,3.4,3.2,"$67,746",111.2%
50015,"Lamoille County, VT",7.6,6.9,6.4,5.7,5.1,4.6,4.3,3.9,3.5,"$60,230",98.9%
50017,"Orange County, VT",5.9,5.3,4.7,4.1,3.8,3.4,3.1,3.0,2.7,"$62,300",102.3%
50019,"Orleans County, VT",8.9,8.4,7.7,6.8,6.2,5.6,5.3,5.1,4.4,"$48,688",79.9%
50021,"Rutland County, VT",7.4,6.8,6.2,5.3,4.7,4.2,3.8,3.5,3.1,"$51,723",84.9%
50023,"Washington County, VT",5.9,5.3,4.7,4.3,3.9,3.5,3.2,2.9,2.6,"$61,808",101.5%
50025,"Windham County, VT",6.1,5.6,5.2,4.7,4.1,3.6,3.3,3.1,2.9,"$54,441",89.4%
50027,"Windsor County, VT",6.1,5.5,4.7,4.2,3.7,3.2,2.9,2.5,2.3,"$57,438",94.3%
,,,,,,,,,,,,
"Sources: Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS) data.

Census Bureau, Small Area Income and Poverty Estimates (SAIPE) Program



",,,,,,,,,,,,
,,,,,,,,,,,,
