,,Unemployment Rate (percent),,,,,,,,,,
FIPS ,Name,2010,2011,2012,2013,2014,2015,2016,2017,2018,Median Household Income (2018),% of State Median HH Income
51000,Virginia,7.1,6.6,6.1,5.7,5.2,4.5,4.1,3.7,3.0,"$72,600",100.0%
51001,"Accomack County, VA",7.9,8.4,7.9,7.2,6.7,5.4,4.9,4.5,3.8,"$42,879",59.1%
51003,"Albemarle County, VA",6.0,5.6,5.2,4.8,4.5,3.9,3.6,3.3,2.7,"$80,392",110.7%
51005,"Alleghany County, VA",8.6,7.9,7.1,6.6,5.9,5.1,5.1,4.6,3.8,"$46,538",64.1%
51007,"Amelia County, VA",8.5,7.5,6.5,5.9,5.3,4.5,4.3,4.0,3.2,"$57,280",78.9%
51009,"Amherst County, VA",8.1,7.3,6.7,6.1,5.4,4.8,4.4,4.1,3.3,"$50,580",69.7%
51011,"Appomattox County, VA",8.6,8.0,7.4,6.5,5.7,4.9,4.7,4.4,3.6,"$51,131",70.4%
51013,"Arlington County, VA",4.1,3.8,3.5,3.5,3.3,2.8,2.6,2.5,2.0,"$120,950",166.6%
51015,"Augusta County, VA",7.1,6.3,5.8,5.2,4.7,4.1,3.7,3.4,2.7,"$60,556",83.4%
51017,"Bath County, VA",7.5,6.3,5.8,5.3,4.5,4.1,3.7,3.0,2.5,"$50,564",69.6%
51019,"Bedford County, VA",7.0,6.5,6.0,5.7,5.1,4.4,4.1,3.9,3.1,"$61,186",84.3%
51021,"Bland County, VA",8.6,7.4,7.0,6.8,6.0,5.7,5.3,4.1,3.2,"$47,681",65.7%
51023,"Botetourt County, VA",6.4,5.9,5.5,5.3,4.9,4.2,3.7,3.5,2.7,"$71,874",99.0%
51025,"Brunswick County, VA",11.3,10.6,10.1,9.4,8.1,6.8,6.0,5.3,4.9,"$41,803",57.6%
51027,"Buchanan County, VA",10.0,8.6,9.1,11.0,10.5,10.8,10.8,7.1,5.5,"$32,144",44.3%
51029,"Buckingham County, VA",10.7,9.6,8.5,7.9,6.8,5.9,5.5,5.4,4.4,"$45,889",63.2%
