,,Unemployment Rate (percent),,,,,,,,,,
FIPS ,Name,2010,2011,2012,2013,2014,2015,2016,2017,2018,Median Household Income (2018),% of State Median HH Income
54000,West Virginia,8.7,8.1,7.5,6.8,6.6,6.7,6.1,5.2,5.3,"$44,038",100.0%
54001,"Barbour County, WV",10.0,9.4,8.3,7.1,6.8,7.4,6.8,5.8,6.0,"$39,776",90.3%
54003,"Berkeley County, WV",8.6,7.7,6.7,5.6,5.5,4.9,4.0,3.6,4.1,"$59,619",135.4%
54005,"Boone County, WV",8.8,8.1,10.4,9.6,9.3,9.7,9.1,6.4,6.1,"$38,110",86.5%
54007,"Braxton County, WV",11.1,11.1,10.8,10.3,9.5,8.9,8.8,7.5,7.0,"$39,292",89.2%
54009,"Brooke County, WV",11.4,9.8,8.7,7.7,7.3,7.3,7.1,6.1,6.1,"$48,342",109.8%
54011,"Cabell County, WV",7.2,7.1,6.5,5.8,5.5,5.4,4.8,4.5,4.7,"$39,790",90.4%
54013,"Calhoun County, WV",14.0,12.7,11.1,10.1,9.7,12.5,12.8,10.8,10.4,"$36,384",82.6%
54015,"Clay County, WV",14.1,12.3,12.0,12.0,10.9,11.2,10.4,8.6,8.4,"$35,983",81.7%
54017,"Doddridge County, WV",7.1,7.1,6.3,5.3,5.0,5.5,5.2,4.2,4.0,"$44,725",101.6%
54019,"Fayette County, WV",10.0,9.0,8.7,8.6,8.4,8.6,7.9,6.4,6.4,"$37,867",86.0%
54021,"Gilmer County, WV",8.9,8.1,7.8,6.7,6.5,7.8,8.3,7.1,6.3,"$38,173",86.7%
54023,"Grant County, WV",9.8,9.0,8.8,8.2,7.7,7.6,5.9,5.6,5.7,"$42,146",95.7%
54025,"Greenbrier County, WV",8.7,8.3,8.0,7.4,6.9,6.6,5.4,4.8,5.1,"$37,665",85.5%
54027,"Hampshire County, WV",9.1,8.8,7.9,7.0,6.3,5.6,4.4,3.9,4.2,"$44,442",100.9%
54029,"Hancock County, WV",12.1,10.6,9.3,8.1,8.0,7.8,7.0,6.0,5.9,"$47,299",107.4%
