,,Unemployment Rate (percent),,,,,,,,,,
FIPS ,Name,2010,2011,2012,2013,2014,2015,2016,2017,2018,Median Household Income (2018),% of State Median HH Income
55000,Wisconsin,8.7,7.8,7.0,6.7,5.4,4.6,4.0,3.3,3.0,"$60,779",100.0%
55001,"Adams County, WI",12.4,11.8,10.9,10.9,8.8,7.3,6.0,5.1,4.7,"$43,000",70.7%
55003,"Ashland County, WI",11.1,10.2,9.3,9.2,7.5,6.3,5.4,4.6,4.3,"$44,627",73.4%
55005,"Barron County, WI",9.3,8.5,7.9,7.5,5.8,5.0,4.5,3.5,3.4,"$50,344",82.8%
55007,"Bayfield County, WI",11.1,10.8,10.8,11.0,9.6,8.3,6.9,5.2,4.9,"$53,637",88.2%
55009,"Brown County, WI",7.9,7.2,6.6,6.2,4.8,4.1,3.6,2.9,2.7,"$62,097",102.2%
55011,"Buffalo County, WI",7.8,6.9,6.3,6.6,5.6,4.9,4.5,3.8,3.4,"$59,087",97.2%
55013,"Burnett County, WI",11.1,10.3,9.0,8.5,8.0,7.0,6.0,4.8,4.6,"$55,295",91.0%
55015,"Calumet County, WI",6.9,5.9,5.3,5.3,4.2,3.6,3.2,2.8,2.6,"$72,645",119.5%
55017,"Chippewa County, WI",8.4,7.8,6.8,6.7,5.4,4.7,4.3,3.5,3.3,"$59,528",97.9%
55019,"Clark County, WI",10.3,8.4,7.4,7.1,5.5,4.4,3.9,3.1,2.9,"$55,245",90.9%
55021,"Columbia County, WI",8.5,7.9,7.2,6.5,5.3,4.4,3.6,3.0,2.7,"$65,435",107.7%
55023,"Crawford County, WI",10.5,9.2,8.5,8.2,7.1,5.9,4.9,4.2,3.7,"$49,200",80.9%
55025,"Dane County, WI",5.9,5.3,4.9,4.7,3.7,3.2,2.9,2.4,2.2,"$71,789",118.1%
55027,"Dodge County, WI",9.0,7.8,7.2,6.9,5.4,4.4,3.6,2.9,2.6,"$63,608",104.7%
55029,"Door County, WI",11.3,12.0,10.3,9.9,8.2,6.7,5.0,3.9,3.6,"$61,221",100.7%
55031,"Douglas County, WI",8.3,7.5,6.9,6.6,5.7,5.0,5.2,4.5,4.0,"$50,637",83.3%
55033,"Dunn County, WI",7.9,7.3,6.6,6.4,5.2,4.5,4.1,3.3,3.1,"$57,506",94.6%
55035,"Eau Claire County, WI",7.0,6.4,5.8,5.7,4.5,3.8,3.4,2.9,2.6,"$60,111",98.9%
55037,"Florence County, WI",10.4,10.0,8.3,8.3,7.4,6.7,5.9,4.7,3.9,"$53,188",87.5%
55039,"Fond du Lac County, WI",8.5,7.3,6.5,6.1,4.9,4.1,3.5,2.8,2.6,"$59,428",97.8%
55041,"Forest County, WI",11.7,11.6,11.0,11.0,8.7,7.5,6.2,5.1,4.8,"$45,156",74.3%
55043,"Grant County, WI",7.6,6.8,6.0,5.9,4.8,4.4,3.9,3.1,2.8,"$57,328",94.3%
55045,"Green County, WI",8.0,6.9,6.2,5.7,4.5,3.8,3.3,2.8,2.6,"$63,160",103.9%
55047,"Green Lake County, WI",9.3,8.2,7.5,7.9,6.4,5.4,4.9,3.7,3.3,"$55,512",91.3%
55049,"Iowa County, WI",8.2,7.4,6.7,6.5,5.1,4.3,3.5,3.0,2.6,"$68,017",111.9%
55051,"Iron County, WI",11.4,10.7,10.5,10.7,9.5,8.8,7.5,6.2,5.8,"$44,130",72.6%
55053,"Jackson County, WI",8.7,8.0,7.3,7.1,5.9,4.8,4.4,3.4,3.1,"$52,919",87.1%
55055,"Jefferson County, WI",8.7,7.6,6.7,6.3,5.0,4.2,3.9,3.2,2.9,"$65,831",108.3%
55057,"Juneau County, WI",10.0,9.2,8.4,8.1,6.4,5.1,4.4,3.3,3.1,"$52,891",87.0%
55059,"Kenosha County, WI",10.3,9.0,8.2,7.6,6.0,5.1,4.7,3.9,3.5,"$65,013",107.0%
55061,"Kewaunee County, WI",8.2,7.4,6.5,6.4,5.0,4.1,3.7,3.1,2.9,"$63,612",104.7%
55063,"La Crosse County, WI",6.6,6.0,5.4,5.3,4.4,3.9,3.6,2.9,2.6,"$60,619",99.7%
55065,"Lafayette County, WI",7.2,6.4,5.6,5.4,4.2,3.7,3.2,2.5,2.3,"$60,711",99.9%
55067,"Langlade County, WI",11.0,10.1,9.3,9.1,7.5,6.1,5.2,4.2,4.0,"$51,334",84.5%
55069,"Lincoln County, WI",11.3,9.8,9.1,8.3,6.2,5.0,4.4,3.6,3.2,"$56,645",93.2%
55071,"Manitowoc County, WI",9.9,8.4,7.8,7.4,6.0,5.0,4.3,3.5,3.1,"$56,466",92.9%
55073,"Marathon County, WI",9.3,7.9,7.3,6.7,5.0,4.0,3.6,2.9,2.7,"$63,442",104.4%
55075,"Marinette County, WI",11.1,9.7,8.3,7.9,6.7,5.8,5.5,4.4,4.0,"$50,670",83.4%
55077,"Marquette County, WI",10.9,10.0,8.8,8.4,7.2,6.1,5.1,3.9,3.5,"$46,964",77.3%
55078,"Menominee County, WI",17.5,17.2,16.3,15.8,12.4,9.7,7.6,5.9,5.7,"$40,682",66.9%
55079,"Milwaukee County, WI",10.0,9.3,8.6,8.4,6.9,5.7,5.0,4.0,3.6,"$49,771",81.9%
55081,"Monroe County, WI",8.0,7.4,7.3,6.9,5.4,4.5,3.8,2.9,2.7,"$58,391",96.1%
55083,"Oconto County, WI",10.7,9.6,8.4,7.7,6.2,5.2,4.4,3.5,3.3,"$59,983",98.7%
55085,"Oneida County, WI",10.2,9.4,8.7,8.6,6.7,5.8,4.9,3.9,3.6,"$53,805",88.5%
55087,"Outagamie County, WI",8.1,7.1,6.4,6.1,4.8,4.0,3.5,3.0,2.8,"$65,993",108.6%
55089,"Ozaukee County, WI",7.1,6.1,5.5,5.2,4.2,3.7,3.3,2.7,2.5,"$83,014",136.6%
55091,"Pepin County, WI",7.4,6.4,5.7,5.7,4.8,4.2,3.8,3.5,3.3,"$56,348",92.7%
55093,"Pierce County, WI",7.0,6.0,5.5,5.3,4.4,3.9,4.0,3.4,3.2,"$75,421",124.1%
55095,"Polk County, WI",10.0,8.6,8.0,7.1,5.7,4.8,4.6,3.8,3.7,"$59,990",98.7%
55097,"Portage County, WI",8.0,7.5,7.3,6.9,5.6,4.6,3.8,3.1,3.0,"$59,032",97.1%
55099,"Price County, WI",10.9,9.0,7.5,6.9,5.4,4.5,4.3,3.7,3.7,"$47,032",77.4%
55101,"Racine County, WI",10.2,9.0,8.4,8.3,6.6,5.6,4.9,4.0,3.6,"$60,349",99.3%
55103,"Richland County, WI",9.0,7.5,6.3,6.1,5.0,4.2,3.8,3.0,2.7,"$53,050",87.3%
55105,"Rock County, WI",11.3,9.5,8.3,7.7,6.1,5.2,4.4,3.7,3.2,"$57,675",94.9%
55107,"Rusk County, WI",12.3,11.0,9.0,8.5,6.5,5.5,5.1,4.4,4.0,"$48,448",79.7%
55109,"St. Croix County, WI",7.6,6.4,5.7,5.4,4.5,3.8,3.8,3.1,3.0,"$82,575",135.9%
55111,"Sauk County, WI",8.4,7.6,6.9,6.3,5.0,4.1,3.6,2.9,2.6,"$57,256",94.2%
55113,"Sawyer County, WI",11.3,11.1,10.8,10.9,8.9,7.9,6.2,4.7,4.3,"$46,490",76.5%
55115,"Shawano County, WI",10.2,9.1,8.0,7.5,5.9,4.9,4.2,3.2,3.0,"$56,022",92.2%
