,,Unemployment Rate (percent),,,,,,,,,,
FIPS ,Name,2010,2011,2012,2013,2014,2015,2016,2017,2018,Median Household Income (2018),% of State Median HH Income
56000,Wyoming,6.4,5.8,5.3,4.7,4.1,4.3,5.3,4.2,4.1,"$62,259",100.0%
56001,"Albany County, WY",4.5,4.2,4.3,3.8,3.4,3.2,3.2,2.9,3.3,"$47,561",76.4%
56003,"Big Horn County, WY",6.7,6.1,5.6,5.2,4.5,4.5,5.0,4.2,4.7,"$55,195",88.7%
56005,"Campbell County, WY",6.0,4.9,4.6,4.2,3.3,4.0,7.2,4.9,4.1,"$78,112",125.5%
56007,"Carbon County, WY",6.7,6.0,5.2,4.3,4.0,3.7,4.7,4.0,3.8,"$61,773",99.2%
56009,"Converse County, WY",5.5,4.8,4.3,3.7,3.0,3.7,6.2,4.5,3.7,"$68,162",109.5%
56011,"Crook County, WY",5.0,4.9,4.9,4.4,3.9,3.5,4.6,3.5,3.2,"$64,053",102.9%
56013,"Fremont County, WY",6.9,6.4,6.0,5.7,5.0,5.6,7.2,5.5,5.2,"$51,204",82.2%
56015,"Goshen County, WY",4.9,4.8,4.7,4.2,3.6,3.3,3.5,2.9,3.3,"$51,676",83.0%
56017,"Hot Springs County, WY",5.2,5.1,4.7,4.7,4.1,4.2,4.8,3.9,3.7,"$49,356",79.3%
56019,"Johnson County, WY",6.8,6.3,5.3,5.1,4.5,4.9,5.4,4.2,4.0,"$57,676",92.6%
56021,"Laramie County, WY",6.7,6.2,5.8,4.8,4.3,4.0,4.2,3.7,3.9,"$63,839",102.5%
56023,"Lincoln County, WY",8.4,7.8,7.1,5.7,5.1,4.7,4.7,3.7,3.8,"$69,598",111.8%
56025,"Natrona County, WY",7.0,6.1,5.1,4.5,4.0,4.9,7.1,5.2,4.6,"$64,714",103.9%
56027,"Niobrara County, WY",4.6,4.2,3.8,3.5,3.3,3.0,3.3,2.8,2.8,"$51,036",82.0%
56029,"Park County, WY",6.1,5.8,5.5,5.1,4.5,4.3,4.7,4.3,4.4,"$58,873",94.6%
56031,"Platte County, WY",5.5,5.0,4.9,4.4,3.8,3.9,4.8,3.7,3.8,"$54,165",87.0%
56033,"Sheridan County, WY",7.3,6.9,6.2,5.5,4.6,4.3,4.7,3.9,4.0,"$58,307",93.7%
56035,"Sublette County, WY",5.9,4.6,4.9,4.7,4.3,5.2,6.4,4.5,4.2,"$74,570",119.8%
56037,"Sweetwater County, WY",6.6,5.3,4.8,4.4,4.0,4.7,6.1,4.5,4.2,"$73,315",117.8%
56039,"Teton County, WY",7.7,7.5,6.7,5.6,4.6,3.9,3.5,2.8,3.0,"$99,087",159.2%
56041,"Uinta County, WY",7.0,6.2,5.6,5.3,4.8,5.0,5.8,4.5,4.4,"$63,401",101.8%
56043,"Washakie County, WY",5.9,5.6,5.2,5.0,4.3,4.2,4.8,4.0,4.2,"$55,190",88.6%
56045,"Weston County, WY",4.8,4.6,4.1,3.6,3.3,3.4,5.0,4.0,3.5,"$54,319",87.2%
,,,,,,,,,,,,
"Sources: Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS) data.

Census Bureau, Small Area Income and Poverty Estimates (SAIPE) Program



",,,,,,,,,,,,
,,,,,,,,,,,,
